"geoid","geolevel","year","level","value"
"05001","county",2019,"food_score",85.39
"05003","county",2019,"food_score",87.72
"05005","county",2019,"food_score",103.56
"05007","county",2019,"food_score",124.07
"05009","county",2019,"food_score",97.86
"05011","county",2019,"food_score",74.48
"05013","county",2019,"food_score",103.53
"05015","county",2019,"food_score",110.99
"05017","county",2019,"food_score",75.8
"05019","county",2019,"food_score",95.93
"05021","county",2019,"food_score",88.7
"05023","county",2019,"food_score",111.63
"05025","county",2019,"food_score",91.8
"05027","county",2019,"food_score",77.76
"05029","county",2019,"food_score",99.75
"05031","county",2019,"food_score",94.65
"05033","county",2019,"food_score",99.41
"05035","county",2019,"food_score",76.46
"05037","county",2019,"food_score",101.52
"05039","county",2019,"food_score",91.55
"05041","county",2019,"food_score",49.75
"05043","county",2019,"food_score",106.34
"05045","county",2019,"food_score",110.62
"05047","county",2019,"food_score",88.39
"05049","county",2019,"food_score",94.34
"05051","county",2019,"food_score",93.71
"05053","county",2019,"food_score",105.14
"05055","county",2019,"food_score",91.37
"05057","county",2019,"food_score",97.87
"05059","county",2019,"food_score",93
"05061","county",2019,"food_score",89.2
"05063","county",2019,"food_score",98.89
"05065","county",2019,"food_score",100.91
"05067","county",2019,"food_score",71.7
"05069","county",2019,"food_score",76.92
"05071","county",2019,"food_score",88.45
"05073","county",2019,"food_score",84.06
"05075","county",2019,"food_score",93.41
"05077","county",2019,"food_score",76.71
"05079","county",2019,"food_score",NA
"05081","county",2019,"food_score",93.35
"05083","county",2019,"food_score",91.47
"05085","county",2019,"food_score",105.82
"05087","county",2019,"food_score",104.36
"05089","county",2019,"food_score",91.08
"05091","county",2019,"food_score",95.42
"05093","county",2019,"food_score",73.4
"05095","county",2019,"food_score",56.14
"05097","county",2019,"food_score",83.76
"05099","county",2019,"food_score",76.47
"05101","county",2019,"food_score",103.33
"05103","county",2019,"food_score",80.54
"05105","county",2019,"food_score",102.01
"05107","county",2019,"food_score",40.71
"05109","county",2019,"food_score",99.65
"05111","county",2019,"food_score",78.9
