"geoid","geolevel","year","level","value"
"18001","county",2019,"food_score",119.12
"18003","county",2019,"food_score",107.41
"18005","county",2019,"food_score",109.87
"18007","county",2019,"food_score",102.14
"18009","county",2019,"food_score",99.71
"18011","county",2019,"food_score",125.9
"18013","county",2019,"food_score",118.13
"18015","county",2019,"food_score",123.36
"18017","county",2019,"food_score",111.32
"18019","county",2019,"food_score",119
"18021","county",2019,"food_score",105.03
"18023","county",2019,"food_score",110.22
"18025","county",2019,"food_score",94.82
"18027","county",2019,"food_score",118.92
"18029","county",2019,"food_score",113.73
"18031","county",2019,"food_score",112.23
"18033","county",2019,"food_score",114.87
"18035","county",2019,"food_score",95.76
"18037","county",2019,"food_score",126.51
"18039","county",2019,"food_score",116.46
"18041","county",2019,"food_score",85.3
"18043","county",2019,"food_score",118.14
"18045","county",2019,"food_score",101.07
"18047","county",2019,"food_score",114.94
"18049","county",2019,"food_score",116.89
"18051","county",2019,"food_score",116.18
"18053","county",2019,"food_score",95.2
"18055","county",2019,"food_score",104.85
"18057","county",2019,"food_score",132.62
"18059","county",2019,"food_score",125.46
"18061","county",2019,"food_score",114.23
"18063","county",2019,"food_score",130.96
"18065","county",2019,"food_score",103.45
"18067","county",2019,"food_score",101.36
"18069","county",2019,"food_score",113.88
"18071","county",2019,"food_score",109.45
"18073","county",2019,"food_score",115.61
"18075","county",2019,"food_score",113.16
"18077","county",2019,"food_score",107.25
"18079","county",2019,"food_score",116.08
"18081","county",2019,"food_score",125.03
"18083","county",2019,"food_score",99.54
"18085","county",2019,"food_score",115.95
"18087","county",2019,"food_score",122.14
"18089","county",2019,"food_score",102.44
"18091","county",2019,"food_score",96.17
"18093","county",2019,"food_score",108.14
"18095","county",2019,"food_score",101.11
"18097","county",2019,"food_score",103.79
"18099","county",2019,"food_score",114.93
"18101","county",2019,"food_score",111.98
"18103","county",2019,"food_score",98.97
"18105","county",2019,"food_score",114.06
"18107","county",2019,"food_score",111.77
"18109","county",2019,"food_score",116.33
"18111","county",2019,"food_score",99.59
"18113","county",2019,"food_score",116
"18115","county",2019,"food_score",123.79
"18117","county",2019,"food_score",97.99
"18119","county",2019,"food_score",100.74
"18121","county",2019,"food_score",100.22
"18123","county",2019,"food_score",116
"18125","county",2019,"food_score",112.42
"18127","county",2019,"food_score",121.35
"18129","county",2019,"food_score",119.64
"18131","county",2019,"food_score",102.42
"18133","county",2019,"food_score",111.44
"18135","county",2019,"food_score",100.38
"18137","county",2019,"food_score",114.4
"18139","county",2019,"food_score",109.45
"18141","county",2019,"food_score",106.5
"18143","county",2019,"food_score",110.19
"18145","county",2019,"food_score",111.99
"18147","county",2019,"food_score",113.88
"18149","county",2019,"food_score",106.47
"18151","county",2019,"food_score",117.3
"18153","county",2019,"food_score",97.94
"18155","county",2019,"food_score",99.4
"18157","county",2019,"food_score",116.48
"18159","county",2019,"food_score",113.91
"18161","county",2019,"food_score",116.7
"18163","county",2019,"food_score",107.17
"18165","county",2019,"food_score",102.07
"18167","county",2019,"food_score",93.79
"18169","county",2019,"food_score",107.6
"18171","county",2019,"food_score",110.28
"18173","county",2019,"food_score",124.59
"18175","county",2019,"food_score",107.51
"18177","county",2019,"food_score",97.34
"18179","county",2019,"food_score",116.22
"18181","county",2019,"food_score",117.1
"18183","county",2019,"food_score",118
"18001","county",2019,"food_rnk",84.2711
"18003","county",2019,"food_rnk",61.1893
"18005","county",2019,"food_rnk",66.3043
"18007","county",2019,"food_rnk",49.5524
"18009","county",2019,"food_rnk",44.3734
"18011","county",2019,"food_rnk",92.8069
"18013","county",2019,"food_rnk",82.8964
"18015","county",2019,"food_rnk",89.8018
"18017","county",2019,"food_rnk",69.2775
"18019","county",2019,"food_rnk",84.0793
"18021","county",2019,"food_rnk",56.0102
"18023","county",2019,"food_rnk",66.9757
"18025","county",2019,"food_rnk",35.0384
"18027","county",2019,"food_rnk",83.9834
"18029","county",2019,"food_rnk",73.7852
"18031","county",2019,"food_rnk",70.7801
"18033","county",2019,"food_rnk",76.1829
"18035","county",2019,"food_rnk",36.6368
"18037","county",2019,"food_rnk",93.5102
"18039","county",2019,"food_rnk",79.6355
"18041","county",2019,"food_rnk",20.1087
"18043","county",2019,"food_rnk",82.9284
"18045","county",2019,"food_rnk",47.1547
"18047","county",2019,"food_rnk",76.3747
"18049","county",2019,"food_rnk",80.3389
"18051","county",2019,"food_rnk",78.9642
"18053","county",2019,"food_rnk",35.6458
