"geoid","geolevel","year","level","value"
"23001","county",2019,"food_score",98.46
"23003","county",2019,"food_score",82.62
"23005","county",2019,"food_score",117.89
"23007","county",2019,"food_score",97.4
"23009","county",2019,"food_score",107.27
"23011","county",2019,"food_score",96.63
"23013","county",2019,"food_score",106.81
"23015","county",2019,"food_score",94.38
"23017","county",2019,"food_score",84.97
"23019","county",2019,"food_score",90.49
"23021","county",2019,"food_score",77.33
"23023","county",2019,"food_score",110.67
"23025","county",2019,"food_score",75.15
"23027","county",2019,"food_score",96.95
"23029","county",2019,"food_score",71.63
"23031","county",2019,"food_score",113.08
"23001","county",2019,"food_rnk",41.7839
"23003","county",2019,"food_rnk",16.656
"23005","county",2019,"food_rnk",82.5448
"23007","county",2019,"food_rnk",39.7059
"23009","county",2019,"food_rnk",60.9015
"23011","county",2019,"food_rnk",38.0754
"23013","county",2019,"food_rnk",59.8465
"23015","county",2019,"food_rnk",34.367
"23017","county",2019,"food_rnk",19.5652
"23019","county",2019,"food_rnk",27.8133
"23021","county",2019,"food_rnk",12.0844
"23023","county",2019,"food_rnk",67.9668
"23025","county",2019,"food_rnk",10.1023
"23027","county",2019,"food_rnk",38.7468
"23029","county",2019,"food_rnk",7.9923
"23031","county",2019,"food_rnk",72.4425
"23001","county",2019,"food_state_rnk",66.6667
"23003","county",2019,"food_state_rnk",20
"23005","county",2019,"food_state_rnk",100
"23007","county",2019,"food_state_rnk",60
"23009","county",2019,"food_state_rnk",80
"23011","county",2019,"food_state_rnk",46.6667
"23013","county",2019,"food_state_rnk",73.3333
"23015","county",2019,"food_state_rnk",40
"23017","county",2019,"food_state_rnk",26.6667
"23019","county",2019,"food_state_rnk",33.3333
"23021","county",2019,"food_state_rnk",13.3333
"23023","county",2019,"food_state_rnk",86.6667
"23025","county",2019,"food_state_rnk",6.6667
"23027","county",2019,"food_state_rnk",53.3333
"23029","county",2019,"food_state_rnk",0
"23031","county",2019,"food_state_rnk",93.3333
