"geoid","geolevel","year","level","value"
"27001","county",2019,"food_score",106.28
"27003","county",2019,"food_score",123.34
"27005","county",2019,"food_score",104.05
"27007","county",2019,"food_score",91.34
"27009","county",2019,"food_score",108.23
"27011","county",2019,"food_score",124.86
"27013","county",2019,"food_score",116.25
"27015","county",2019,"food_score",124.36
"27017","county",2019,"food_score",110.96
"27019","county",2019,"food_score",131.35
"27021","county",2019,"food_score",96.58
"27023","county",2019,"food_score",122.96
"27025","county",2019,"food_score",118.51
"27027","county",2019,"food_score",116.8
"27029","county",2019,"food_score",97.33
"27031","county",2019,"food_score",115.84
"27033","county",2019,"food_score",111.42
"27035","county",2019,"food_score",115.53
"27037","county",2019,"food_score",129.45
"27039","county",2019,"food_score",123.52
"27041","county",2019,"food_score",122.25
"27043","county",2019,"food_score",114.41
"27045","county",2019,"food_score",121.62
"27047","county",2019,"food_score",111.03
"27049","county",2019,"food_score",121.78
"27051","county",2019,"food_score",116.64
"27053","county",2019,"food_score",121.02
"27055","county",2019,"food_score",122.51
"27057","county",2019,"food_score",110.45
"27059","county",2019,"food_score",116.92
"27061","county",2019,"food_score",107.69
"27063","county",2019,"food_score",127.34
"27065","county",2019,"food_score",107.29
"27067","county",2019,"food_score",109.51
"27069","county",2019,"food_score",126.18
"27071","county",2019,"food_score",105.07
"27073","county",2019,"food_score",125.45
"27075","county",2019,"food_score",115.75
"27077","county",2019,"food_score",124.56
"27079","county",2019,"food_score",121.04
"27081","county",2019,"food_score",117.69
"27083","county",2019,"food_score",113.58
"27085","county",2019,"food_score",121.89
"27087","county",2019,"food_score",62.67
"27089","county",2019,"food_score",125.34
"27091","county",2019,"food_score",113.7
"27093","county",2019,"food_score",117.61
"27095","county",2019,"food_score",106.97
"27097","county",2019,"food_score",117.83
"27099","county",2019,"food_score",106.39
"27101","county",2019,"food_score",124.22
"27103","county",2019,"food_score",118.96
"27105","county",2019,"food_score",106.24
"27107","county",2019,"food_score",118.6
"27109","county",2019,"food_score",119.25
"27111","county",2019,"food_score",120.68
"27113","county",2019,"food_score",115.97
"27115","county",2019,"food_score",109.36
"27117","county",2019,"food_score",117.09
"27119","county",2019,"food_score",108.44
"27121","county",2019,"food_score",122.08
"27123","county",2019,"food_score",105.92
"27125","county",2019,"food_score",108.62
"27127","county",2019,"food_score",126.89
"27129","county",2019,"food_score",117.54
"27131","county",2019,"food_score",123.38
"27133","county",2019,"food_score",121.6
"27135","county",2019,"food_score",125.33
"27137","county",2019,"food_score",110.52
"27139","county",2019,"food_score",131.76
"27141","county",2019,"food_score",127.62
"27143","county",2019,"food_score",124.59
"27145","county",2019,"food_score",110.53
"27147","county",2019,"food_score",116.66
"27149","county",2019,"food_score",122.41
"27151","county",2019,"food_score",115.83
"27153","county",2019,"food_score",117.91
"27155","county",2019,"food_score",103.74
"27157","county",2019,"food_score",125.78
"27159","county",2019,"food_score",104.81
"27161","county",2019,"food_score",116.79
"27163","county",2019,"food_score",129.57
"27165","county",2019,"food_score",114.86
"27167","county",2019,"food_score",113.54
"27169","county",2019,"food_score",120.46
"27171","county",2019,"food_score",129.59
"27173","county",2019,"food_score",115.67
"27001","county",2019,"food_rnk",58.5997
"27003","county",2019,"food_rnk",89.7698
"27005","county",2019,"food_rnk",54.124
"27007","county",2019,"food_rnk",28.9003
"27009","county",2019,"food_rnk",62.6918
"27011","county",2019,"food_rnk",91.7199
"27013","county",2019,"food_rnk",79.124
"27015","county",2019,"food_rnk",91.0806
"27017","county",2019,"food_rnk",68.6381
"27019","county",2019,"food_rnk",97.4744
"27021","county",2019,"food_rnk",37.9795
"27023","county",2019,"food_rnk",89.4182
"27025","county",2019,"food_rnk",83.344
"27027","county",2019,"food_rnk",80.243
"27029","county",2019,"food_rnk",39.546
"27031","county",2019,"food_rnk",78.2289
"27033","county",2019,"food_rnk",69.4054
"27035","county",2019,"food_rnk",77.5895
"27037","county",2019,"food_rnk",96.2596
"27039","county",2019,"food_rnk",90.0256
"27041","county",2019,"food_rnk",88.555
"27043","county",2019,"food_rnk",75.2558
"27045","county",2019,"food_rnk",87.6279
"27047","county",2019,"food_rnk",68.766
"27049","county",2019,"food_rnk",87.7558
"27051","county",2019,"food_rnk",79.8913
"27053","county",2019,"food_rnk",86.7008
"27055","county",2019,"food_rnk",88.8747
"27057","county",2019,"food_rnk",67.5831
"27059","county",2019,"food_rnk",80.4028
"27061","county",2019,"food_rnk",61.7967
"27063","county",2019,"food_rnk",94.3095
"27065","county",2019,"food_rnk",60.9335
"27067","county",2019,"food_rnk",65.5371
"27069","county",2019,"food_rnk",93.1905
"27071","county",2019,"food_rnk",56.0742
"27073","county",2019,"food_rnk",92.3913
"27075","county",2019,"food_rnk",78.0051
"27077","county",2019,"food_rnk",91.3683
"27079","county",2019,"food_rnk",86.7647
"27081","county",2019,"food_rnk",82.0972
"27083","county",2019,"food_rnk",73.4335
"27085","county",2019,"food_rnk",87.9476
"27087","county",2019,"food_rnk",4.6675
"27089","county",2019,"food_rnk",92.2634
"27091","county",2019,"food_rnk",73.7212
"27093","county",2019,"food_rnk",81.9054
"27095","county",2019,"food_rnk",60.3581
"27097","county",2019,"food_rnk",82.4488
"27099","county",2019,"food_rnk",58.9514
"27101","county",2019,"food_rnk",90.9207
"27103","county",2019,"food_rnk",84.0153
"27105","county",2019,"food_rnk",58.4079
"27107","county",2019,"food_rnk",83.5038
"27109","county",2019,"food_rnk",84.399
"27111","county",2019,"food_rnk",86.2532
"27113","county",2019,"food_rnk",78.4847
"27115","county",2019,"food_rnk",65.0575
"27117","county",2019,"food_rnk",80.8504
"27119","county",2019,"food_rnk",63.1394
"27121","county",2019,"food_rnk",88.2992
"27123","county",2019,"food_rnk",57.6087
"27125","county",2019,"food_rnk",63.6189
"27127","county",2019,"food_rnk",93.8619
"27129","county",2019,"food_rnk",81.7455
"27131","county",2019,"food_rnk",89.8657
"27133","county",2019,"food_rnk",87.532
"27135","county",2019,"food_rnk",92.2315
"27137","county",2019,"food_rnk",67.6471
"27139","county",2019,"food_rnk",97.6343
"27141","county",2019,"food_rnk",94.5652
"27143","county",2019,"food_rnk",91.4962
"27145","county",2019,"food_rnk",67.679
"27147","county",2019,"food_rnk",79.9233
"27149","county",2019,"food_rnk",88.6509
"27151","county",2019,"food_rnk",78.165
"27153","county",2019,"food_rnk",82.5767
"27155","county",2019,"food_rnk",53.3887
"27157","county",2019,"food_rnk",92.6471
"27159","county",2019,"food_rnk",55.6586
"27161","county",2019,"food_rnk",80.1471
"27163","county",2019,"food_rnk",96.3875
"27165","county",2019,"food_rnk",76.1189
"27167","county",2019,"food_rnk",73.2737
"27169","county",2019,"food_rnk",85.9015
"27171","county",2019,"food_rnk",96.4514
"27173","county",2019,"food_rnk",77.9412
"27001","county",2019,"food_state_rnk",11.6279
"27003","county",2019,"food_state_rnk",76.7442
"27005","county",2019,"food_state_rnk",5.814
"27007","county",2019,"food_state_rnk",1.1628
"27009","county",2019,"food_state_rnk",17.4419
"27011","county",2019,"food_state_rnk",84.8837
"27013","county",2019,"food_state_rnk",43.0233
"27015","county",2019,"food_state_rnk",81.3953
"27017","county",2019,"food_state_rnk",26.7442
"27019","county",2019,"food_state_rnk",98.8372
"27021","county",2019,"food_state_rnk",2.3256
"27023","county",2019,"food_state_rnk",75.5814
"27025","county",2019,"food_state_rnk",56.9767
"27027","county",2019,"food_state_rnk",47.6744
"27029","county",2019,"food_state_rnk",3.4884
"27031","county",2019,"food_state_rnk",40.6977
"27033","county",2019,"food_state_rnk",29.0698
"27035","county",2019,"food_state_rnk",36.0465
"27037","county",2019,"food_state_rnk",95.3488
"27039","county",2019,"food_state_rnk",79.0698
"27041","county",2019,"food_state_rnk",72.093
"27043","county",2019,"food_state_rnk",33.7209
"27045","county",2019,"food_state_rnk",67.4419
"27047","county",2019,"food_state_rnk",27.907
"27049","county",2019,"food_state_rnk",68.6047
"27051","county",2019,"food_state_rnk",44.186
"27053","county",2019,"food_state_rnk",63.9535
"27055","county",2019,"food_state_rnk",74.4186
"27057","county",2019,"food_state_rnk",23.2558
"27059","county",2019,"food_state_rnk",48.8372
"27061","county",2019,"food_state_rnk",16.2791
"27063","county",2019,"food_state_rnk",93.0233
"27065","county",2019,"food_state_rnk",15.1163
"27067","county",2019,"food_state_rnk",22.093
