"geoid","geolevel","year","level","value"
"50001960100","tract",2019,"food_score",113.51
"50001960200","tract",2019,"food_score",118.81
"50001960300","tract",2019,"food_score",107.94
"50001960400","tract",2019,"food_score",115.45
"50001960500","tract",2019,"food_score",104.94
"50001960600","tract",2019,"food_score",105.01
"50001960700","tract",2019,"food_score",97.42
"50001960800","tract",2019,"food_score",NA
"50001960900","tract",2019,"food_score",109
"50001961000","tract",2019,"food_score",105.18
"50003970200","tract",2019,"food_score",114.38
"50003970300","tract",2019,"food_score",114.2
"50003970400","tract",2019,"food_score",118.9
"50003970500","tract",2019,"food_score",120.93
"50003970600","tract",2019,"food_score",102.82
"50003970700","tract",2019,"food_score",96.74
"50003970800","tract",2019,"food_score",117.58
"50003970900","tract",2019,"food_score",74.27
"50003971000","tract",2019,"food_score",98.03
"50003971100","tract",2019,"food_score",102.88
"50003971200","tract",2019,"food_score",81.4
"50003971300","tract",2019,"food_score",106.62
"50005957000","tract",2019,"food_score",107.37
"50005957100","tract",2019,"food_score",101.32
"50005957200","tract",2019,"food_score",93.36
"50005957300","tract",2019,"food_score",100.6
"50005957400","tract",2019,"food_score",92.27
"50005957500","tract",2019,"food_score",87.82
"50005957600","tract",2019,"food_score",110.83
"50005957700","tract",2019,"food_score",90.09
"50005957800","tract",2019,"food_score",100.01
"50005957900","tract",2019,"food_score",112.11
"50007000100","tract",2019,"food_score",85.5
"50007000200","tract",2019,"food_score",108.56
"50007000300","tract",2019,"food_score",71.28
"50007000400","tract",2019,"food_score",82.73
"50007000500","tract",2019,"food_score",93.13
"50007000600","tract",2019,"food_score",102.66
"50007000800","tract",2019,"food_score",104.16
"50007000900","tract",2019,"food_score",91.15
"50007001000","tract",2019,"food_score",96.21
"50007001100","tract",2019,"food_score",98.03
"50007002101","tract",2019,"food_score",118.03
"50007002102","tract",2019,"food_score",113.25
"50007002200","tract",2019,"food_score",105.2
"50007002301","tract",2019,"food_score",115.09
"50007002302","tract",2019,"food_score",110.27
"50007002400","tract",2019,"food_score",74.73
"50007002500","tract",2019,"food_score",96.31
"50007002601","tract",2019,"food_score",99.1
"50007002602","tract",2019,"food_score",110.36
"50007002701","tract",2019,"food_score",111.53
"50007002702","tract",2019,"food_score",112.89
"50007002800","tract",2019,"food_score",121.89
"50007002900","tract",2019,"food_score",120.31
"50007003000","tract",2019,"food_score",121.53
"50007003100","tract",2019,"food_score",123.9
"50007003301","tract",2019,"food_score",119.84
"50007003304","tract",2019,"food_score",111.1
"50007003400","tract",2019,"food_score",123.16
"50007003501","tract",2019,"food_score",122.94
"50007003502","tract",2019,"food_score",117.66
"50007003503","tract",2019,"food_score",114.27
"50007003600","tract",2019,"food_score",97.02
"50007003900","tract",2019,"food_score",NA
"50007004002","tract",2019,"food_score",106.8
"50007980000","tract",2019,"food_score",NA
"50009950100","tract",2019,"food_score",99.58
"50009950200","tract",2019,"food_score",96.47
"50009950500","tract",2019,"food_score",87.69
"50011010100","tract",2019,"food_score",102.41
"50011010200","tract",2019,"food_score",101.32
"50011010300","tract",2019,"food_score",84.58
"50011010400","tract",2019,"food_score",110.02
"50011010500","tract",2019,"food_score",100.89
"50011010600","tract",2019,"food_score",121.28
"50011010700","tract",2019,"food_score",80.54
"50011010800","tract",2019,"food_score",103.66
"50011010900","tract",2019,"food_score",122.32
"50011011000","tract",2019,"food_score",119.01
