"geoid","geolevel","year","level","value"
"35004","zcta",2019,"food_score",108.24
"35005","zcta",2019,"food_score",91.93
"35006","zcta",2019,"food_score",115.93
"35007","zcta",2019,"food_score",105.66
"35010","zcta",2019,"food_score",77.28
"35013","zcta",2019,"food_score",NA
"35014","zcta",2019,"food_score",100.83
"35016","zcta",2019,"food_score",95.14
"35019","zcta",2019,"food_score",97.24
"35020","zcta",2019,"food_score",62.47
"35022","zcta",2019,"food_score",102.55
"35023","zcta",2019,"food_score",96.07
"35031","zcta",2019,"food_score",103.34
"35032","zcta",2019,"food_score",NA
"35033","zcta",2019,"food_score",100.93
"35034","zcta",2019,"food_score",67.11
"35035","zcta",2019,"food_score",98.59
"35036","zcta",2019,"food_score",65.46
"35040","zcta",2019,"food_score",101.82
"35042","zcta",2019,"food_score",97.97
"35043","zcta",2019,"food_score",122.08
"35044","zcta",2019,"food_score",84.91
"35045","zcta",2019,"food_score",84.46
"35046","zcta",2019,"food_score",90.99
"35049","zcta",2019,"food_score",110.14
"35051","zcta",2019,"food_score",98.48
"35052","zcta",2019,"food_score",NA
"35053","zcta",2019,"food_score",108.84
"35054","zcta",2019,"food_score",116.64
"35055","zcta",2019,"food_score",99.17
"35057","zcta",2019,"food_score",98.62
"35058","zcta",2019,"food_score",109.88
"35060","zcta",2019,"food_score",127.14
"35061","zcta",2019,"food_score",61.2
"35062","zcta",2019,"food_score",96.94
"35063","zcta",2019,"food_score",95.29
"35064","zcta",2019,"food_score",84.62
"35068","zcta",2019,"food_score",105.95
"35070","zcta",2019,"food_score",72.18
"35071","zcta",2019,"food_score",113.66
"35072","zcta",2019,"food_score",80.22
"35073","zcta",2019,"food_score",78.6
"35074","zcta",2019,"food_score",NA
"35077","zcta",2019,"food_score",103.42
"35078","zcta",2019,"food_score",93.81
"35079","zcta",2019,"food_score",116.26
"35080","zcta",2019,"food_score",116.92
"35082","zcta",2019,"food_score",NA
"35083","zcta",2019,"food_score",101.51
"35085","zcta",2019,"food_score",81.15
"35087","zcta",2019,"food_score",59.91
"35089","zcta",2019,"food_score",111.31
"35091","zcta",2019,"food_score",115.56
"35094","zcta",2019,"food_score",105.88
"35096","zcta",2019,"food_score",85.09
"35097","zcta",2019,"food_score",106.3
"35098","zcta",2019,"food_score",106.94
"35111","zcta",2019,"food_score",111.35
"35112","zcta",2019,"food_score",83.17
"35114","zcta",2019,"food_score",120.43
"35115","zcta",2019,"food_score",90.33
"35116","zcta",2019,"food_score",107.18
"35117","zcta",2019,"food_score",114.07
"35118","zcta",2019,"food_score",101.9
"35119","zcta",2019,"food_score",127.39
"35120","zcta",2019,"food_score",105.12
"35121","zcta",2019,"food_score",101.59
"35124","zcta",2019,"food_score",117.83
"35125","zcta",2019,"food_score",100.64
"35126","zcta",2019,"food_score",102.54
"35127","zcta",2019,"food_score",107.08
"35128","zcta",2019,"food_score",106.06
"35130","zcta",2019,"food_score",84.67
"35131","zcta",2019,"food_score",85.65
"35133","zcta",2019,"food_score",120.95
"35135","zcta",2019,"food_score",103.96
"35136","zcta",2019,"food_score",89.82
"35139","zcta",2019,"food_score",34.09
"35143","zcta",2019,"food_score",113.53
"35146","zcta",2019,"food_score",113.61
"35147","zcta",2019,"food_score",111.46
"35148","zcta",2019,"food_score",77.74
"35149","zcta",2019,"food_score",115.29
"35150","zcta",2019,"food_score",81.5
"35151","zcta",2019,"food_score",106.87
"35160","zcta",2019,"food_score",71.12
"35171","zcta",2019,"food_score",102.36
