"geoid","geolevel","year","level","value"
"20601","zcta",2019,"food_score",113.83
"20602","zcta",2019,"food_score",99.84
"20603","zcta",2019,"food_score",110.97
"20606","zcta",2019,"food_score",92.98
"20607","zcta",2019,"food_score",114.64
"20608","zcta",2019,"food_score",122.12
"20609","zcta",2019,"food_score",89.51
"20611","zcta",2019,"food_score",103.89
"20612","zcta",2019,"food_score",120.41
"20613","zcta",2019,"food_score",111.38
"20615","zcta",2019,"food_score",107.38
"20616","zcta",2019,"food_score",112.54
"20617","zcta",2019,"food_score",130.96
"20618","zcta",2019,"food_score",129.98
"20619","zcta",2019,"food_score",116.24
"20620","zcta",2019,"food_score",88.98
"20621","zcta",2019,"food_score",128.56
"20622","zcta",2019,"food_score",111.05
"20623","zcta",2019,"food_score",120.87
"20624","zcta",2019,"food_score",112.2
"20625","zcta",2019,"food_score",124.44
"20626","zcta",2019,"food_score",130.62
"20628","zcta",2019,"food_score",130.09
"20629","zcta",2019,"food_score",130.48
"20630","zcta",2019,"food_score",87.71
"20632","zcta",2019,"food_score",61.92
"20634","zcta",2019,"food_score",102.45
"20636","zcta",2019,"food_score",116.35
"20637","zcta",2019,"food_score",129.58
"20639","zcta",2019,"food_score",118.25
"20640","zcta",2019,"food_score",106.58
"20645","zcta",2019,"food_score",123.24
"20646","zcta",2019,"food_score",109.8
"20650","zcta",2019,"food_score",105.4
"20653","zcta",2019,"food_score",93.22
"20657","zcta",2019,"food_score",108.32
"20658","zcta",2019,"food_score",83.34
"20659","zcta",2019,"food_score",108.81
"20660","zcta",2019,"food_score",NA
"20662","zcta",2019,"food_score",103.74
"20664","zcta",2019,"food_score",84.83
"20667","zcta",2019,"food_score",94.11
"20670","zcta",2019,"food_score",124.85
"20674","zcta",2019,"food_score",74.23
"20675","zcta",2019,"food_score",114.16
"20676","zcta",2019,"food_score",113.85
"20677","zcta",2019,"food_score",110.83
"20678","zcta",2019,"food_score",109.56
"20680","zcta",2019,"food_score",126.47
"20684","zcta",2019,"food_score",109.17
"20685","zcta",2019,"food_score",103.52
"20686","zcta",2019,"food_score",NA
"20687","zcta",2019,"food_score",130.1
"20688","zcta",2019,"food_score",119.71
"20689","zcta",2019,"food_score",113.07
"20690","zcta",2019,"food_score",129.12
"20692","zcta",2019,"food_score",118.67
"20693","zcta",2019,"food_score",118.43
"20695","zcta",2019,"food_score",115.39
"20701","zcta",2019,"food_score",NA
"20705","zcta",2019,"food_score",105.39
"20706","zcta",2019,"food_score",102.04
"20707","zcta",2019,"food_score",104.86
"20708","zcta",2019,"food_score",100.54
"20710","zcta",2019,"food_score",92.95
"20711","zcta",2019,"food_score",105.4
"20712","zcta",2019,"food_score",107.79
"20714","zcta",2019,"food_score",118.16
"20715","zcta",2019,"food_score",116.3
"20716","zcta",2019,"food_score",112.3
"20720","zcta",2019,"food_score",112.77
"20721","zcta",2019,"food_score",114.82
"20722","zcta",2019,"food_score",96.69
"20723","zcta",2019,"food_score",117.19
"20724","zcta",2019,"food_score",115.73
"20732","zcta",2019,"food_score",116.6
"20733","zcta",2019,"food_score",120.99
"20735","zcta",2019,"food_score",107.82
"20736","zcta",2019,"food_score",122.85
"20737","zcta",2019,"food_score",99.95
"20740","zcta",2019,"food_score",109.11
"20742","zcta",2019,"food_score",NA
"20743","zcta",2019,"food_score",85.1
"20744","zcta",2019,"food_score",105.62
"20745","zcta",2019,"food_score",95.9
"20746","zcta",2019,"food_score",96.77
"20747","zcta",2019,"food_score",84.61
"20748","zcta",2019,"food_score",93.42
"20751","zcta",2019,"food_score",119.99
"20754","zcta",2019,"food_score",119.78
"20755","zcta",2019,"food_score",120.6
"20758","zcta",2019,"food_score",122.33
"20759","zcta",2019,"food_score",130.92
"20762","zcta",2019,"food_score",118.69
"20763","zcta",2019,"food_score",106.88
"20764","zcta",2019,"food_score",112.31
"20765","zcta",2019,"food_score",75.56
