"geoid","geolevel","year","level","value"
"48001","zcta",2019,"food_score",102.92
"48002","zcta",2019,"food_score",114.22
"48003","zcta",2019,"food_score",109.37
"48005","zcta",2019,"food_score",120.24
"48006","zcta",2019,"food_score",106.97
"48009","zcta",2019,"food_score",122.88
"48014","zcta",2019,"food_score",105.15
"48015","zcta",2019,"food_score",94.91
"48017","zcta",2019,"food_score",112.4
"48021","zcta",2019,"food_score",77.06
"48022","zcta",2019,"food_score",107.51
"48023","zcta",2019,"food_score",107.62
"48025","zcta",2019,"food_score",122.32
"48026","zcta",2019,"food_score",104.6
"48027","zcta",2019,"food_score",116.42
"48028","zcta",2019,"food_score",122.78
"48030","zcta",2019,"food_score",79.44
"48032","zcta",2019,"food_score",111.14
"48033","zcta",2019,"food_score",94.48
"48034","zcta",2019,"food_score",109.17
"48035","zcta",2019,"food_score",89.07
"48036","zcta",2019,"food_score",85.95
"48038","zcta",2019,"food_score",110.35
"48039","zcta",2019,"food_score",101
"48040","zcta",2019,"food_score",103.79
"48041","zcta",2019,"food_score",118.83
"48042","zcta",2019,"food_score",119.13
"48043","zcta",2019,"food_score",79.18
"48044","zcta",2019,"food_score",111.56
"48045","zcta",2019,"food_score",106.23
"48047","zcta",2019,"food_score",112.24
"48048","zcta",2019,"food_score",93.74
"48049","zcta",2019,"food_score",112.46
"48050","zcta",2019,"food_score",121.94
"48051","zcta",2019,"food_score",101.11
"48054","zcta",2019,"food_score",119.91
"48059","zcta",2019,"food_score",99.72
"48060","zcta",2019,"food_score",67.75
"48062","zcta",2019,"food_score",109.56
"48063","zcta",2019,"food_score",114.03
"48064","zcta",2019,"food_score",107.85
"48065","zcta",2019,"food_score",113.62
"48066","zcta",2019,"food_score",84.95
"48067","zcta",2019,"food_score",120.07
"48069","zcta",2019,"food_score",122.7
"48070","zcta",2019,"food_score",121.42
"48071","zcta",2019,"food_score",93.53
"48072","zcta",2019,"food_score",118.74
"48073","zcta",2019,"food_score",115.76
"48074","zcta",2019,"food_score",93.17
"48075","zcta",2019,"food_score",101.11
"48076","zcta",2019,"food_score",103.28
"48079","zcta",2019,"food_score",113.54
"48080","zcta",2019,"food_score",105.76
"48081","zcta",2019,"food_score",111.04
"48082","zcta",2019,"food_score",104.95
"48083","zcta",2019,"food_score",109.84
"48084","zcta",2019,"food_score",119.49
"48085","zcta",2019,"food_score",121.49
"48088","zcta",2019,"food_score",107.11
"48089","zcta",2019,"food_score",71.3
"48091","zcta",2019,"food_score",62.27
"48092","zcta",2019,"food_score",92.16
"48093","zcta",2019,"food_score",98.33
"48094","zcta",2019,"food_score",116.68
"48095","zcta",2019,"food_score",117.27
"48096","zcta",2019,"food_score",121.77
"48097","zcta",2019,"food_score",99.79
"48098","zcta",2019,"food_score",122.79
"48101","zcta",2019,"food_score",110.36
"48103","zcta",2019,"food_score",115.07
"48104","zcta",2019,"food_score",116.17
"48105","zcta",2019,"food_score",113.91
"48108","zcta",2019,"food_score",106.94
"48109","zcta",2019,"food_score",NA
"48111","zcta",2019,"food_score",95.5
"48114","zcta",2019,"food_score",116.88
"48116","zcta",2019,"food_score",119.37
"48117","zcta",2019,"food_score",106.56
"48118","zcta",2019,"food_score",121.72
"48120","zcta",2019,"food_score",69.22
"48122","zcta",2019,"food_score",72.86
"48124","zcta",2019,"food_score",103.54
"48125","zcta",2019,"food_score",82.83
"48126","zcta",2019,"food_score",51.66
"48127","zcta",2019,"food_score",82.02
"48128","zcta",2019,"food_score",111.84
"48130","zcta",2019,"food_score",121.42
"48131","zcta",2019,"food_score",108.55
"48133","zcta",2019,"food_score",97.89
"48134","zcta",2019,"food_score",103.72
"48135","zcta",2019,"food_score",99.93
"48137","zcta",2019,"food_score",123.61
"48138","zcta",2019,"food_score",122.91
"48139","zcta",2019,"food_score",129.98
"48140","zcta",2019,"food_score",116.55
"48141","zcta",2019,"food_score",48.05
"48143","zcta",2019,"food_score",NA
"48144","zcta",2019,"food_score",116.22
"48145","zcta",2019,"food_score",118.39
"48146","zcta",2019,"food_score",83.95
"48150","zcta",2019,"food_score",112.54
"48152","zcta",2019,"food_score",112.23
"48154","zcta",2019,"food_score",116.74
"48157","zcta",2019,"food_score",73.44
"48158","zcta",2019,"food_score",123.4
"48159","zcta",2019,"food_score",105.95
"48160","zcta",2019,"food_score",111.18
"48161","zcta",2019,"food_score",87.04
"48162","zcta",2019,"food_score",94.8
"48164","zcta",2019,"food_score",117.42
"48165","zcta",2019,"food_score",114.76
"48166","zcta",2019,"food_score",93.43
"48167","zcta",2019,"food_score",118.46
"48168","zcta",2019,"food_score",122.56
"48169","zcta",2019,"food_score",116.79
"48170","zcta",2019,"food_score",114.51
"48173","zcta",2019,"food_score",104.81
"48174","zcta",2019,"food_score",82.47
"48176","zcta",2019,"food_score",112.57
"48177","zcta",2019,"food_score",101.52
"48178","zcta",2019,"food_score",117.7
"48179","zcta",2019,"food_score",103.97
"48180","zcta",2019,"food_score",79.07
"48182","zcta",2019,"food_score",111.07
"48183","zcta",2019,"food_score",101.84
"48184","zcta",2019,"food_score",77.56
"48185","zcta",2019,"food_score",94.2
"48186","zcta",2019,"food_score",90.4
"48187","zcta",2019,"food_score",109.55
"48188","zcta",2019,"food_score",109.64
"48189","zcta",2019,"food_score",114.84
"48190","zcta",2019,"food_score",118.8
"48191","zcta",2019,"food_score",113.46
"48192","zcta",2019,"food_score",93.95
"48193","zcta",2019,"food_score",99.42
"48195","zcta",2019,"food_score",99.64
"48197","zcta",2019,"food_score",96.93
"48198","zcta",2019,"food_score",79.62
"48201","zcta",2019,"food_score",42.75
"48202","zcta",2019,"food_score",48.3
"48203","zcta",2019,"food_score",42.15
"48204","zcta",2019,"food_score",30.39
"48205","zcta",2019,"food_score",49.23
"48206","zcta",2019,"food_score",34.95
"48207","zcta",2019,"food_score",58.64
"48208","zcta",2019,"food_score",32.96
"48209","zcta",2019,"food_score",52.73
"48210","zcta",2019,"food_score",56.06
"48211","zcta",2019,"food_score",45.66
"48212","zcta",2019,"food_score",33.86
"48213","zcta",2019,"food_score",24.53
"48214","zcta",2019,"food_score",49.1
"48215","zcta",2019,"food_score",37.24
"48216","zcta",2019,"food_score",59.19
"48217","zcta",2019,"food_score",47.1
"48218","zcta",2019,"food_score",47.61
"48219","zcta",2019,"food_score",43.33
"48220","zcta",2019,"food_score",104.1
"48221","zcta",2019,"food_score",58.33
"48223","zcta",2019,"food_score",48.24
"48224","zcta",2019,"food_score",48.66
"48225","zcta",2019,"food_score",88.95
"48226","zcta",2019,"food_score",113.97
"48227","zcta",2019,"food_score",45.33
"48228","zcta",2019,"food_score",34.47
"48229","zcta",2019,"food_score",57.79
"48230","zcta",2019,"food_score",117.96
"48233","zcta",2019,"food_score",NA
"48234","zcta",2019,"food_score",38.96
"48235","zcta",2019,"food_score",41.07
"48236","zcta",2019,"food_score",116.21
"48237","zcta",2019,"food_score",91.64
"48238","zcta",2019,"food_score",28.87
"48239","zcta",2019,"food_score",80.02
"48240","zcta",2019,"food_score",84.63
"48242","zcta",2019,"food_score",NA
"48243","zcta",2019,"food_score",NA
"48301","zcta",2019,"food_score",124.54
"48302","zcta",2019,"food_score",119.88
"48304","zcta",2019,"food_score",121.75
"48306","zcta",2019,"food_score",123.11
"48307","zcta",2019,"food_score",114.1
"48309","zcta",2019,"food_score",119.45
"48310","zcta",2019,"food_score",80.96
"48312","zcta",2019,"food_score",98.74
"48313","zcta",2019,"food_score",105.89
"48314","zcta",2019,"food_score",105.89
"48315","zcta",2019,"food_score",118.96
"48316","zcta",2019,"food_score",112.99
"48317","zcta",2019,"food_score",103.52
"48320","zcta",2019,"food_score",116.61
"48322","zcta",2019,"food_score",115.06
"48323","zcta",2019,"food_score",115.49
"48324","zcta",2019,"food_score",123.04
"48326","zcta",2019,"food_score",107.91
"48327","zcta",2019,"food_score",111.26
"48328","zcta",2019,"food_score",100.04
"48329","zcta",2019,"food_score",107.96
"48331","zcta",2019,"food_score",117.35
"48334","zcta",2019,"food_score",113.95
"48335","zcta",2019,"food_score",120.91
"48336","zcta",2019,"food_score",110.98
"48340","zcta",2019,"food_score",62.6
"48341","zcta",2019,"food_score",68.33
"48342","zcta",2019,"food_score",44.9
"48346","zcta",2019,"food_score",105.22
"48348","zcta",2019,"food_score",115.86
"48350","zcta",2019,"food_score",110.26
"48353","zcta",2019,"food_score",117.36
"48356","zcta",2019,"food_score",119.93
"48357","zcta",2019,"food_score",116.12
"48359","zcta",2019,"food_score",110.57
"48360","zcta",2019,"food_score",121.79
"48362","zcta",2019,"food_score",119.69
"48363","zcta",2019,"food_score",123
"48367","zcta",2019,"food_score",115.42
"48370","zcta",2019,"food_score",114.14
"48371","zcta",2019,"food_score",115.64
"48374","zcta",2019,"food_score",121.6
"48375","zcta",2019,"food_score",118.14
"48377","zcta",2019,"food_score",114.21
"48380","zcta",2019,"food_score",121.81
"48381","zcta",2019,"food_score",113.16
"48382","zcta",2019,"food_score",118.05
"48383","zcta",2019,"food_score",105.33
"48386","zcta",2019,"food_score",111.97
"48390","zcta",2019,"food_score",113.92
"48393","zcta",2019,"food_score",106.53
"48397","zcta",2019,"food_score",NA
"48401","zcta",2019,"food_score",91.75
"48411","zcta",2019,"food_score",130.66
"48412","zcta",2019,"food_score",112.71
"48413","zcta",2019,"food_score",97.61
"48414","zcta",2019,"food_score",106.59
"48415","zcta",2019,"food_score",112.66
"48416","zcta",2019,"food_score",101.34
"48417","zcta",2019,"food_score",101.42
"48418","zcta",2019,"food_score",108.66
"48419","zcta",2019,"food_score",104.77
"48420","zcta",2019,"food_score",96.2
"48421","zcta",2019,"food_score",101.72
"48422","zcta",2019,"food_score",95.74
"48423","zcta",2019,"food_score",104.59
"48426","zcta",2019,"food_score",106.5
"48427","zcta",2019,"food_score",99.14
"48428","zcta",2019,"food_score",117.47
"48429","zcta",2019,"food_score",104.39
"48430","zcta",2019,"food_score",109.51
"48432","zcta",2019,"food_score",120.24
"48433","zcta",2019,"food_score",108.78
"48434","zcta",2019,"food_score",NA
"48435","zcta",2019,"food_score",103.18
"48436","zcta",2019,"food_score",115.43
"48437","zcta",2019,"food_score",101.17
"48438","zcta",2019,"food_score",119.03
"48439","zcta",2019,"food_score",111.82
"48440","zcta",2019,"food_score",NA
"48441","zcta",2019,"food_score",103.8
"48442","zcta",2019,"food_score",103.75
"48444","zcta",2019,"food_score",92.25
"48445","zcta",2019,"food_score",97.87
"48446","zcta",2019,"food_score",99.46
"48449","zcta",2019,"food_score",92
"48450","zcta",2019,"food_score",99.22
"48451","zcta",2019,"food_score",110.12
"48453","zcta",2019,"food_score",88.46
"48454","zcta",2019,"food_score",94.48
"48455","zcta",2019,"food_score",116.45
"48456","zcta",2019,"food_score",104.87
"48457","zcta",2019,"food_score",93.65
"48458","zcta",2019,"food_score",72.26
"48460","zcta",2019,"food_score",117.27
"48461","zcta",2019,"food_score",99.35
"48462","zcta",2019,"food_score",112.86
"48463","zcta",2019,"food_score",106.07
"48464","zcta",2019,"food_score",96.88
"48465","zcta",2019,"food_score",105.97
"48466","zcta",2019,"food_score",93.44
"48467","zcta",2019,"food_score",107.02
"48468","zcta",2019,"food_score",103.46
"48469","zcta",2019,"food_score",105.09
"48470","zcta",2019,"food_score",112.3
"48471","zcta",2019,"food_score",90.8
"48472","zcta",2019,"food_score",106.37
"48473","zcta",2019,"food_score",102.48
"48475","zcta",2019,"food_score",104.11
"48476","zcta",2019,"food_score",103.86
"48502","zcta",2019,"food_score",NA
"48503","zcta",2019,"food_score",47.59
"48504","zcta",2019,"food_score",47.9
"48505","zcta",2019,"food_score",32.38
"48506","zcta",2019,"food_score",55.88
"48507","zcta",2019,"food_score",60.02
"48509","zcta",2019,"food_score",90.17
"48519","zcta",2019,"food_score",98.43
"48529","zcta",2019,"food_score",43.2
"48532","zcta",2019,"food_score",74.58
"48551","zcta",2019,"food_score",NA
"48553","zcta",2019,"food_score",NA
"48554","zcta",2019,"food_score",NA
"48601","zcta",2019,"food_score",42.84
"48602","zcta",2019,"food_score",60.3
"48603","zcta",2019,"food_score",109.51
"48604","zcta",2019,"food_score",92.84
"48607","zcta",2019,"food_score",73.04
"48609","zcta",2019,"food_score",113.8
"48610","zcta",2019,"food_score",82.8
"48611","zcta",2019,"food_score",111.52
"48612","zcta",2019,"food_score",81.25
"48613","zcta",2019,"food_score",96.99
"48614","zcta",2019,"food_score",86.74
"48615","zcta",2019,"food_score",93.99
"48616","zcta",2019,"food_score",96.48
"48617","zcta",2019,"food_score",101.39
"48618","zcta",2019,"food_score",87.08
"48619","zcta",2019,"food_score",91.76
"48621","zcta",2019,"food_score",95.19
"48622","zcta",2019,"food_score",96.88
"48623","zcta",2019,"food_score",115.16
"48624","zcta",2019,"food_score",85.66
"48625","zcta",2019,"food_score",67.95
"48626","zcta",2019,"food_score",114.83
"48627","zcta",2019,"food_score",98.45
"48628","zcta",2019,"food_score",102.97
"48629","zcta",2019,"food_score",90.65
"48630","zcta",2019,"food_score",NA
"48631","zcta",2019,"food_score",118.36
"48632","zcta",2019,"food_score",83.34
"48633","zcta",2019,"food_score",99.07
"48634","zcta",2019,"food_score",105.7
"48635","zcta",2019,"food_score",93.55
"48636","zcta",2019,"food_score",106.2
"48637","zcta",2019,"food_score",103.62
"48638","zcta",2019,"food_score",95.04
"48640","zcta",2019,"food_score",94.7
"48642","zcta",2019,"food_score",103.28
"48647","zcta",2019,"food_score",89.28
"48649","zcta",2019,"food_score",103.84
"48650","zcta",2019,"food_score",98.77
"48651","zcta",2019,"food_score",98.16
"48652","zcta",2019,"food_score",93.04
"48653","zcta",2019,"food_score",93.42
"48654","zcta",2019,"food_score",79.42
"48655","zcta",2019,"food_score",94.76
"48656","zcta",2019,"food_score",78.42
"48657","zcta",2019,"food_score",95.87
"48658","zcta",2019,"food_score",88.21
"48659","zcta",2019,"food_score",91.73
"48661","zcta",2019,"food_score",95.68
"48662","zcta",2019,"food_score",95.8
"48667","zcta",2019,"food_score",NA
"48701","zcta",2019,"food_score",88.12
"48703","zcta",2019,"food_score",91.2
"48705","zcta",2019,"food_score",92.24
"48706","zcta",2019,"food_score",88.94
"48708","zcta",2019,"food_score",79.17
"48710","zcta",2019,"food_score",NA
"48720","zcta",2019,"food_score",101.52
"48721","zcta",2019,"food_score",113.45
"48722","zcta",2019,"food_score",107.58
"48723","zcta",2019,"food_score",89.55
"48724","zcta",2019,"food_score",49.36
"48725","zcta",2019,"food_score",104.03
"48726","zcta",2019,"food_score",99.95
"48727","zcta",2019,"food_score",95.25
"48728","zcta",2019,"food_score",89.12
"48729","zcta",2019,"food_score",104.19
"48730","zcta",2019,"food_score",93.53
"48731","zcta",2019,"food_score",99.04
"48732","zcta",2019,"food_score",88.55
"48733","zcta",2019,"food_score",89.49
"48734","zcta",2019,"food_score",119.91
"48735","zcta",2019,"food_score",84.11
"48737","zcta",2019,"food_score",78.17
"48738","zcta",2019,"food_score",101.6
"48739","zcta",2019,"food_score",84.69
"48740","zcta",2019,"food_score",89.6
"48741","zcta",2019,"food_score",94.71
"48742","zcta",2019,"food_score",99.57
"48743","zcta",2019,"food_score",NA
"48744","zcta",2019,"food_score",97.54
"48745","zcta",2019,"food_score",89.62
"48746","zcta",2019,"food_score",105.49
"48747","zcta",2019,"food_score",117.83
"48748","zcta",2019,"food_score",74.62
"48749","zcta",2019,"food_score",97.49
"48750","zcta",2019,"food_score",81.96
"48754","zcta",2019,"food_score",97.11
"48755","zcta",2019,"food_score",110.56
"48756","zcta",2019,"food_score",60.17
"48757","zcta",2019,"food_score",100.63
"48759","zcta",2019,"food_score",113.49
"48760","zcta",2019,"food_score",99.63
"48761","zcta",2019,"food_score",86.27
"48762","zcta",2019,"food_score",92.66
"48763","zcta",2019,"food_score",94.42
"48765","zcta",2019,"food_score",95.38
"48766","zcta",2019,"food_score",77.96
"48767","zcta",2019,"food_score",106.12
"48768","zcta",2019,"food_score",91.73
"48770","zcta",2019,"food_score",85.39
"48801","zcta",2019,"food_score",92.72
"48806","zcta",2019,"food_score",105.65
"48807","zcta",2019,"food_score",102.19
"48808","zcta",2019,"food_score",113.39
"48809","zcta",2019,"food_score",95.58
"48811","zcta",2019,"food_score",NA
"48813","zcta",2019,"food_score",98.14
"48815","zcta",2019,"food_score",105.2
"48816","zcta",2019,"food_score",NA
"48817","zcta",2019,"food_score",102.34
"48818","zcta",2019,"food_score",85.34
"48819","zcta",2019,"food_score",112.87
"48820","zcta",2019,"food_score",117.88
"48821","zcta",2019,"food_score",111.91
"48822","zcta",2019,"food_score",119.21
"48823","zcta",2019,"food_score",107.58
"48825","zcta",2019,"food_score",NA
"48827","zcta",2019,"food_score",102.68
"48829","zcta",2019,"food_score",81.65
"48831","zcta",2019,"food_score",94.75
"48832","zcta",2019,"food_score",96.06
"48834","zcta",2019,"food_score",94.93
"48835","zcta",2019,"food_score",114.8
