"geoid","geolevel","year","level","value"
"03031","zcta",2019,"food_score",123.96
"03032","zcta",2019,"food_score",118.23
"03033","zcta",2019,"food_score",126.4
"03034","zcta",2019,"food_score",122.33
"03036","zcta",2019,"food_score",119.18
"03037","zcta",2019,"food_score",121.33
"03038","zcta",2019,"food_score",109.24
"03042","zcta",2019,"food_score",117.98
"03043","zcta",2019,"food_score",118.15
"03044","zcta",2019,"food_score",122.16
"03045","zcta",2019,"food_score",115.13
"03046","zcta",2019,"food_score",120.6
"03047","zcta",2019,"food_score",104.63
"03048","zcta",2019,"food_score",115.02
"03049","zcta",2019,"food_score",130.08
"03051","zcta",2019,"food_score",114.36
"03052","zcta",2019,"food_score",122.68
"03053","zcta",2019,"food_score",116.18
"03054","zcta",2019,"food_score",118.64
"03055","zcta",2019,"food_score",117.74
"03057","zcta",2019,"food_score",112.42
"03060","zcta",2019,"food_score",84.04
"03062","zcta",2019,"food_score",117.37
"03063","zcta",2019,"food_score",110.15
"03064","zcta",2019,"food_score",103
"03070","zcta",2019,"food_score",128.92
"03071","zcta",2019,"food_score",118.29
"03076","zcta",2019,"food_score",116.48
"03077","zcta",2019,"food_score",107.1
"03079","zcta",2019,"food_score",117.86
"03082","zcta",2019,"food_score",124.38
"03084","zcta",2019,"food_score",118.9
"03086","zcta",2019,"food_score",130.17
"03087","zcta",2019,"food_score",128.61
"03101","zcta",2019,"food_score",74.08
"03102","zcta",2019,"food_score",91.47
"03103","zcta",2019,"food_score",84
"03104","zcta",2019,"food_score",99.85
"03106","zcta",2019,"food_score",117.02
"03109","zcta",2019,"food_score",107.58
"03110","zcta",2019,"food_score",118.95
"03215","zcta",2019,"food_score",129.08
"03216","zcta",2019,"food_score",121.45
"03217","zcta",2019,"food_score",90.04
"03218","zcta",2019,"food_score",97.3
"03220","zcta",2019,"food_score",113.69
"03221","zcta",2019,"food_score",115.99
"03222","zcta",2019,"food_score",103.17
"03223","zcta",2019,"food_score",116.26
"03224","zcta",2019,"food_score",126.25
"03225","zcta",2019,"food_score",117.11
"03226","zcta",2019,"food_score",97.91
"03227","zcta",2019,"food_score",112.27
