"geoid","geolevel","year","level","value"
"89001","zcta",2019,"food_score",109.77
"89002","zcta",2019,"food_score",111.39
"89003","zcta",2019,"food_score",108.42
"89004","zcta",2019,"food_score",111.64
"89005","zcta",2019,"food_score",108.63
"89007","zcta",2019,"food_score",81.25
"89008","zcta",2019,"food_score",104.36
"89010","zcta",2019,"food_score",124.51
"89011","zcta",2019,"food_score",104.84
"89012","zcta",2019,"food_score",112.28
"89013","zcta",2019,"food_score",88.84
"89014","zcta",2019,"food_score",109.07
"89015","zcta",2019,"food_score",92.16
"89017","zcta",2019,"food_score",NA
"89018","zcta",2019,"food_score",NA
"89020","zcta",2019,"food_score",40.68
"89021","zcta",2019,"food_score",117.43
"89022","zcta",2019,"food_score",NA
"89025","zcta",2019,"food_score",110.5
"89026","zcta",2019,"food_score",NA
"89027","zcta",2019,"food_score",107.69
"89029","zcta",2019,"food_score",84.5
"89030","zcta",2019,"food_score",58.27
"89031","zcta",2019,"food_score",91.8
"89032","zcta",2019,"food_score",92.78
"89039","zcta",2019,"food_score",114.94
"89040","zcta",2019,"food_score",102.74
"89042","zcta",2019,"food_score",114.42
"89043","zcta",2019,"food_score",NA
"89044","zcta",2019,"food_score",123.88
"89045","zcta",2019,"food_score",126.93
"89046","zcta",2019,"food_score",118.28
"89047","zcta",2019,"food_score",128.26
"89048","zcta",2019,"food_score",85.77
"89049","zcta",2019,"food_score",81.67
"89052","zcta",2019,"food_score",116.55
"89054","zcta",2019,"food_score",NA
"89060","zcta",2019,"food_score",88.39
"89061","zcta",2019,"food_score",113.73
"89074","zcta",2019,"food_score",113.28
"89081","zcta",2019,"food_score",84.97
"89084","zcta",2019,"food_score",107.67
"89085","zcta",2019,"food_score",113.94
"89086","zcta",2019,"food_score",87.25
"89101","zcta",2019,"food_score",63.79
"89102","zcta",2019,"food_score",60.73
"89103","zcta",2019,"food_score",92.11
"89104","zcta",2019,"food_score",64.14
"89106","zcta",2019,"food_score",53.59
"89107","zcta",2019,"food_score",87.55
"89108","zcta",2019,"food_score",85.59
"89109","zcta",2019,"food_score",87.7
"89110","zcta",2019,"food_score",81.79
"89113","zcta",2019,"food_score",105.75
"89115","zcta",2019,"food_score",64.75
"89117","zcta",2019,"food_score",98.42
"89118","zcta",2019,"food_score",104.42
"89119","zcta",2019,"food_score",70.74
"89120","zcta",2019,"food_score",97.65
"89121","zcta",2019,"food_score",76.88
"89122","zcta",2019,"food_score",85.21
"89123","zcta",2019,"food_score",102.96
"89124","zcta",2019,"food_score",127.64
"89128","zcta",2019,"food_score",99.94
"89129","zcta",2019,"food_score",105.79
"89130","zcta",2019,"food_score",106.13
"89131","zcta",2019,"food_score",112.14
"89134","zcta",2019,"food_score",122.82
"89135","zcta",2019,"food_score",119.66
"89138","zcta",2019,"food_score",120.47
"89139","zcta",2019,"food_score",113.26
"89141","zcta",2019,"food_score",115.76
"89142","zcta",2019,"food_score",91.4
"89143","zcta",2019,"food_score",115.33
"89144","zcta",2019,"food_score",115.89
"89145","zcta",2019,"food_score",103.24
"89146","zcta",2019,"food_score",90.04
"89147","zcta",2019,"food_score",104.1
"89148","zcta",2019,"food_score",109.44
"89149","zcta",2019,"food_score",111.2
"89156","zcta",2019,"food_score",83.58
"89161","zcta",2019,"food_score",128.57
"89166","zcta",2019,"food_score",116.15
"89169","zcta",2019,"food_score",68.26
"89178","zcta",2019,"food_score",111.17
"89179","zcta",2019,"food_score",121.69
"89183","zcta",2019,"food_score",101.56
"89191","zcta",2019,"food_score",NA
"89301","zcta",2019,"food_score",105.05
"89310","zcta",2019,"food_score",122.99
"89311","zcta",2019,"food_score",129.96
"89314","zcta",2019,"food_score",78.01
"89316","zcta",2019,"food_score",122.48
"89317","zcta",2019,"food_score",72.21
"89318","zcta",2019,"food_score",121.32
"89319","zcta",2019,"food_score",119.06
"89402","zcta",2019,"food_score",NA
"89403","zcta",2019,"food_score",101.07
"89404","zcta",2019,"food_score",NA
"89405","zcta",2019,"food_score",128.67
"89406","zcta",2019,"food_score",99.72
"89408","zcta",2019,"food_score",97.45
"89409","zcta",2019,"food_score",114.42
"89410","zcta",2019,"food_score",111.52
"89411","zcta",2019,"food_score",132.49
"89412","zcta",2019,"food_score",118.68
"89413","zcta",2019,"food_score",130.07
"89414","zcta",2019,"food_score",109.58
"89415","zcta",2019,"food_score",90.48
"89418","zcta",2019,"food_score",127.26
"89419","zcta",2019,"food_score",NA
"89420","zcta",2019,"food_score",NA
"89422","zcta",2019,"food_score",118.56
"89423","zcta",2019,"food_score",123.2
"89424","zcta",2019,"food_score",102.17
"89425","zcta",2019,"food_score",128.3
"89426","zcta",2019,"food_score",98.09
"89427","zcta",2019,"food_score",66.16
"89428","zcta",2019,"food_score",99.46
"89429","zcta",2019,"food_score",87.07
"89430","zcta",2019,"food_score",128.77
"89431","zcta",2019,"food_score",85.28
"89433","zcta",2019,"food_score",88.83
"89434","zcta",2019,"food_score",111.51
"89436","zcta",2019,"food_score",116.14
"89438","zcta",2019,"food_score",NA
"89440","zcta",2019,"food_score",122.24
"89441","zcta",2019,"food_score",111.87
"89442","zcta",2019,"food_score",100.98
"89444","zcta",2019,"food_score",89.06
"89445","zcta",2019,"food_score",104.72
"89446","zcta",2019,"food_score",NA
"89447","zcta",2019,"food_score",101.56
"89448","zcta",2019,"food_score",121.11
"89449","zcta",2019,"food_score",117.04
"89450","zcta",2019,"food_score",NA
"89451","zcta",2019,"food_score",117.93
"89460","zcta",2019,"food_score",99.39
"89501","zcta",2019,"food_score",86.75
"89502","zcta",2019,"food_score",91.35
"89503","zcta",2019,"food_score",105.13
"89506","zcta",2019,"food_score",96.99
"89508","zcta",2019,"food_score",108.67
"89509","zcta",2019,"food_score",107.8
"89510","zcta",2019,"food_score",112.64
"89511","zcta",2019,"food_score",118.43
"89512","zcta",2019,"food_score",74.33
"89519","zcta",2019,"food_score",123.91
"89521","zcta",2019,"food_score",110.48
"89523","zcta",2019,"food_score",111.89
"89701","zcta",2019,"food_score",101.66
"89702","zcta",2019,"food_score",NA
"89703","zcta",2019,"food_score",113.25
"89704","zcta",2019,"food_score",117.24
"89705","zcta",2019,"food_score",95.82
"89706","zcta",2019,"food_score",91.89
"89801","zcta",2019,"food_score",107.69
"89815","zcta",2019,"food_score",118.7
"89820","zcta",2019,"food_score",113.55
"89821","zcta",2019,"food_score",120.81
"89822","zcta",2019,"food_score",126.44
"89823","zcta",2019,"food_score",128.98
"89825","zcta",2019,"food_score",75.2
"89826","zcta",2019,"food_score",NA
"89828","zcta",2019,"food_score",129.51
"89830","zcta",2019,"food_score",115.96
"89831","zcta",2019,"food_score",NA
"89832","zcta",2019,"food_score",81.84
"89833","zcta",2019,"food_score",130.23
"89834","zcta",2019,"food_score",54.74
"89835","zcta",2019,"food_score",122.28
"89883","zcta",2019,"food_score",107.11
"89001","zcta",2019,"food_rnk",63.9336
"89002","zcta",2019,"food_rnk",67.7078
"89003","zcta",2019,"food_rnk",60.7353
"89004","zcta",2019,"food_rnk",68.2772
"89005","zcta",2019,"food_rnk",61.2266
"89007","zcta",2019,"food_rnk",15.689
"89008","zcta",2019,"food_rnk",51.6577
"89010","zcta",2019,"food_rnk",93.6652
"89011","zcta",2019,"food_rnk",52.6891
"89012","zcta",2019,"food_rnk",69.6828
"89013","zcta",2019,"food_rnk",24.1549
