"geoid","geolevel","year","level","value"
"43001","zcta",2019,"food_score",120.62
"43002","zcta",2019,"food_score",128.36
"43003","zcta",2019,"food_score",94.75
"43004","zcta",2019,"food_score",105.89
"43005","zcta",2019,"food_score",129.06
"43006","zcta",2019,"food_score",113.13
"43008","zcta",2019,"food_score",77.67
"43009","zcta",2019,"food_score",104.93
"43010","zcta",2019,"food_score",96.69
"43011","zcta",2019,"food_score",115.45
"43013","zcta",2019,"food_score",123.55
"43014","zcta",2019,"food_score",102.38
"43015","zcta",2019,"food_score",107.11
"43016","zcta",2019,"food_score",112.1
"43017","zcta",2019,"food_score",114.48
"43019","zcta",2019,"food_score",111.96
"43021","zcta",2019,"food_score",124.49
"43022","zcta",2019,"food_score",NA
"43023","zcta",2019,"food_score",117.38
"43025","zcta",2019,"food_score",110.75
"43026","zcta",2019,"food_score",105.89
"43028","zcta",2019,"food_score",113.47
"43029","zcta",2019,"food_score",123.63
"43030","zcta",2019,"food_score",119.08
"43031","zcta",2019,"food_score",116.84
"43032","zcta",2019,"food_score",NA
"43033","zcta",2019,"food_score",96.23
"43035","zcta",2019,"food_score",118.93
"43036","zcta",2019,"food_score",102.67
"43037","zcta",2019,"food_score",74.67
"43040","zcta",2019,"food_score",112.2
"43044","zcta",2019,"food_score",97.74
"43045","zcta",2019,"food_score",120.48
"43046","zcta",2019,"food_score",109.25
"43050","zcta",2019,"food_score",94.45
"43054","zcta",2019,"food_score",123.77
"43055","zcta",2019,"food_score",83.42
"43056","zcta",2019,"food_score",97.31
"43060","zcta",2019,"food_score",114.7
"43061","zcta",2019,"food_score",119.87
"43062","zcta",2019,"food_score",108.68
"43064","zcta",2019,"food_score",114.26
"43065","zcta",2019,"food_score",119.75
"43066","zcta",2019,"food_score",128.86
"43067","zcta",2019,"food_score",121.4
"43068","zcta",2019,"food_score",96.04
"43070","zcta",2019,"food_score",54.71
"43071","zcta",2019,"food_score",101.42
"43072","zcta",2019,"food_score",107.31
"43074","zcta",2019,"food_score",117.12
"43076","zcta",2019,"food_score",107.83
"43077","zcta",2019,"food_score",126.73
"43078","zcta",2019,"food_score",98.25
"43080","zcta",2019,"food_score",105.5
"43081","zcta",2019,"food_score",105.44
"43082","zcta",2019,"food_score",121.49
"43084","zcta",2019,"food_score",109.24
"43085","zcta",2019,"food_score",113.3
"43101","zcta",2019,"food_score",75.2
"43102","zcta",2019,"food_score",106.19
"43103","zcta",2019,"food_score",107.48
"43105","zcta",2019,"food_score",101.66
"43106","zcta",2019,"food_score",90.65
"43107","zcta",2019,"food_score",97.61
"43109","zcta",2019,"food_score",NA
"43110","zcta",2019,"food_score",100.34
"43111","zcta",2019,"food_score",108.84
"43112","zcta",2019,"food_score",113.4
"43113","zcta",2019,"food_score",89.44
"43115","zcta",2019,"food_score",72.94
"43116","zcta",2019,"food_score",120.32
"43117","zcta",2019,"food_score",30.91
"43119","zcta",2019,"food_score",103.76
"43123","zcta",2019,"food_score",104.46
"43125","zcta",2019,"food_score",108.16
"43126","zcta",2019,"food_score",107.72
"43127","zcta",2019,"food_score",52.58
"43128","zcta",2019,"food_score",81.67
"43130","zcta",2019,"food_score",87.26
"43135","zcta",2019,"food_score",84.68
"43136","zcta",2019,"food_score",126.08
"43137","zcta",2019,"food_score",99.32
"43138","zcta",2019,"food_score",84.27
"43140","zcta",2019,"food_score",91.13
"43142","zcta",2019,"food_score",121.39
"43143","zcta",2019,"food_score",91.58
"43144","zcta",2019,"food_score",72.78
"43145","zcta",2019,"food_score",92.59
"43146","zcta",2019,"food_score",108.76
"43147","zcta",2019,"food_score",111.23
"43148","zcta",2019,"food_score",87.01
"43149","zcta",2019,"food_score",91.44
"43150","zcta",2019,"food_score",112.28
"43151","zcta",2019,"food_score",92.99
"43152","zcta",2019,"food_score",74.4
"43153","zcta",2019,"food_score",91.71
"43154","zcta",2019,"food_score",108.67
"43155","zcta",2019,"food_score",117.43
"43156","zcta",2019,"food_score",103.21
"43157","zcta",2019,"food_score",72.6
"43158","zcta",2019,"food_score",105.96
"43160","zcta",2019,"food_score",84.93
"43162","zcta",2019,"food_score",107.08
"43164","zcta",2019,"food_score",99.55
"43201","zcta",2019,"food_score",70.06
"43202","zcta",2019,"food_score",104.13
"43203","zcta",2019,"food_score",39.53
"43204","zcta",2019,"food_score",74.57
"43205","zcta",2019,"food_score",55.48
"43206","zcta",2019,"food_score",73.26
"43207","zcta",2019,"food_score",78.14
"43209","zcta",2019,"food_score",105.79
"43210","zcta",2019,"food_score",NA
"43211","zcta",2019,"food_score",39.25
"43212","zcta",2019,"food_score",121.53
"43213","zcta",2019,"food_score",76.99
"43214","zcta",2019,"food_score",118.26
"43215","zcta",2019,"food_score",101.13
"43217","zcta",2019,"food_score",88.48
"43219","zcta",2019,"food_score",66.9
"43220","zcta",2019,"food_score",111.14
"43221","zcta",2019,"food_score",117.88
"43222","zcta",2019,"food_score",39.79
"43223","zcta",2019,"food_score",64.98
"43224","zcta",2019,"food_score",62.19
"43227","zcta",2019,"food_score",63.45
"43228","zcta",2019,"food_score",81.12
"43229","zcta",2019,"food_score",82.4
"43230","zcta",2019,"food_score",108.71
"43231","zcta",2019,"food_score",83.28
"43232","zcta",2019,"food_score",76.96
"43235","zcta",2019,"food_score",113.35
"43240","zcta",2019,"food_score",110.38
"43302","zcta",2019,"food_score",77.69
"43310","zcta",2019,"food_score",95.22
"43311","zcta",2019,"food_score",93.34
"43314","zcta",2019,"food_score",108.9
"43315","zcta",2019,"food_score",108.32
"43316","zcta",2019,"food_score",107.58
"43317","zcta",2019,"food_score",68.21
"43318","zcta",2019,"food_score",107.84
"43319","zcta",2019,"food_score",130.1
"43320","zcta",2019,"food_score",100.82
"43321","zcta",2019,"food_score",96.03
"43322","zcta",2019,"food_score",98.67
"43323","zcta",2019,"food_score",119.83
"43324","zcta",2019,"food_score",109.17
"43326","zcta",2019,"food_score",100.79
"43330","zcta",2019,"food_score",NA
"43331","zcta",2019,"food_score",87.22
"43332","zcta",2019,"food_score",97.1
"43333","zcta",2019,"food_score",63.87
"43334","zcta",2019,"food_score",101.2
"43336","zcta",2019,"food_score",NA
"43337","zcta",2019,"food_score",106.17
"43338","zcta",2019,"food_score",102.41
"43340","zcta",2019,"food_score",115.93
"43341","zcta",2019,"food_score",95.45
"43342","zcta",2019,"food_score",109.5
"43343","zcta",2019,"food_score",104.92
"43344","zcta",2019,"food_score",114.49
"43345","zcta",2019,"food_score",108.12
"43347","zcta",2019,"food_score",101.87
"43348","zcta",2019,"food_score",83.91
"43351","zcta",2019,"food_score",104.09
"43356","zcta",2019,"food_score",94.42
"43357","zcta",2019,"food_score",117.24
"43358","zcta",2019,"food_score",111.78
"43359","zcta",2019,"food_score",112.04
"43360","zcta",2019,"food_score",120.87
"43402","zcta",2019,"food_score",105.78
"43403","zcta",2019,"food_score",NA
"43406","zcta",2019,"food_score",84.62
"43407","zcta",2019,"food_score",120.59
"43408","zcta",2019,"food_score",107.11
"43410","zcta",2019,"food_score",116.4
"43412","zcta",2019,"food_score",119.36
"43413","zcta",2019,"food_score",113.42
"43416","zcta",2019,"food_score",99.66
"43420","zcta",2019,"food_score",97.19
"43430","zcta",2019,"food_score",108.99
"43431","zcta",2019,"food_score",109.67
"43432","zcta",2019,"food_score",106.88
"43433","zcta",2019,"food_score",NA
"43434","zcta",2019,"food_score",NA
"43435","zcta",2019,"food_score",91.77
"43437","zcta",2019,"food_score",94.68
"43438","zcta",2019,"food_score",127.05
"43439","zcta",2019,"food_score",NA
"43440","zcta",2019,"food_score",98.11
"43442","zcta",2019,"food_score",109.31
"43443","zcta",2019,"food_score",121.48
"43445","zcta",2019,"food_score",124.59
"43446","zcta",2019,"food_score",NA
"43447","zcta",2019,"food_score",97.12
"43449","zcta",2019,"food_score",103.32
"43450","zcta",2019,"food_score",112.95
"43451","zcta",2019,"food_score",122.35
"43452","zcta",2019,"food_score",97.35
"43456","zcta",2019,"food_score",130.68
"43457","zcta",2019,"food_score",101.51
"43458","zcta",2019,"food_score",117.81
"43460","zcta",2019,"food_score",117.92
"43462","zcta",2019,"food_score",71.9
"43463","zcta",2019,"food_score",NA
"43464","zcta",2019,"food_score",107.72
"43465","zcta",2019,"food_score",115.7
"43466","zcta",2019,"food_score",114.28
"43467","zcta",2019,"food_score",95.66
"43468","zcta",2019,"food_score",72.74
"43469","zcta",2019,"food_score",116.3
"43501","zcta",2019,"food_score",90.75
"43502","zcta",2019,"food_score",116.53
"43504","zcta",2019,"food_score",120.88
"43505","zcta",2019,"food_score",NA
"43506","zcta",2019,"food_score",101.36
"43511","zcta",2019,"food_score",109.64
"43512","zcta",2019,"food_score",96.3
"43515","zcta",2019,"food_score",104.65
"43516","zcta",2019,"food_score",109.39
"43517","zcta",2019,"food_score",111.69
"43518","zcta",2019,"food_score",110.54
"43519","zcta",2019,"food_score",130.09
"43521","zcta",2019,"food_score",95.29
"43522","zcta",2019,"food_score",114.25
"43523","zcta",2019,"food_score",NA
"43524","zcta",2019,"food_score",111.92
"43525","zcta",2019,"food_score",120.14
"43526","zcta",2019,"food_score",117.66
"43527","zcta",2019,"food_score",109.2
"43528","zcta",2019,"food_score",104.64
"43529","zcta",2019,"food_score",119.65
"43531","zcta",2019,"food_score",55.92
"43532","zcta",2019,"food_score",108.18
"43533","zcta",2019,"food_score",111.32
"43534","zcta",2019,"food_score",115.31
"43535","zcta",2019,"food_score",113.49
"43536","zcta",2019,"food_score",NA
"43537","zcta",2019,"food_score",112.05
"43540","zcta",2019,"food_score",100.77
"43541","zcta",2019,"food_score",113.5
"43542","zcta",2019,"food_score",125.98
"43543","zcta",2019,"food_score",97.38
"43545","zcta",2019,"food_score",104.46
"43547","zcta",2019,"food_score",80.76
"43548","zcta",2019,"food_score",119.68
"43549","zcta",2019,"food_score",113.91
"43551","zcta",2019,"food_score",113.83
"43553","zcta",2019,"food_score",93.99
"43554","zcta",2019,"food_score",109.19
"43555","zcta",2019,"food_score",129.98
"43556","zcta",2019,"food_score",103.16
"43557","zcta",2019,"food_score",106.2
"43558","zcta",2019,"food_score",103.78
"43560","zcta",2019,"food_score",112.37
"43565","zcta",2019,"food_score",121.06
"43566","zcta",2019,"food_score",122.32
"43567","zcta",2019,"food_score",95.98
"43569","zcta",2019,"food_score",100.26
"43570","zcta",2019,"food_score",99.66
"43571","zcta",2019,"food_score",121.99
"43604","zcta",2019,"food_score",35.48
"43605","zcta",2019,"food_score",49.59
"43606","zcta",2019,"food_score",87.57
"43607","zcta",2019,"food_score",59.69
"43608","zcta",2019,"food_score",36.9
"43609","zcta",2019,"food_score",56.81
"43610","zcta",2019,"food_score",51.45
"43611","zcta",2019,"food_score",75.62
"43612","zcta",2019,"food_score",78.71
"43613","zcta",2019,"food_score",88.93
"43614","zcta",2019,"food_score",97.96
"43615","zcta",2019,"food_score",79.54
"43616","zcta",2019,"food_score",106.95
"43617","zcta",2019,"food_score",119.07
"43619","zcta",2019,"food_score",109.33
"43620","zcta",2019,"food_score",38.84
"43623","zcta",2019,"food_score",103.09
"43701","zcta",2019,"food_score",72.25
"43711","zcta",2019,"food_score",NA
"43713","zcta",2019,"food_score",100.83
"43716","zcta",2019,"food_score",88.24
"43717","zcta",2019,"food_score",116.98
"43718","zcta",2019,"food_score",103.98
"43719","zcta",2019,"food_score",108.83
"43720","zcta",2019,"food_score",110.46
"43721","zcta",2019,"food_score",3.81
"43722","zcta",2019,"food_score",85.7
"43723","zcta",2019,"food_score",85.29
"43724","zcta",2019,"food_score",101.16
"43725","zcta",2019,"food_score",81.42
"43727","zcta",2019,"food_score",110.57
"43728","zcta",2019,"food_score",72.01
"43730","zcta",2019,"food_score",87.37
"43731","zcta",2019,"food_score",80.93
"43732","zcta",2019,"food_score",110.1
"43733","zcta",2019,"food_score",NA
"43734","zcta",2019,"food_score",95.72
"43735","zcta",2019,"food_score",76.68
"43736","zcta",2019,"food_score",NA
"43738","zcta",2019,"food_score",109.12
"43739","zcta",2019,"food_score",115.51
"43740","zcta",2019,"food_score",87.93
"43746","zcta",2019,"food_score",90.99
"43747","zcta",2019,"food_score",115.49
"43748","zcta",2019,"food_score",74.11
"43749","zcta",2019,"food_score",96.23
"43750","zcta",2019,"food_score",NA
"43754","zcta",2019,"food_score",92.66
"43755","zcta",2019,"food_score",102.52
"43756","zcta",2019,"food_score",85.03
"43758","zcta",2019,"food_score",71.37
"43759","zcta",2019,"food_score",NA
"43760","zcta",2019,"food_score",99.82
"43761","zcta",2019,"food_score",NA
"43762","zcta",2019,"food_score",111.98
"43764","zcta",2019,"food_score",69.65
"43766","zcta",2019,"food_score",76.45
"43767","zcta",2019,"food_score",99.21
"43768","zcta",2019,"food_score",50.29
"43771","zcta",2019,"food_score",83.22
"43772","zcta",2019,"food_score",98.35
"43773","zcta",2019,"food_score",103.68
"43777","zcta",2019,"food_score",82.47
"43778","zcta",2019,"food_score",113.84
"43779","zcta",2019,"food_score",99.95
"43780","zcta",2019,"food_score",113.82
"43782","zcta",2019,"food_score",75.97
"43783","zcta",2019,"food_score",91.43
