"geoid","geolevel","year","level","value"
"05001","zcta",2019,"food_score",108.44
"05031","zcta",2019,"food_score",81.46
"05032","zcta",2019,"food_score",105.16
"05033","zcta",2019,"food_score",87.08
"05034","zcta",2019,"food_score",121.67
"05035","zcta",2019,"food_score",111.13
"05036","zcta",2019,"food_score",97.43
"05037","zcta",2019,"food_score",120.16
"05038","zcta",2019,"food_score",84.15
"05039","zcta",2019,"food_score",84.17
"05040","zcta",2019,"food_score",108.52
"05041","zcta",2019,"food_score",50.01
"05042","zcta",2019,"food_score",92.14
"05043","zcta",2019,"food_score",91.89
"05045","zcta",2019,"food_score",119.03
"05046","zcta",2019,"food_score",104.68
"05048","zcta",2019,"food_score",115.12
"05050","zcta",2019,"food_score",109.32
"05051","zcta",2019,"food_score",82.57
"05052","zcta",2019,"food_score",122.68
"05053","zcta",2019,"food_score",123.19
"05055","zcta",2019,"food_score",126.91
"05056","zcta",2019,"food_score",121.45
"05058","zcta",2019,"food_score",95
"05059","zcta",2019,"food_score",103.45
"05060","zcta",2019,"food_score",104.62
"05061","zcta",2019,"food_score",110.97
"05062","zcta",2019,"food_score",104.97
"05065","zcta",2019,"food_score",103.82
"05067","zcta",2019,"food_score",130.18
"05068","zcta",2019,"food_score",91.83
"05069","zcta",2019,"food_score",75.59
"05070","zcta",2019,"food_score",117.61
"05071","zcta",2019,"food_score",118.67
"05072","zcta",2019,"food_score",115.8
"05075","zcta",2019,"food_score",114.77
"05076","zcta",2019,"food_score",94.64
"05077","zcta",2019,"food_score",113.1
"05079","zcta",2019,"food_score",96.69
"05081","zcta",2019,"food_score",73.04
"05083","zcta",2019,"food_score",125.17
"05084","zcta",2019,"food_score",129.98
"05086","zcta",2019,"food_score",104.46
"05089","zcta",2019,"food_score",104.05
"05091","zcta",2019,"food_score",115.01
"05101","zcta",2019,"food_score",87.02
"05141","zcta",2019,"food_score",109.37
"05142","zcta",2019,"food_score",86.9
"05143","zcta",2019,"food_score",97.04
"05146","zcta",2019,"food_score",116.11
"05148","zcta",2019,"food_score",106.41
"05149","zcta",2019,"food_score",106.92
"05150","zcta",2019,"food_score",72.87
"05151","zcta",2019,"food_score",85.66
"05152","zcta",2019,"food_score",123.09
"05153","zcta",2019,"food_score",99.28
"05154","zcta",2019,"food_score",73.81
"05155","zcta",2019,"food_score",99.35
"05156","zcta",2019,"food_score",100.02
"05158","zcta",2019,"food_score",106.77
"05161","zcta",2019,"food_score",109.06
"05201","zcta",2019,"food_score",86.15
"05250","zcta",2019,"food_score",98.39
"05251","zcta",2019,"food_score",116.32
"05252","zcta",2019,"food_score",104.75
"05253","zcta",2019,"food_score",121.79
"05254","zcta",2019,"food_score",129.82
"05255","zcta",2019,"food_score",117.82
"05257","zcta",2019,"food_score",85.41
"05260","zcta",2019,"food_score",79.52
