"geoid","geolevel","year","level","value"
"98001","zcta",2019,"food_score",93.74
"98002","zcta",2019,"food_score",82.42
"98003","zcta",2019,"food_score",81.42
"98004","zcta",2019,"food_score",121.24
"98005","zcta",2019,"food_score",118.11
"98006","zcta",2019,"food_score",116.83
"98007","zcta",2019,"food_score",103.42
"98008","zcta",2019,"food_score",113.84
"98010","zcta",2019,"food_score",117.72
"98011","zcta",2019,"food_score",116.67
"98012","zcta",2019,"food_score",109.34
"98014","zcta",2019,"food_score",120.68
"98019","zcta",2019,"food_score",121.68
"98020","zcta",2019,"food_score",121.47
"98021","zcta",2019,"food_score",116.01
"98022","zcta",2019,"food_score",107.29
"98023","zcta",2019,"food_score",92.55
"98024","zcta",2019,"food_score",115.44
"98026","zcta",2019,"food_score",111.01
"98027","zcta",2019,"food_score",112.09
"98028","zcta",2019,"food_score",117.16
"98029","zcta",2019,"food_score",118.36
"98030","zcta",2019,"food_score",75.3
"98031","zcta",2019,"food_score",93.92
"98032","zcta",2019,"food_score",84.62
"98033","zcta",2019,"food_score",120.72
"98034","zcta",2019,"food_score",113.94
"98036","zcta",2019,"food_score",101.29
"98037","zcta",2019,"food_score",101.24
"98038","zcta",2019,"food_score",114.71
"98039","zcta",2019,"food_score",128.97
"98040","zcta",2019,"food_score",121.73
"98042","zcta",2019,"food_score",104.27
"98043","zcta",2019,"food_score",101.56
"98045","zcta",2019,"food_score",117.05
"98047","zcta",2019,"food_score",104.21
"98050","zcta",2019,"food_score",129.51
"98051","zcta",2019,"food_score",117.51
"98052","zcta",2019,"food_score",114.55
"98053","zcta",2019,"food_score",123.06
"98055","zcta",2019,"food_score",106.66
"98056","zcta",2019,"food_score",104.07
"98057","zcta",2019,"food_score",89.26
"98058","zcta",2019,"food_score",106.08
"98059","zcta",2019,"food_score",111.21
"98065","zcta",2019,"food_score",118.64
"98068","zcta",2019,"food_score",126.65
"98070","zcta",2019,"food_score",117.17
"98072","zcta",2019,"food_score",118.6
"98074","zcta",2019,"food_score",121.33
"98075","zcta",2019,"food_score",123.61
"98077","zcta",2019,"food_score",124.45
"98087","zcta",2019,"food_score",100.47
"98092","zcta",2019,"food_score",99.28
"98101","zcta",2019,"food_score",98.33
"98102","zcta",2019,"food_score",116.04
"98103","zcta",2019,"food_score",116.14
"98104","zcta",2019,"food_score",94.05
"98105","zcta",2019,"food_score",113.45
"98106","zcta",2019,"food_score",83.39
"98107","zcta",2019,"food_score",114.27
"98108","zcta",2019,"food_score",77.81
"98109","zcta",2019,"food_score",117.54
"98110","zcta",2019,"food_score",123.58
"98112","zcta",2019,"food_score",117.66
"98115","zcta",2019,"food_score",114.03
"98116","zcta",2019,"food_score",121.24
"98117","zcta",2019,"food_score",115.19
"98118","zcta",2019,"food_score",86.95
"98119","zcta",2019,"food_score",118
"98121","zcta",2019,"food_score",116.76
"98122","zcta",2019,"food_score",91.26
"98125","zcta",2019,"food_score",109.53
"98126","zcta",2019,"food_score",100.42
"98133","zcta",2019,"food_score",105.04
"98134","zcta",2019,"food_score",NA
"98136","zcta",2019,"food_score",116.81
"98144","zcta",2019,"food_score",99.59
"98146","zcta",2019,"food_score",93.82
"98148","zcta",2019,"food_score",95.58
"98154","zcta",2019,"food_score",NA
"98155","zcta",2019,"food_score",113.42
"98158","zcta",2019,"food_score",NA
"98164","zcta",2019,"food_score",115.05
"98166","zcta",2019,"food_score",107.03
"98168","zcta",2019,"food_score",82.5
"98174","zcta",2019,"food_score",NA
"98177","zcta",2019,"food_score",118.43
"98178","zcta",2019,"food_score",85.74
"98188","zcta",2019,"food_score",85.26
"98195","zcta",2019,"food_score",NA
"98198","zcta",2019,"food_score",93.85
"98199","zcta",2019,"food_score",117.12
"98201","zcta",2019,"food_score",86.56
"98203","zcta",2019,"food_score",95.51
"98204","zcta",2019,"food_score",80.24
"98205","zcta",2019,"food_score",113.55
"98207","zcta",2019,"food_score",NA
"98208","zcta",2019,"food_score",99.29
"98220","zcta",2019,"food_score",61.81
"98221","zcta",2019,"food_score",109.96
"98222","zcta",2019,"food_score",NA
"98223","zcta",2019,"food_score",104.63
"98224","zcta",2019,"food_score",111.61
"98225","zcta",2019,"food_score",99.23
"98226","zcta",2019,"food_score",93.32
"98229","zcta",2019,"food_score",107.92
"98230","zcta",2019,"food_score",104.1
"98232","zcta",2019,"food_score",87.56
"98233","zcta",2019,"food_score",97.63
"98235","zcta",2019,"food_score",NA
"98236","zcta",2019,"food_score",109.68
"98237","zcta",2019,"food_score",83.24
"98238","zcta",2019,"food_score",NA
"98239","zcta",2019,"food_score",106.77
"98240","zcta",2019,"food_score",113.99
"98241","zcta",2019,"food_score",87.13
"98243","zcta",2019,"food_score",127.09
"98244","zcta",2019,"food_score",85.35
"98245","zcta",2019,"food_score",115.04
"98247","zcta",2019,"food_score",85.23
"98248","zcta",2019,"food_score",99.01
"98249","zcta",2019,"food_score",103.48
"98250","zcta",2019,"food_score",115.05
"98251","zcta",2019,"food_score",95.84
"98252","zcta",2019,"food_score",97.68
"98253","zcta",2019,"food_score",130.21
"98255","zcta",2019,"food_score",75.49
"98256","zcta",2019,"food_score",106.36
"98257","zcta",2019,"food_score",102.03
"98258","zcta",2019,"food_score",108.55
"98260","zcta",2019,"food_score",120.64
"98261","zcta",2019,"food_score",120.76
"98262","zcta",2019,"food_score",94.11
"98263","zcta",2019,"food_score",NA
"98264","zcta",2019,"food_score",106.26
"98266","zcta",2019,"food_score",55.83
"98267","zcta",2019,"food_score",44.06
"98270","zcta",2019,"food_score",101.57
"98271","zcta",2019,"food_score",105.82
"98272","zcta",2019,"food_score",106.76
"98273","zcta",2019,"food_score",85.77
"98274","zcta",2019,"food_score",102.8
"98275","zcta",2019,"food_score",120.46
"98276","zcta",2019,"food_score",96.97
"98277","zcta",2019,"food_score",106.3
"98278","zcta",2019,"food_score",NA
"98279","zcta",2019,"food_score",110.98
"98280","zcta",2019,"food_score",130.3
"98281","zcta",2019,"food_score",125.46
"98282","zcta",2019,"food_score",113.56
"98283","zcta",2019,"food_score",76.27
"98284","zcta",2019,"food_score",98.54
"98286","zcta",2019,"food_score",127.86
"98288","zcta",2019,"food_score",120.08
"98290","zcta",2019,"food_score",110.07
"98292","zcta",2019,"food_score",114.06
"98294","zcta",2019,"food_score",103.86
"98295","zcta",2019,"food_score",93.25
"98296","zcta",2019,"food_score",121.4
"98297","zcta",2019,"food_score",NA
"98303","zcta",2019,"food_score",128.13
"98304","zcta",2019,"food_score",95.73
"98305","zcta",2019,"food_score",72.97
"98310","zcta",2019,"food_score",93.15
"98311","zcta",2019,"food_score",105.82
"98312","zcta",2019,"food_score",94.58
"98314","zcta",2019,"food_score",NA
"98315","zcta",2019,"food_score",NA
"98320","zcta",2019,"food_score",97.77
"98321","zcta",2019,"food_score",114.32
"98323","zcta",2019,"food_score",109.81
"98325","zcta",2019,"food_score",125.75
"98326","zcta",2019,"food_score",108.93
"98327","zcta",2019,"food_score",121.6
"98328","zcta",2019,"food_score",110.38
"98329","zcta",2019,"food_score",106.01
"98330","zcta",2019,"food_score",115.85
"98331","zcta",2019,"food_score",90.18
"98332","zcta",2019,"food_score",121.66
"98333","zcta",2019,"food_score",117.28
"98335","zcta",2019,"food_score",119.6
"98336","zcta",2019,"food_score",87.01
"98337","zcta",2019,"food_score",88.58
"98338","zcta",2019,"food_score",100.74
"98339","zcta",2019,"food_score",103.62
"98340","zcta",2019,"food_score",113.12
"98342","zcta",2019,"food_score",107.44
"98345","zcta",2019,"food_score",107
"98346","zcta",2019,"food_score",106.35
"98349","zcta",2019,"food_score",103.73
"98350","zcta",2019,"food_score",48.33
"98351","zcta",2019,"food_score",68.79
"98353","zcta",2019,"food_score",NA
"98354","zcta",2019,"food_score",113.19
"98355","zcta",2019,"food_score",96.69
"98356","zcta",2019,"food_score",70.49
"98357","zcta",2019,"food_score",70.46
"98358","zcta",2019,"food_score",124.47
"98359","zcta",2019,"food_score",107.21
"98360","zcta",2019,"food_score",104.84
"98361","zcta",2019,"food_score",109.87
"98362","zcta",2019,"food_score",88.86
"98363","zcta",2019,"food_score",88.19
"98364","zcta",2019,"food_score",NA
"98365","zcta",2019,"food_score",110.62
"98366","zcta",2019,"food_score",97.66
"98367","zcta",2019,"food_score",104.43
"98368","zcta",2019,"food_score",104.63
"98370","zcta",2019,"food_score",114.63
"98371","zcta",2019,"food_score",107.07
"98372","zcta",2019,"food_score",106.28
"98373","zcta",2019,"food_score",95.21
"98374","zcta",2019,"food_score",101.15
"98375","zcta",2019,"food_score",102.4
"98376","zcta",2019,"food_score",98.7
"98377","zcta",2019,"food_score",98.92
"98380","zcta",2019,"food_score",116.7
"98381","zcta",2019,"food_score",124.67
"98382","zcta",2019,"food_score",101.74
"98383","zcta",2019,"food_score",116.78
"98385","zcta",2019,"food_score",90.23
"98387","zcta",2019,"food_score",91.55
"98388","zcta",2019,"food_score",115.26
"98390","zcta",2019,"food_score",106.95
"98391","zcta",2019,"food_score",110.54
"98392","zcta",2019,"food_score",102.71
"98394","zcta",2019,"food_score",122.06
"98396","zcta",2019,"food_score",102.42
"98402","zcta",2019,"food_score",89.16
"98403","zcta",2019,"food_score",110.88
"98404","zcta",2019,"food_score",75.07
"98405","zcta",2019,"food_score",85.72
"98406","zcta",2019,"food_score",110.69
"98407","zcta",2019,"food_score",99.23
"98408","zcta",2019,"food_score",84.44
"98409","zcta",2019,"food_score",74.78
"98416","zcta",2019,"food_score",NA
"98418","zcta",2019,"food_score",87.13
"98421","zcta",2019,"food_score",NA
"98422","zcta",2019,"food_score",114.69
"98424","zcta",2019,"food_score",104.9
"98430","zcta",2019,"food_score",NA
"98433","zcta",2019,"food_score",115.58
"98438","zcta",2019,"food_score",NA
"98439","zcta",2019,"food_score",87.19
"98443","zcta",2019,"food_score",102.97
"98444","zcta",2019,"food_score",77.54
"98445","zcta",2019,"food_score",93.72
"98446","zcta",2019,"food_score",97.38
"98447","zcta",2019,"food_score",NA
"98465","zcta",2019,"food_score",90.37
"98466","zcta",2019,"food_score",99.57
"98467","zcta",2019,"food_score",95.13
"98498","zcta",2019,"food_score",104.58
"98499","zcta",2019,"food_score",71.45
"98501","zcta",2019,"food_score",105.41
"98502","zcta",2019,"food_score",93.15
"98503","zcta",2019,"food_score",98.65
"98506","zcta",2019,"food_score",105.84
"98512","zcta",2019,"food_score",105.85
"98513","zcta",2019,"food_score",102.76
"98516","zcta",2019,"food_score",113.4
"98520","zcta",2019,"food_score",75.93
"98524","zcta",2019,"food_score",111.29
"98526","zcta",2019,"food_score",81.93
"98527","zcta",2019,"food_score",86.15
"98528","zcta",2019,"food_score",95.58
"98530","zcta",2019,"food_score",62.62
"98531","zcta",2019,"food_score",73.7
"98532","zcta",2019,"food_score",95.22
"98533","zcta",2019,"food_score",117.45
"98535","zcta",2019,"food_score",70.84
"98536","zcta",2019,"food_score",NA
"98537","zcta",2019,"food_score",98.56
"98538","zcta",2019,"food_score",108.29
"98541","zcta",2019,"food_score",90.01
"98542","zcta",2019,"food_score",85
"98544","zcta",2019,"food_score",NA
"98546","zcta",2019,"food_score",75.03
"98547","zcta",2019,"food_score",78.83
"98548","zcta",2019,"food_score",106.97
"98550","zcta",2019,"food_score",79.17
"98552","zcta",2019,"food_score",110.52
"98555","zcta",2019,"food_score",89.03
"98557","zcta",2019,"food_score",95.4
"98558","zcta",2019,"food_score",127.71
"98559","zcta",2019,"food_score",NA
"98560","zcta",2019,"food_score",128.6
"98562","zcta",2019,"food_score",NA
"98563","zcta",2019,"food_score",97.61
"98564","zcta",2019,"food_score",92.91
"98565","zcta",2019,"food_score",59.86
"98568","zcta",2019,"food_score",92.17
"98569","zcta",2019,"food_score",110.06
"98570","zcta",2019,"food_score",92.84
"98571","zcta",2019,"food_score",61.6
"98572","zcta",2019,"food_score",91.98
"98575","zcta",2019,"food_score",82.18
"98576","zcta",2019,"food_score",96.72
"98577","zcta",2019,"food_score",91.72
"98579","zcta",2019,"food_score",100.81
"98580","zcta",2019,"food_score",88.09
"98581","zcta",2019,"food_score",105.17
"98582","zcta",2019,"food_score",124.86
"98583","zcta",2019,"food_score",121.32
"98584","zcta",2019,"food_score",80.67
"98585","zcta",2019,"food_score",121.11
"98586","zcta",2019,"food_score",66.01
"98587","zcta",2019,"food_score",54.37
"98588","zcta",2019,"food_score",68.75
"98589","zcta",2019,"food_score",99.89
"98590","zcta",2019,"food_score",92.61
"98591","zcta",2019,"food_score",107.93
"98592","zcta",2019,"food_score",114.96
"98593","zcta",2019,"food_score",64.97
"98595","zcta",2019,"food_score",86.4
"98596","zcta",2019,"food_score",92.83
"98597","zcta",2019,"food_score",96.25
"98601","zcta",2019,"food_score",101.38
"98602","zcta",2019,"food_score",125.71
"98603","zcta",2019,"food_score",81.77
"98604","zcta",2019,"food_score",101.94
"98605","zcta",2019,"food_score",93.69
"98606","zcta",2019,"food_score",111.56
"98607","zcta",2019,"food_score",111.37
"98610","zcta",2019,"food_score",93.98
"98611","zcta",2019,"food_score",95.63
"98612","zcta",2019,"food_score",98.48
"98613","zcta",2019,"food_score",97.87
"98614","zcta",2019,"food_score",117.05
"98616","zcta",2019,"food_score",124
"98617","zcta",2019,"food_score",75.75
"98619","zcta",2019,"food_score",85.15
"98620","zcta",2019,"food_score",86.95
"98621","zcta",2019,"food_score",114.79
"98624","zcta",2019,"food_score",102.73
"98625","zcta",2019,"food_score",103.43
"98626","zcta",2019,"food_score",79.8
"98628","zcta",2019,"food_score",68.19
"98629","zcta",2019,"food_score",106.21
"98631","zcta",2019,"food_score",79.14
"98632","zcta",2019,"food_score",67.9
"98635","zcta",2019,"food_score",75.52
"98638","zcta",2019,"food_score",108.01
"98639","zcta",2019,"food_score",114.15
"98640","zcta",2019,"food_score",89.18
"98641","zcta",2019,"food_score",NA
"98642","zcta",2019,"food_score",112.8
"98643","zcta",2019,"food_score",117.89
"98644","zcta",2019,"food_score",96.71
"98645","zcta",2019,"food_score",120.92
"98647","zcta",2019,"food_score",92.44
"98648","zcta",2019,"food_score",97.73
"98649","zcta",2019,"food_score",79.31
"98650","zcta",2019,"food_score",102.83
"98651","zcta",2019,"food_score",118.5
"98660","zcta",2019,"food_score",81.93
"98661","zcta",2019,"food_score",75.34
"98662","zcta",2019,"food_score",90.66
"98663","zcta",2019,"food_score",94.86
"98664","zcta",2019,"food_score",87.62
"98665","zcta",2019,"food_score",101.78
"98670","zcta",2019,"food_score",NA
"98671","zcta",2019,"food_score",105.01
"98672","zcta",2019,"food_score",100.27
"98673","zcta",2019,"food_score",73.94
"98674","zcta",2019,"food_score",93.63
"98675","zcta",2019,"food_score",112.31
"98682","zcta",2019,"food_score",94.74
"98683","zcta",2019,"food_score",104.18
"98684","zcta",2019,"food_score",101.18
"98685","zcta",2019,"food_score",113.75
"98686","zcta",2019,"food_score",110.87
"98801","zcta",2019,"food_score",96.02
"98802","zcta",2019,"food_score",98.97
"98811","zcta",2019,"food_score",74.42
"98812","zcta",2019,"food_score",97.47
"98813","zcta",2019,"food_score",86.19
"98814","zcta",2019,"food_score",114.12
"98815","zcta",2019,"food_score",105.16
"98816","zcta",2019,"food_score",102.12
"98817","zcta",2019,"food_score",126.96
"98819","zcta",2019,"food_score",92.24
"98821","zcta",2019,"food_score",118.55
"98822","zcta",2019,"food_score",106.8
"98823","zcta",2019,"food_score",91.88
"98824","zcta",2019,"food_score",64.27
"98826","zcta",2019,"food_score",109.72
"98827","zcta",2019,"food_score",41.32
"98828","zcta",2019,"food_score",122
"98829","zcta",2019,"food_score",79.08
"98830","zcta",2019,"food_score",88.59
"98831","zcta",2019,"food_score",125.04
"98832","zcta",2019,"food_score",121.55
"98833","zcta",2019,"food_score",79.61
"98834","zcta",2019,"food_score",81.29
"98836","zcta",2019,"food_score",129.03
"98837","zcta",2019,"food_score",82.65
"98840","zcta",2019,"food_score",90.23
"98841","zcta",2019,"food_score",63.69
"98843","zcta",2019,"food_score",113.69
"98844","zcta",2019,"food_score",79.41
"98845","zcta",2019,"food_score",99.66
"98846","zcta",2019,"food_score",107.13
"98847","zcta",2019,"food_score",110.89
"98848","zcta",2019,"food_score",96.97
"98849","zcta",2019,"food_score",83.58
"98850","zcta",2019,"food_score",78.05
"98851","zcta",2019,"food_score",88.3
"98852","zcta",2019,"food_score",NA
"98853","zcta",2019,"food_score",NA
"98855","zcta",2019,"food_score",77.05
"98856","zcta",2019,"food_score",97.82
"98857","zcta",2019,"food_score",88.09
"98858","zcta",2019,"food_score",108.79
"98859","zcta",2019,"food_score",104.2
"98860","zcta",2019,"food_score",110.85
"98862","zcta",2019,"food_score",96.58
"98901","zcta",2019,"food_score",63.53
"98902","zcta",2019,"food_score",68.72
"98903","zcta",2019,"food_score",94.66
"98908","zcta",2019,"food_score",102.97
"98921","zcta",2019,"food_score",116.52
"98922","zcta",2019,"food_score",81.89
"98923","zcta",2019,"food_score",94.2
"98925","zcta",2019,"food_score",119.5
"98926","zcta",2019,"food_score",106.16
"98929","zcta",2019,"food_score",NA
"98930","zcta",2019,"food_score",81.19
"98932","zcta",2019,"food_score",55.71
"98933","zcta",2019,"food_score",84.99
"98934","zcta",2019,"food_score",68.89
"98935","zcta",2019,"food_score",79.88
"98936","zcta",2019,"food_score",110.1
"98937","zcta",2019,"food_score",106.8
"98938","zcta",2019,"food_score",50.57
"98939","zcta",2019,"food_score",NA
"98940","zcta",2019,"food_score",124.99
"98941","zcta",2019,"food_score",116.43
"98942","zcta",2019,"food_score",98.3
"98943","zcta",2019,"food_score",88.93
"98944","zcta",2019,"food_score",62.47
"98946","zcta",2019,"food_score",97.54
"98947","zcta",2019,"food_score",90.83
"98948","zcta",2019,"food_score",66.93
"98950","zcta",2019,"food_score",NA
"98951","zcta",2019,"food_score",63.05
"98952","zcta",2019,"food_score",58
"98953","zcta",2019,"food_score",81.65
"99001","zcta",2019,"food_score",NA
"99003","zcta",2019,"food_score",110.23
"99004","zcta",2019,"food_score",106.79
"99005","zcta",2019,"food_score",113.19
"99006","zcta",2019,"food_score",102.4
"99008","zcta",2019,"food_score",95.93
"99009","zcta",2019,"food_score",83.59
"99011","zcta",2019,"food_score",122.78
"99012","zcta",2019,"food_score",95.79
"99013","zcta",2019,"food_score",83.93
"99016","zcta",2019,"food_score",114.86
"99017","zcta",2019,"food_score",69.49
"99018","zcta",2019,"food_score",92.37
"99019","zcta",2019,"food_score",110.08
"99020","zcta",2019,"food_score",NA
"99021","zcta",2019,"food_score",108.62
"99022","zcta",2019,"food_score",96.59
"99023","zcta",2019,"food_score",112.15
"99025","zcta",2019,"food_score",103.25
"99026","zcta",2019,"food_score",118.2
"99027","zcta",2019,"food_score",95.2
"99029","zcta",2019,"food_score",84.49
"99030","zcta",2019,"food_score",108.73
"99031","zcta",2019,"food_score",111.64
"99032","zcta",2019,"food_score",78.84
"99033","zcta",2019,"food_score",64.06
"99034","zcta",2019,"food_score",NA
"99036","zcta",2019,"food_score",107.15
"99037","zcta",2019,"food_score",99.7
"99039","zcta",2019,"food_score",NA
"99040","zcta",2019,"food_score",53.73
"99101","zcta",2019,"food_score",90.42
"99102","zcta",2019,"food_score",80.02
"99103","zcta",2019,"food_score",105.53
"99105","zcta",2019,"food_score",NA
"99109","zcta",2019,"food_score",90.05
"99110","zcta",2019,"food_score",82.74
"99111","zcta",2019,"food_score",98.04
"99113","zcta",2019,"food_score",104.05
"99114","zcta",2019,"food_score",92.42
"99115","zcta",2019,"food_score",103.2
"99116","zcta",2019,"food_score",99.43
"99117","zcta",2019,"food_score",115.11
"99118","zcta",2019,"food_score",98.91
"99119","zcta",2019,"food_score",94.96
"99121","zcta",2019,"food_score",83.82
"99122","zcta",2019,"food_score",94.35
"99123","zcta",2019,"food_score",83.98
"99124","zcta",2019,"food_score",99.12
"99125","zcta",2019,"food_score",79.56
"99126","zcta",2019,"food_score",85.3
"99128","zcta",2019,"food_score",117.52
"99129","zcta",2019,"food_score",65.87
"99130","zcta",2019,"food_score",86.87
"99131","zcta",2019,"food_score",86.02
"99133","zcta",2019,"food_score",81.72
"99134","zcta",2019,"food_score",95.55
"99135","zcta",2019,"food_score",124.07
"99136","zcta",2019,"food_score",NA
"99137","zcta",2019,"food_score",111.67
"99138","zcta",2019,"food_score",71.14
"99139","zcta",2019,"food_score",87.29
"99140","zcta",2019,"food_score",59.39
"99141","zcta",2019,"food_score",93.2
