"geoid","geolevel","year","level","value"
"04001","county",2023,"food_score",62.26
"04003","county",2023,"food_score",92.19
"04005","county",2023,"food_score",100.23
"04007","county",2023,"food_score",84.86
"04009","county",2023,"food_score",96.62
"04011","county",2023,"food_score",111.99
"04012","county",2023,"food_score",86.03
"04013","county",2023,"food_score",136.37
"04015","county",2023,"food_score",93.96
"04017","county",2023,"food_score",79.02
"04019","county",2023,"food_score",103.54
"04021","county",2023,"food_score",105.61
"04023","county",2023,"food_score",72.2
"04025","county",2023,"food_score",109.96
"04027","county",2023,"food_score",87.2
"04001","county",2023,"food_rnk",5.0436
"04003","county",2023,"food_rnk",27.1482
"04005","county",2023,"food_rnk",43.3375
"04007","county",2023,"food_rnk",17.279
"04009","county",2023,"food_rnk",35.6476
"04011","county",2023,"food_rnk",70.7347
"04012","county",2023,"food_rnk",18.5243
"04013","county",2023,"food_rnk",99.9689
"04015","county",2023,"food_rnk",29.7945
"04017","county",2023,"food_rnk",11.8306
"04019","county",2023,"food_rnk",50.1868
"04021","county",2023,"food_rnk",55.3549
"04023","county",2023,"food_rnk",7.8456
"04025","county",2023,"food_rnk",65.7846
"04027","county",2023,"food_rnk",20.2055
"04001","county",2023,"food_state_rnk",0
"04003","county",2023,"food_state_rnk",42.8571
"04005","county",2023,"food_state_rnk",64.2857
"04007","county",2023,"food_state_rnk",21.4286
"04009","county",2023,"food_state_rnk",57.1429
"04011","county",2023,"food_state_rnk",92.8571
"04012","county",2023,"food_state_rnk",28.5714
"04013","county",2023,"food_state_rnk",100
"04015","county",2023,"food_state_rnk",50
"04017","county",2023,"food_state_rnk",14.2857
"04019","county",2023,"food_state_rnk",71.4286
"04021","county",2023,"food_state_rnk",78.5714
"04023","county",2023,"food_state_rnk",7.1429
"04025","county",2023,"food_state_rnk",85.7143
"04027","county",2023,"food_state_rnk",35.7143
