"geoid","geolevel","year","level","value"
"24001","county",2023,"food_score",84.39
"24003","county",2023,"food_score",124.64
"24005","county",2023,"food_score",113.55
"24009","county",2023,"food_score",124.32
"24011","county",2023,"food_score",92.15
"24013","county",2023,"food_score",124.24
"24015","county",2023,"food_score",104.57
"24017","county",2023,"food_score",112.24
"24019","county",2023,"food_score",82.51
"24021","county",2023,"food_score",121.56
"24023","county",2023,"food_score",96.13
"24025","county",2023,"food_score",118.9
"24027","county",2023,"food_score",126.29
"24029","county",2023,"food_score",104.11
"24031","county",2023,"food_score",123.47
"24033","county",2023,"food_score",112.93
"24035","county",2023,"food_score",112.91
"24037","county",2023,"food_score",109.85
"24039","county",2023,"food_score",59.14
"24041","county",2023,"food_score",105.99
"24043","county",2023,"food_score",100.77
"24045","county",2023,"food_score",89.39
"24047","county",2023,"food_score",112.88
"24510","county",2023,"food_score",76.57
"24001","county",2023,"food_rnk",16.6874
"24003","county",2023,"food_rnk",94.7073
"24005","county",2023,"food_rnk",74.5019
"24009","county",2023,"food_rnk",94.4894
"24011","county",2023,"food_rnk",27.0548
"24013","county",2023,"food_rnk",94.4271
"24015","county",2023,"food_rnk",52.8643
"24017","county",2023,"food_rnk",71.3263
"24019","county",2023,"food_rnk",14.726
"24021","county",2023,"food_rnk",91.0648
"24023","county",2023,"food_rnk",34.4956
"24025","county",2023,"food_rnk",86.4259
"24027","county",2023,"food_rnk",96.4508
"24029","county",2023,"food_rnk",51.6812
"24031","county",2023,"food_rnk",93.5243
"24033","county",2023,"food_rnk",73.2254
"24035","county",2023,"food_rnk",73.1009
"24037","county",2023,"food_rnk",65.4732
"24039","county",2023,"food_rnk",4.3275
"24041","county",2023,"food_rnk",55.9465
"24043","county",2023,"food_rnk",44.6451
"24045","county",2023,"food_rnk",23.0697
"24047","county",2023,"food_rnk",72.9763
"24510","county",2023,"food_rnk",10.0249
"24001","county",2023,"food_state_rnk",13.0435
"24003","county",2023,"food_state_rnk",95.6522
"24005","county",2023,"food_state_rnk",69.5652
"24009","county",2023,"food_state_rnk",91.3043
"24011","county",2023,"food_state_rnk",21.7391
"24013","county",2023,"food_state_rnk",86.9565
"24015","county",2023,"food_state_rnk",39.1304
"24017","county",2023,"food_state_rnk",52.1739
"24019","county",2023,"food_state_rnk",8.6957
"24021","county",2023,"food_state_rnk",78.2609
"24023","county",2023,"food_state_rnk",26.087
"24025","county",2023,"food_state_rnk",73.913
"24027","county",2023,"food_state_rnk",100
"24029","county",2023,"food_state_rnk",34.7826
"24031","county",2023,"food_state_rnk",82.6087
"24033","county",2023,"food_state_rnk",65.2174
"24035","county",2023,"food_state_rnk",60.8696
"24037","county",2023,"food_state_rnk",47.8261
"24039","county",2023,"food_state_rnk",0
"24041","county",2023,"food_state_rnk",43.4783
"24043","county",2023,"food_state_rnk",30.4348
"24045","county",2023,"food_state_rnk",17.3913
"24047","county",2023,"food_state_rnk",56.5217
"24510","county",2023,"food_state_rnk",4.3478
