"geoid","geolevel","year","level","value"
"26001","county",2023,"food_score",92.41
"26003","county",2023,"food_score",102.39
"26005","county",2023,"food_score",117.7
"26007","county",2023,"food_score",89.01
"26009","county",2023,"food_score",105.9
"26011","county",2023,"food_score",88.96
"26013","county",2023,"food_score",95.24
"26015","county",2023,"food_score",113.28
"26017","county",2023,"food_score",101.55
"26019","county",2023,"food_score",113.73
"26021","county",2023,"food_score",99.83
"26023","county",2023,"food_score",100.34
"26025","county",2023,"food_score",102.77
"26027","county",2023,"food_score",100.92
"26029","county",2023,"food_score",112.09
"26031","county",2023,"food_score",96.23
"26033","county",2023,"food_score",96.17
"26035","county",2023,"food_score",87.13
"26037","county",2023,"food_score",116.9
"26039","county",2023,"food_score",94.55
"26041","county",2023,"food_score",101.16
"26043","county",2023,"food_score",109.08
"26045","county",2023,"food_score",110.63
"26047","county",2023,"food_score",113.15
"26049","county",2023,"food_score",95.75
"26051","county",2023,"food_score",94.12
"26053","county",2023,"food_score",88.55
"26055","county",2023,"food_score",118.58
"26057","county",2023,"food_score",92.5
"26059","county",2023,"food_score",104.81
"26061","county",2023,"food_score",112.24
"26063","county",2023,"food_score",104.57
"26065","county",2023,"food_score",107.05
"26067","county",2023,"food_score",106.67
"26069","county",2023,"food_score",92.56
"26071","county",2023,"food_score",98.28
"26073","county",2023,"food_score",102.05
"26075","county",2023,"food_score",100
"26077","county",2023,"food_score",109.1
"26079","county",2023,"food_score",94.1
"26081","county",2023,"food_score",117.52
"26083","county",2023,"food_score",107.49
"26085","county",2023,"food_score",85.28
"26087","county",2023,"food_score",111.72
"26089","county",2023,"food_score",117.81
"26091","county",2023,"food_score",102.9
"26093","county",2023,"food_score",125.1
"26095","county",2023,"food_score",93.9
"26097","county",2023,"food_score",96.29
"26099","county",2023,"food_score",112.67
"26101","county",2023,"food_score",99.22
"26103","county",2023,"food_score",106.8
"26105","county",2023,"food_score",100.33
"26107","county",2023,"food_score",95.36
"26109","county",2023,"food_score",103.28
"26111","county",2023,"food_score",104.8
"26113","county",2023,"food_score",95.32
"26115","county",2023,"food_score",112.18
"26117","county",2023,"food_score",106.32
"26119","county",2023,"food_score",84.75
"26121","county",2023,"food_score",95.57
"26123","county",2023,"food_score",88.89
"26125","county",2023,"food_score",127.27
"26127","county",2023,"food_score",90.59
"26129","county",2023,"food_score",76.81
"26131","county",2023,"food_score",96.65
"26133","county",2023,"food_score",99.17
"26135","county",2023,"food_score",83.72
"26137","county",2023,"food_score",106.7
"26139","county",2023,"food_score",122.36
"26141","county",2023,"food_score",102.64
"26143","county",2023,"food_score",87.19
"26145","county",2023,"food_score",82.19
"26147","county",2023,"food_score",101.41
"26149","county",2023,"food_score",104.84
"26151","county",2023,"food_score",102.55
"26153","county",2023,"food_score",100.57
"26155","county",2023,"food_score",103.42
"26157","county",2023,"food_score",96.09
