"geoid","geolevel","year","level","value"
"42001","county",2023,"food_score",109.97
"42003","county",2023,"food_score",112.87
"42005","county",2023,"food_score",95.51
"42007","county",2023,"food_score",103.44
"42009","county",2023,"food_score",103.38
"42011","county",2023,"food_score",104.94
"42013","county",2023,"food_score",100.03
"42015","county",2023,"food_score",102.7
"42017","county",2023,"food_score",122.93
"42019","county",2023,"food_score",114.79
"42021","county",2023,"food_score",89.86
"42023","county",2023,"food_score",75.52
"42025","county",2023,"food_score",97.6
"42027","county",2023,"food_score",117.04
"42029","county",2023,"food_score",125.56
"42031","county",2023,"food_score",99
"42033","county",2023,"food_score",90.48
"42035","county",2023,"food_score",97.94
"42037","county",2023,"food_score",108.7
"42039","county",2023,"food_score",93.85
"42041","county",2023,"food_score",119.72
"42043","county",2023,"food_score",106.3
"42045","county",2023,"food_score",110.37
"42047","county",2023,"food_score",95.72
"42049","county",2023,"food_score",87.34
"42051","county",2023,"food_score",80.75
"42053","county",2023,"food_score",NA
"42055","county",2023,"food_score",106.73
"42057","county",2023,"food_score",100.2
"42059","county",2023,"food_score",86.06
"42061","county",2023,"food_score",100.11
"42063","county",2023,"food_score",100.31
"42065","county",2023,"food_score",98.53
"42067","county",2023,"food_score",110.83
"42069","county",2023,"food_score",97.42
"42071","county",2023,"food_score",117.74
"42073","county",2023,"food_score",87.78
"42075","county",2023,"food_score",108.35
"42077","county",2023,"food_score",102.53
"42079","county",2023,"food_score",88.96
"42081","county",2023,"food_score",99.16
"42083","county",2023,"food_score",92.47
"42085","county",2023,"food_score",96.52
"42087","county",2023,"food_score",96.42
"42089","county",2023,"food_score",103.39
"42091","county",2023,"food_score",126.8
"42093","county",2023,"food_score",121.73
"42095","county",2023,"food_score",113.1
"42097","county",2023,"food_score",104.39
"42099","county",2023,"food_score",107.92
"42101","county",2023,"food_score",84.35
"42103","county",2023,"food_score",100.08
"42105","county",2023,"food_score",95.16
"42107","county",2023,"food_score",97.11
"42109","county",2023,"food_score",111.44
"42111","county",2023,"food_score",99.24
"42113","county",2023,"food_score",109.41
"42115","county",2023,"food_score",103.67
"42117","county",2023,"food_score",99.69
"42119","county",2023,"food_score",108.59
"42121","county",2023,"food_score",87.82
"42123","county",2023,"food_score",101.34
"42125","county",2023,"food_score",101.65
"42127","county",2023,"food_score",100.11
"42129","county",2023,"food_score",107.76
"42131","county",2023,"food_score",96.88
"42133","county",2023,"food_score",112.92
"42001","county",2023,"food_rnk",65.8468
"42003","county",2023,"food_rnk",72.8829
"42005","county",2023,"food_rnk",32.939
"42007","county",2023,"food_rnk",49.8443
"42009","county",2023,"food_rnk",49.6264
"42011","county",2023,"food_rnk",53.6115
"42013","county",2023,"food_rnk",42.8082
"42015","county",2023,"food_rnk",48.3811
"42017","county",2023,"food_rnk",92.9328
