"geoid","geolevel","year","level","value"
"48001","county",2023,"food_score",95.57
"48003","county",2023,"food_score",106.14
"48005","county",2023,"food_score",84.7
"48007","county",2023,"food_score",89.74
"48009","county",2023,"food_score",108.52
"48011","county",2023,"food_score",124.75
"48013","county",2023,"food_score",93.38
"48015","county",2023,"food_score",111.9
"48017","county",2023,"food_score",108.56
"48019","county",2023,"food_score",102.58
"48021","county",2023,"food_score",112.48
"48023","county",2023,"food_score",90.72
"48025","county",2023,"food_score",99.73
"48027","county",2023,"food_score",102.49
"48029","county",2023,"food_score",108.68
"48031","county",2023,"food_score",117.01
"48033","county",2023,"food_score",131.25
"48035","county",2023,"food_score",99.5
"48037","county",2023,"food_score",102.3
"48039","county",2023,"food_score",117.15
"48041","county",2023,"food_score",108.66
"48043","county",2023,"food_score",109.6
"48045","county",2023,"food_score",121.67
"48047","county",2023,"food_score",65.38
"48049","county",2023,"food_score",97.89
"48051","county",2023,"food_score",103.71
"48053","county",2023,"food_score",114.46
"48055","county",2023,"food_score",106.21
"48057","county",2023,"food_score",86.2
"48059","county",2023,"food_score",102.84
"48061","county",2023,"food_score",72.85
"48063","county",2023,"food_score",85.91
"48065","county",2023,"food_score",120.83
"48067","county",2023,"food_score",89.74
"48069","county",2023,"food_score",110.35
"48071","county",2023,"food_score",118.38
"48073","county",2023,"food_score",95.15
"48075","county",2023,"food_score",117.53
"48077","county",2023,"food_score",103.47
"48079","county",2023,"food_score",87.92
"48081","county",2023,"food_score",107.41
"48083","county",2023,"food_score",106.74
"48085","county",2023,"food_score",134.19
"48087","county",2023,"food_score",82.2
"48089","county",2023,"food_score",106.43
"48091","county",2023,"food_score",123.6
"48093","county",2023,"food_score",110.8
"48095","county",2023,"food_score",98.99
"48097","county",2023,"food_score",108.15
"48099","county",2023,"food_score",104.6
"48101","county",2023,"food_score",76.98
"48103","county",2023,"food_score",109.67
"48105","county",2023,"food_score",130.06
"48107","county",2023,"food_score",59.22
"48109","county",2023,"food_score",85.35
"48111","county",2023,"food_score",112.01
"48113","county",2023,"food_score",125.58
"48115","county",2023,"food_score",97.1
"48117","county",2023,"food_score",104.79
"48119","county",2023,"food_score",108.63
"48121","county",2023,"food_score",126.45
"48123","county",2023,"food_score",102.02
"48125","county",2023,"food_score",91.24
"48127","county",2023,"food_score",57.71
"48129","county",2023,"food_score",123.49
"48131","county",2023,"food_score",59.39
"48133","county",2023,"food_score",100.44
"48135","county",2023,"food_score",107.77
"48137","county",2023,"food_score",78.76
"48139","county",2023,"food_score",114.53
"48141","county",2023,"food_score",84.18
"48143","county",2023,"food_score",113.41
"48145","county",2023,"food_score",98.19
"48147","county",2023,"food_score",101.66
"48149","county",2023,"food_score",111.85
"48151","county",2023,"food_score",106.62
"48153","county",2023,"food_score",93.58
"48155","county",2023,"food_score",88.62
"48157","county",2023,"food_score",122.62
"48159","county",2023,"food_score",116.84
"48161","county",2023,"food_score",97.74
"48163","county",2023,"food_score",78.98
"48165","county",2023,"food_score",122.04
"48167","county",2023,"food_score",110.75
"48169","county",2023,"food_score",92.94
"48171","county",2023,"food_score",118.53
"48173","county",2023,"food_score",124.44
"48175","county",2023,"food_score",108.7
"48177","county",2023,"food_score",101.46
"48179","county",2023,"food_score",99.35
"48181","county",2023,"food_score",112.51
"48183","county",2023,"food_score",104.07
"48185","county",2023,"food_score",106.31
"48187","county",2023,"food_score",110.89
"48189","county",2023,"food_score",87.6
"48191","county",2023,"food_score",87.61
"48193","county",2023,"food_score",91.91
"48195","county",2023,"food_score",128.3
"48197","county",2023,"food_score",98.45
"48199","county",2023,"food_score",98.96
"48201","county",2023,"food_score",134.37
"48203","county",2023,"food_score",99.86
"48205","county",2023,"food_score",115.13
"48207","county",2023,"food_score",88.49
"48209","county",2023,"food_score",119.23
"48211","county",2023,"food_score",119.8
"48213","county",2023,"food_score",98.32
"48215","county",2023,"food_score",71.97
"48217","county",2023,"food_score",102.91
"48219","county",2023,"food_score",102.7
"48221","county",2023,"food_score",118.6
"48223","county",2023,"food_score",112.8
"48225","county",2023,"food_score",92.44
"48227","county",2023,"food_score",99.8
"48229","county",2023,"food_score",82.76
"48231","county",2023,"food_score",99.52
"48233","county",2023,"food_score",115.77
"48235","county",2023,"food_score",122.32
"48237","county",2023,"food_score",109.51
"48239","county",2023,"food_score",97.75
"48241","county",2023,"food_score",96.34
"48243","county",2023,"food_score",91.65
"48245","county",2023,"food_score",95.45
"48247","county",2023,"food_score",49.63
"48249","county",2023,"food_score",80.85
"48251","county",2023,"food_score",114.04
"48253","county",2023,"food_score",97.01
"48255","county",2023,"food_score",87.43
"48257","county",2023,"food_score",107.94
"48259","county",2023,"food_score",120.8
"48261","county",2023,"food_score",NA
"48263","county",2023,"food_score",107.89
"48265","county",2023,"food_score",111.98
"48267","county",2023,"food_score",104.43
"48269","county",2023,"food_score",133.4
"48271","county",2023,"food_score",64.01
"48273","county",2023,"food_score",75.12
"48275","county",2023,"food_score",112.56
"48277","county",2023,"food_score",99.17
"48279","county",2023,"food_score",98.43
"48281","county",2023,"food_score",109.17
"48283","county",2023,"food_score",99.12
"48285","county",2023,"food_score",115.52
"48287","county",2023,"food_score",105.22
"48289","county",2023,"food_score",102.65
"48291","county",2023,"food_score",94.05
"48293","county",2023,"food_score",88.14
"48295","county",2023,"food_score",113.87
"48297","county",2023,"food_score",96.24
"48299","county",2023,"food_score",104.36
"48301","county",2023,"food_score",NA
"48303","county",2023,"food_score",102.01
"48305","county",2023,"food_score",94.61
"48307","county",2023,"food_score",109.74
"48309","county",2023,"food_score",101.71
"48311","county",2023,"food_score",125
"48313","county",2023,"food_score",95.42
"48315","county",2023,"food_score",83.48
"48317","county",2023,"food_score",111.74
"48319","county",2023,"food_score",120.26
"48321","county",2023,"food_score",88.29
"48323","county",2023,"food_score",66.74
"48325","county",2023,"food_score",104.5
"48327","county",2023,"food_score",86.12
"48329","county",2023,"food_score",117.19
"48331","county",2023,"food_score",102.1
"48333","county",2023,"food_score",103.62
"48335","county",2023,"food_score",94.67
"48337","county",2023,"food_score",109.72
"48339","county",2023,"food_score",119.25
"48341","county",2023,"food_score",114.24
"48343","county",2023,"food_score",97.77
"48345","county",2023,"food_score",114.8
"48347","county",2023,"food_score",86.61
"48349","county",2023,"food_score",93.36
"48351","county",2023,"food_score",93.53
"48353","county",2023,"food_score",90.33
"48355","county",2023,"food_score",91.59
"48357","county",2023,"food_score",107.6
"48359","county",2023,"food_score",123.53
"48361","county",2023,"food_score",99.17
"48363","county",2023,"food_score",95.26
"48365","county",2023,"food_score",105.09
"48367","county",2023,"food_score",120.43
"48369","county",2023,"food_score",122.33
"48371","county",2023,"food_score",101.26
"48373","county",2023,"food_score",84.6
"48375","county",2023,"food_score",100.32
"48377","county",2023,"food_score",78.81
"48379","county",2023,"food_score",107.61
"48381","county",2023,"food_score",120.27
"48383","county",2023,"food_score",117.65
"48385","county",2023,"food_score",90.05
"48387","county",2023,"food_score",93.82
"48389","county",2023,"food_score",93.36
"48391","county",2023,"food_score",83.07
"48393","county",2023,"food_score",126.07
"48395","county",2023,"food_score",92.8
"48397","county",2023,"food_score",128.12
"48399","county",2023,"food_score",109.65
"48401","county",2023,"food_score",99.15
"48403","county",2023,"food_score",85.74
"48405","county",2023,"food_score",80.89
"48407","county",2023,"food_score",78.46
"48409","county",2023,"food_score",94.99
"48411","county",2023,"food_score",99.15
"48413","county",2023,"food_score",123.09
"48415","county",2023,"food_score",108.48
"48417","county",2023,"food_score",115.63
"48419","county",2023,"food_score",91.04
"48421","county",2023,"food_score",129.98
"48423","county",2023,"food_score",108.39
"48425","county",2023,"food_score",121.04
"48427","county",2023,"food_score",44.62
"48429","county",2023,"food_score",111.06
"48431","county",2023,"food_score",115.84
"48433","county",2023,"food_score",99.89
"48435","county",2023,"food_score",120.24
"48437","county",2023,"food_score",98.56
"48439","county",2023,"food_score",126.63
"48441","county",2023,"food_score",107.03
"48443","county",2023,"food_score",115.57
"48445","county",2023,"food_score",72.98
"48447","county",2023,"food_score",114.8
"48449","county",2023,"food_score",94.74
"48451","county",2023,"food_score",110.31
"48453","county",2023,"food_score",123.27
"48455","county",2023,"food_score",94.63
"48457","county",2023,"food_score",83.5
"48459","county",2023,"food_score",96.48
"48461","county",2023,"food_score",118.44
"48463","county",2023,"food_score",74.11
"48465","county",2023,"food_score",84.48
"48467","county",2023,"food_score",102.96
"48469","county",2023,"food_score",100.96
"48471","county",2023,"food_score",104.22
"48473","county",2023,"food_score",105.04
"48475","county",2023,"food_score",110.57
"48477","county",2023,"food_score",108.16
"48479","county",2023,"food_score",79.94
"48481","county",2023,"food_score",104.08
"48483","county",2023,"food_score",97.23
"48485","county",2023,"food_score",101.66
"48487","county",2023,"food_score",98.7
"48489","county",2023,"food_score",72.79
"48491","county",2023,"food_score",124.75
"48493","county",2023,"food_score",112.92
"48495","county",2023,"food_score",85.48
"48497","county",2023,"food_score",107.7
"48499","county",2023,"food_score",101.15
"48501","county",2023,"food_score",122.09
"48503","county",2023,"food_score",100.02
"48505","county",2023,"food_score",49.1
"48507","county",2023,"food_score",36.85
"48001","county",2023,"food_rnk",33.188
"48003","county",2023,"food_rnk",56.2267
"48005","county",2023,"food_rnk",17.0299
"48007","county",2023,"food_rnk",23.6613
"48009","county",2023,"food_rnk",61.8929
"48011","county",2023,"food_rnk",94.8319
"48013","county",2023,"food_rnk",29.0162
"48015","county",2023,"food_rnk",70.4545
"48017","county",2023,"food_rnk",62.0486
"48019","county",2023,"food_rnk",48.0697
"48021","county",2023,"food_rnk",71.7621
"48023","county",2023,"food_rnk",25.0934
"48025","county",2023,"food_rnk",42.1544
"48027","county",2023,"food_rnk",47.8829
"48029","county",2023,"food_rnk",62.2976
"48031","county",2023,"food_rnk",81.9738
"48033","county",2023,"food_rnk",99.1283
"48035","county",2023,"food_rnk",41.812
"48037","county",2023,"food_rnk",47.4471
"48039","county",2023,"food_rnk",82.4097
"48041","county",2023,"food_rnk",62.2665
"48043","county",2023,"food_rnk",64.726
"48045","county",2023,"food_rnk",91.2516
"48047","county",2023,"food_rnk",5.7597
"48049","county",2023,"food_rnk",38.4807
"48051","county",2023,"food_rnk",50.5915
"48053","county",2023,"food_rnk",76.3387
"48055","county",2023,"food_rnk",56.4134
"48057","county",2023,"food_rnk",18.8667
"48059","county",2023,"food_rnk",48.6924
"48061","county",2023,"food_rnk",8.1569
"48063","county",2023,"food_rnk",18.3064
"48065","county",2023,"food_rnk",89.8817
"48067","county",2023,"food_rnk",23.6613
"48069","county",2023,"food_rnk",66.8742
"48071","county",2023,"food_rnk",85.056
"48073","county",2023,"food_rnk",31.8182
"48075","county",2023,"food_rnk",83.2814
"48077","county",2023,"food_rnk",49.8755
"48079","county",2023,"food_rnk",21.3574
"48081","county",2023,"food_rnk",59.2154
"48083","county",2023,"food_rnk",57.721
"48085","county",2023,"food_rnk",99.7509
"48087","county",2023,"food_rnk",14.3836
"48089","county",2023,"food_rnk",57.005
"48091","county",2023,"food_rnk",93.7111
"48093","county",2023,"food_rnk",67.7771
"48095","county",2023,"food_rnk",40.5666
"48097","county",2023,"food_rnk",61.0523
"48099","county",2023,"food_rnk",52.9577
"48101","county",2023,"food_rnk",10.3051
"48103","county",2023,"food_rnk",64.8817
"48105","county",2023,"food_rnk",98.7547
"48107","county",2023,"food_rnk",4.3587
"48109","county",2023,"food_rnk",17.6837
"48111","county",2023,"food_rnk",70.797
"48113","county",2023,"food_rnk",95.7659
"48115","county",2023,"food_rnk",36.7372
"48117","county",2023,"food_rnk",53.2067
"48119","county",2023,"food_rnk",62.2042
"48121","county",2023,"food_rnk",96.6376
"48123","county",2023,"food_rnk",47.0423
"48125","county",2023,"food_rnk",25.8095
"48127","county",2023,"food_rnk",4.1407
"48129","county",2023,"food_rnk",93.5554
"48131","county",2023,"food_rnk",4.4521
"48133","county",2023,"food_rnk",43.7733
"48135","county",2023,"food_rnk",60.1806
"48137","county",2023,"food_rnk",11.5193
"48139","county",2023,"food_rnk",76.5878
"48141","county",2023,"food_rnk",16.4072
"48143","county",2023,"food_rnk",74.1594
"48145","county",2023,"food_rnk",39.1034
"48147","county",2023,"food_rnk",46.4819
"48149","county",2023,"food_rnk",70.33
"48151","county",2023,"food_rnk",57.4097
"48153","county",2023,"food_rnk",29.2964
"48155","county",2023,"food_rnk",21.9801
"48157","county",2023,"food_rnk",92.5903
"48159","county",2023,"food_rnk",81.5691
"48161","county",2023,"food_rnk",38.1071
"48163","county",2023,"food_rnk",11.7995
"48165","county",2023,"food_rnk",91.7497
"48167","county",2023,"food_rnk",67.6214
"48169","county",2023,"food_rnk",28.1756
"48171","county",2023,"food_rnk",85.4296
"48173","county",2023,"food_rnk",94.6762
"48175","county",2023,"food_rnk",62.391
"48177","county",2023,"food_rnk",46.0461
"48179","county",2023,"food_rnk",41.5629
"48181","county",2023,"food_rnk",71.8867
"48183","county",2023,"food_rnk",51.4321
"48185","county",2023,"food_rnk",56.7248
"48187","county",2023,"food_rnk",67.9639
"48189","county",2023,"food_rnk",20.7347
"48191","county",2023,"food_rnk",20.797
"48193","county",2023,"food_rnk",26.7435
"48195","county",2023,"food_rnk",97.665
"48197","county",2023,"food_rnk",39.5081
"48199","county",2023,"food_rnk",40.411
"48201","county",2023,"food_rnk",99.7821
"48203","county",2023,"food_rnk",42.4658
"48205","county",2023,"food_rnk",77.7397
"48207","county",2023,"food_rnk",21.7621
"48209","county",2023,"food_rnk",87.0486
"48211","county",2023,"food_rnk",88.0448
"48213","county",2023,"food_rnk",39.259
"48215","county",2023,"food_rnk",7.7522
"48217","county",2023,"food_rnk",48.7547
"48219","county",2023,"food_rnk",48.3811
"48221","county",2023,"food_rnk",85.6787
"48223","county",2023,"food_rnk",72.665
"48225","county",2023,"food_rnk",27.3973
"48227","county",2023,"food_rnk",42.2167
"48229","county",2023,"food_rnk",14.944
"48231","county",2023,"food_rnk",41.8742
"48233","county",2023,"food_rnk",79.203
"48235","county",2023,"food_rnk",92.061
"48237","county",2023,"food_rnk",64.5392
"48239","county",2023,"food_rnk",38.2005
"48241","county",2023,"food_rnk",34.9315
"48243","county",2023,"food_rnk",26.4944
"48245","county",2023,"food_rnk",32.7833
"48247","county",2023,"food_rnk",2.9888
"48249","county",2023,"food_rnk",13.2316
"48251","county",2023,"food_rnk",75.5915
"48253","county",2023,"food_rnk",36.5504
"48255","county",2023,"food_rnk",20.4857
"48257","county",2023,"food_rnk",60.5542
"48259","county",2023,"food_rnk",89.7572
"48261","county",2023,"food_rnk",NA
"48263","county",2023,"food_rnk",60.3362
"48265","county",2023,"food_rnk",70.7036
"48267","county",2023,"food_rnk",52.335
"48269","county",2023,"food_rnk",99.6264
"48271","county",2023,"food_rnk",5.4795
"48273","county",2023,"food_rnk",9.4022
"48275","county",2023,"food_rnk",72.1669
"48277","county",2023,"food_rnk",41.0959
