"geoid","geolevel","year","level","value"
"56001","county",2023,"food_score",125.38
"56003","county",2023,"food_score",118.49
"56005","county",2023,"food_score",127.76
"56007","county",2023,"food_score",118.76
"56009","county",2023,"food_score",114.34
"56011","county",2023,"food_score",134.11
"56013","county",2023,"food_score",108.03
"56015","county",2023,"food_score",115.4
"56017","county",2023,"food_score",115.76
"56019","county",2023,"food_score",125.78
"56021","county",2023,"food_score",121.61
"56023","county",2023,"food_score",126.84
"56025","county",2023,"food_score",118.83
"56027","county",2023,"food_score",105.2
"56029","county",2023,"food_score",123.42
"56031","county",2023,"food_score",104.57
"56033","county",2023,"food_score",122.36
"56035","county",2023,"food_score",131.72
"56037","county",2023,"food_score",114.98
"56039","county",2023,"food_score",129.78
"56041","county",2023,"food_score",122.03
"56043","county",2023,"food_score",117.06
"56045","county",2023,"food_score",128.59
"56001","county",2023,"food_rnk",95.4234
"56003","county",2023,"food_rnk",85.3051
"56005","county",2023,"food_rnk",97.4159
"56007","county",2023,"food_rnk",86.1146
"56009","county",2023,"food_rnk",76.0274
"56011","county",2023,"food_rnk",99.7198
"56013","county",2023,"food_rnk",60.7721
"56015","county",2023,"food_rnk",78.3001
"56017","county",2023,"food_rnk",79.1719
"56019","county",2023,"food_rnk",95.9838
"56021","county",2023,"food_rnk",91.0959
"56023","county",2023,"food_rnk",96.9489
"56025","county",2023,"food_rnk",86.2391
"56027","county",2023,"food_rnk",54.2964
"56029","county",2023,"food_rnk",93.4932
"56031","county",2023,"food_rnk",52.8643
"56033","county",2023,"food_rnk",92.1856
"56035","county",2023,"food_rnk",99.2528
"56037","county",2023,"food_rnk",77.3039
"56039","county",2023,"food_rnk",98.5367
"56041","county",2023,"food_rnk",91.7186
"56043","county",2023,"food_rnk",82.254
"56045","county",2023,"food_rnk",97.8829
"56001","county",2023,"food_state_rnk",68.1818
"56003","county",2023,"food_state_rnk",36.3636
"56005","county",2023,"food_state_rnk",81.8182
"56007","county",2023,"food_state_rnk",40.9091
"56009","county",2023,"food_state_rnk",13.6364
"56011","county",2023,"food_state_rnk",100
"56013","county",2023,"food_state_rnk",9.0909
"56015","county",2023,"food_state_rnk",22.7273
"56017","county",2023,"food_state_rnk",27.2727
"56019","county",2023,"food_state_rnk",72.7273
"56021","county",2023,"food_state_rnk",50
"56023","county",2023,"food_state_rnk",77.2727
"56025","county",2023,"food_state_rnk",45.4545
"56027","county",2023,"food_state_rnk",4.5455
"56029","county",2023,"food_state_rnk",63.6364
"56031","county",2023,"food_state_rnk",0
"56033","county",2023,"food_state_rnk",59.0909
"56035","county",2023,"food_state_rnk",95.4545
"56037","county",2023,"food_state_rnk",18.1818
"56039","county",2023,"food_state_rnk",90.9091
"56041","county",2023,"food_state_rnk",54.5455
"56043","county",2023,"food_state_rnk",31.8182
"56045","county",2023,"food_state_rnk",86.3636
