"geoid","geolevel","year","level","value"
"18001030100","tract",2023,"food_score",126.72
"18001030200","tract",2023,"food_score",100.2
"18001030300","tract",2023,"food_score",117.46
"18001030400","tract",2023,"food_score",124.35
"18001030500","tract",2023,"food_score",123.87
"18001030600","tract",2023,"food_score",97
"18001030700","tract",2023,"food_score",111.02
"18003000100","tract",2023,"food_score",114.76
"18003000300","tract",2023,"food_score",116.49
"18003000400","tract",2023,"food_score",92.55
"18003000500","tract",2023,"food_score",93.15
"18003000600","tract",2023,"food_score",82.71
"18003000701","tract",2023,"food_score",94.59
"18003000704","tract",2023,"food_score",90.55
"18003000800","tract",2023,"food_score",98.16
"18003000900","tract",2023,"food_score",96.26
"18003001000","tract",2023,"food_score",70.69
"18003001100","tract",2023,"food_score",120.49
"18003001200","tract",2023,"food_score",61.63
"18003001300","tract",2023,"food_score",NA
"18003001600","tract",2023,"food_score",58.09
"18003001700","tract",2023,"food_score",56.57
"18003002000","tract",2023,"food_score",63.74
"18003002100","tract",2023,"food_score",73.26
"18003002200","tract",2023,"food_score",92.01
"18003002300","tract",2023,"food_score",62.99
"18003002500","tract",2023,"food_score",94.42
"18003002600","tract",2023,"food_score",101.8
"18003002800","tract",2023,"food_score",71.54
"18003002900","tract",2023,"food_score",64.66
"18003003000","tract",2023,"food_score",78.03
"18003003100","tract",2023,"food_score",88.77
"18003003200","tract",2023,"food_score",114.84
"18003003301","tract",2023,"food_score",102.68
"18003003304","tract",2023,"food_score",106.12
"18003003400","tract",2023,"food_score",108.09
"18003003500","tract",2023,"food_score",81.44
"18003003600","tract",2023,"food_score",83.49
"18003003700","tract",2023,"food_score",103.08
"18003003800","tract",2023,"food_score",85.89
"18003003901","tract",2023,"food_score",106.99
"18003003902","tract",2023,"food_score",85.91
"18003004000","tract",2023,"food_score",92.31
"18003004101","tract",2023,"food_score",104.37
"18003004103","tract",2023,"food_score",119.14
"18003004300","tract",2023,"food_score",73.49
"18003004400","tract",2023,"food_score",90.8
"18003010100","tract",2023,"food_score",121.25
"18003010201","tract",2023,"food_score",127.61
"18003010202","tract",2023,"food_score",116.32
"18003010304","tract",2023,"food_score",127.75
"18003010305","tract",2023,"food_score",128.86
"18003010306","tract",2023,"food_score",127.99
"18003010307","tract",2023,"food_score",113.92
"18003010308","tract",2023,"food_score",119.59
"18003010400","tract",2023,"food_score",124.91
"18003010500","tract",2023,"food_score",117.58
"18003010601","tract",2023,"food_score",122.24
"18003010602","tract",2023,"food_score",96.61
"18003010603","tract",2023,"food_score",107.12
"18003010604","tract",2023,"food_score",77.53
"18003010705","tract",2023,"food_score",107.35
"18003010706","tract",2023,"food_score",96.03
"18003010707","tract",2023,"food_score",120.34
"18003010803","tract",2023,"food_score",118.05
"18003010804","tract",2023,"food_score",119.74
"18003010807","tract",2023,"food_score",111.97
"18003010808","tract",2023,"food_score",127.44
"18003010809","tract",2023,"food_score",109.81
"18003010811","tract",2023,"food_score",108.07
"18003010812","tract",2023,"food_score",116.95
"18003010813","tract",2023,"food_score",110.29
"18003010815","tract",2023,"food_score",123.97
"18003010816","tract",2023,"food_score",119.38
"18003010817","tract",2023,"food_score",112.84
"18003010819","tract",2023,"food_score",116.35
"18003010821","tract",2023,"food_score",98.7
"18003010900","tract",2023,"food_score",125.01
"18003011000","tract",2023,"food_score",112.46
"18003011100","tract",2023,"food_score",114.51
"18003011201","tract",2023,"food_score",83.24
"18003011202","tract",2023,"food_score",109.93
"18003011204","tract",2023,"food_score",117.13
"18003011205","tract",2023,"food_score",113.04
"18003011302","tract",2023,"food_score",77.36
"18003011303","tract",2023,"food_score",78.4
"18003011304","tract",2023,"food_score",77.1
"18003011501","tract",2023,"food_score",117.55
"18003011502","tract",2023,"food_score",102.09
"18003011603","tract",2023,"food_score",122.56
"18003011604","tract",2023,"food_score",120.52
"18003011605","tract",2023,"food_score",110.05
"18003011606","tract",2023,"food_score",119.65
"18003011607","tract",2023,"food_score",116.32
"18003011608","tract",2023,"food_score",120.63
"18003011609","tract",2023,"food_score",128.1
"18003011701","tract",2023,"food_score",121.9
"18003011702","tract",2023,"food_score",112.45
"18003011801","tract",2023,"food_score",112.03
"18003011802","tract",2023,"food_score",109.13
"18003011900","tract",2023,"food_score",118.38
"18003980001","tract",2023,"food_score",NA
"18003980002","tract",2023,"food_score",NA
"18005010100","tract",2023,"food_score",85.02
"18005010200","tract",2023,"food_score",105.36
"18005010300","tract",2023,"food_score",117.11
"18005010400","tract",2023,"food_score",105.52
"18005010500","tract",2023,"food_score",123.16
"18005010600","tract",2023,"food_score",111.66
"18005010700","tract",2023,"food_score",116.28
"18005010800","tract",2023,"food_score",100.15
"18005010900","tract",2023,"food_score",129.7
"18005011000","tract",2023,"food_score",110.87
"18005011101","tract",2023,"food_score",92.14
"18005011102","tract",2023,"food_score",110.58
"18005011200","tract",2023,"food_score",108.8
"18005011300","tract",2023,"food_score",116.58
"18005011400","tract",2023,"food_score",117.6
"18005011500","tract",2023,"food_score",128.14
"18007100100","tract",2023,"food_score",107.87
"18007100200","tract",2023,"food_score",110.06
"18007100300","tract",2023,"food_score",88.23
"18009975100","tract",2023,"food_score",103.91
"18009975200","tract",2023,"food_score",97.17
"18009975300","tract",2023,"food_score",71.34
"18009975400","tract",2023,"food_score",110.58
"18011810100","tract",2023,"food_score",114.98
"18011810200","tract",2023,"food_score",116.98
"18011810300","tract",2023,"food_score",108.57
"18011810400","tract",2023,"food_score",113.35
"18011810500","tract",2023,"food_score",114.51
"18011810601","tract",2023,"food_score",117.45
"18011810604","tract",2023,"food_score",121.81
"18011810605","tract",2023,"food_score",127.46
"18011810606","tract",2023,"food_score",129.4
"18011810607","tract",2023,"food_score",123.37
"18011810700","tract",2023,"food_score",120.73
"18013974600","tract",2023,"food_score",100.42
"18013974700","tract",2023,"food_score",115.66
"18013974800","tract",2023,"food_score",117.75
"18013974901","tract",2023,"food_score",110.42
"18013974902","tract",2023,"food_score",110.83
"18015959300","tract",2023,"food_score",121.4
"18015959400","tract",2023,"food_score",116.73
"18015959500","tract",2023,"food_score",122.01
"18015959600","tract",2023,"food_score",110.7
"18015959700","tract",2023,"food_score",125.69
"18015959800","tract",2023,"food_score",112.04
"18015959900","tract",2023,"food_score",119.17
"18017950900","tract",2023,"food_score",109.12
"18017951000","tract",2023,"food_score",113.83
"18017951100","tract",2023,"food_score",114.07
"18017951200","tract",2023,"food_score",112.33
"18017951300","tract",2023,"food_score",107
"18017951400","tract",2023,"food_score",94.45
"18017951500","tract",2023,"food_score",91.08
"18017951600","tract",2023,"food_score",90.84
"18017951700","tract",2023,"food_score",121.23
"18017951800","tract",2023,"food_score",95.04
"18017951900","tract",2023,"food_score",118.7
"18019050100","tract",2023,"food_score",106.67
"18019050200","tract",2023,"food_score",78.41
"18019050303","tract",2023,"food_score",110.26
"18019050304","tract",2023,"food_score",103.93
"18019050305","tract",2023,"food_score",105.97
"18019050306","tract",2023,"food_score",112.71
"18019050401","tract",2023,"food_score",104.11
"18019050403","tract",2023,"food_score",104.81
"18019050404","tract",2023,"food_score",115.7
"18019050503","tract",2023,"food_score",91.97
"18019050504","tract",2023,"food_score",102.97
"18019050505","tract",2023,"food_score",112.78
"18019050603","tract",2023,"food_score",96.95
"18019050604","tract",2023,"food_score",109.36
"18019050605","tract",2023,"food_score",117.31
"18019050606","tract",2023,"food_score",105.9
"18019050703","tract",2023,"food_score",113.02
"18019050704","tract",2023,"food_score",115.98
"18019050705","tract",2023,"food_score",115.02
"18019050706","tract",2023,"food_score",122.42
"18019050801","tract",2023,"food_score",123.88
"18019050803","tract",2023,"food_score",124.71
"18019050804","tract",2023,"food_score",108.96
"18019050902","tract",2023,"food_score",110.93
"18019050903","tract",2023,"food_score",80.45
"18019050904","tract",2023,"food_score",116.55
"18019051000","tract",2023,"food_score",121.35
"18021040100","tract",2023,"food_score",90.52
"18021040200","tract",2023,"food_score",90.25
"18021040300","tract",2023,"food_score",116.25
"18021040400","tract",2023,"food_score",114.43
"18021040500","tract",2023,"food_score",115.3
"18021040600","tract",2023,"food_score",112.89
"18023950100","tract",2023,"food_score",115.6
"18023950200","tract",2023,"food_score",124.07
"18023950300","tract",2023,"food_score",115.53
"18023950400","tract",2023,"food_score",111.71
"18023950500","tract",2023,"food_score",105.27
"18023950600","tract",2023,"food_score",115.63
"18023950700","tract",2023,"food_score",105.91
"18023950800","tract",2023,"food_score",96.7
"18025951900","tract",2023,"food_score",96.81
"18025952000","tract",2023,"food_score",94.97
"18025952100","tract",2023,"food_score",86.68
"18027954300","tract",2023,"food_score",112.08
"18027954400","tract",2023,"food_score",115.26
"18027954501","tract",2023,"food_score",114.13
"18027954502","tract",2023,"food_score",122.99
"18027954600","tract",2023,"food_score",113.83
"18027954700","tract",2023,"food_score",98.9
"18027954800","tract",2023,"food_score",105.99
"18027954900","tract",2023,"food_score",103.95
"18029080101","tract",2023,"food_score",117.66
"18029080103","tract",2023,"food_score",113.3
"18029080104","tract",2023,"food_score",114.63
"18029080201","tract",2023,"food_score",115.6
"18029080203","tract",2023,"food_score",113.32
"18029080204","tract",2023,"food_score",109.66
"18029080301","tract",2023,"food_score",99.49
"18029080302","tract",2023,"food_score",114.09
"18029080400","tract",2023,"food_score",116.3
"18029080500","tract",2023,"food_score",82.81
"18029080601","tract",2023,"food_score",108
"18029080602","tract",2023,"food_score",114.87
"18029080700","tract",2023,"food_score",114.75
"18031969000","tract",2023,"food_score",111.15
