"geoid","geolevel","year","level","value"
"36001000100","tract",2023,"food_score",69.12
"36001000201","tract",2023,"food_score",70.92
"36001000202","tract",2023,"food_score",59
"36001000301","tract",2023,"food_score",41.52
"36001000302","tract",2023,"food_score",98.88
"36001000401","tract",2023,"food_score",124.45
"36001000403","tract",2023,"food_score",108.33
"36001000404","tract",2023,"food_score",NA
"36001000501","tract",2023,"food_score",69.63
"36001000502","tract",2023,"food_score",NA
"36001000600","tract",2023,"food_score",63.52
"36001000700","tract",2023,"food_score",49.21
"36001000800","tract",2023,"food_score",28.93
"36001001100","tract",2023,"food_score",94.6
"36001001400","tract",2023,"food_score",106.36
"36001001500","tract",2023,"food_score",102.18
"36001001600","tract",2023,"food_score",90.02
"36001001700","tract",2023,"food_score",91.6
"36001001802","tract",2023,"food_score",104.55
"36001001803","tract",2023,"food_score",113.79
"36001001804","tract",2023,"food_score",113.37
"36001001901","tract",2023,"food_score",111.19
"36001001902","tract",2023,"food_score",113.41
"36001002000","tract",2023,"food_score",72
"36001002100","tract",2023,"food_score",97.22
"36001002200","tract",2023,"food_score",98.51
"36001002300","tract",2023,"food_score",69.17
"36001002500","tract",2023,"food_score",36.05
"36001002600","tract",2023,"food_score",92.21
"36001012700","tract",2023,"food_score",95.2
"36001012800","tract",2023,"food_score",61.35
"36001012900","tract",2023,"food_score",62.83
"36001013000","tract",2023,"food_score",113.05
"36001013100","tract",2023,"food_score",70.77
"36001013200","tract",2023,"food_score",82.48
"36001013300","tract",2023,"food_score",81.3
"36001013400","tract",2023,"food_score",85.21
"36001013503","tract",2023,"food_score",112.43
"36001013505","tract",2023,"food_score",99.48
"36001013507","tract",2023,"food_score",115.78
"36001013509","tract",2023,"food_score",105.73
"36001013510","tract",2023,"food_score",108.29
"36001013511","tract",2023,"food_score",98.37
"36001013512","tract",2023,"food_score",111.22
"36001013602","tract",2023,"food_score",118.93
"36001013603","tract",2023,"food_score",119.26
"36001013604","tract",2023,"food_score",123.78
"36001013703","tract",2023,"food_score",111.42
"36001013706","tract",2023,"food_score",122.21
"36001013707","tract",2023,"food_score",121.64
"36001013708","tract",2023,"food_score",107.47
"36001013709","tract",2023,"food_score",104.52
"36001013802","tract",2023,"food_score",114.74
"36001013803","tract",2023,"food_score",93.02
"36001013804","tract",2023,"food_score",100.41
"36001013901","tract",2023,"food_score",113.24
"36001013902","tract",2023,"food_score",107
"36001014001","tract",2023,"food_score",115.38
"36001014002","tract",2023,"food_score",104.21
"36001014100","tract",2023,"food_score",122.44
"36001014201","tract",2023,"food_score",123.48
"36001014202","tract",2023,"food_score",124.89
"36001014203","tract",2023,"food_score",124.97
"36001014301","tract",2023,"food_score",119.24
"36001014303","tract",2023,"food_score",120.43
"36001014304","tract",2023,"food_score",116.42
"36001014401","tract",2023,"food_score",117.8
"36001014402","tract",2023,"food_score",109.65
"36001014501","tract",2023,"food_score",119.15
"36001014502","tract",2023,"food_score",112.75
"36001014503","tract",2023,"food_score",114.56
"36001014606","tract",2023,"food_score",118.05
"36001014608","tract",2023,"food_score",NA
"36001014609","tract",2023,"food_score",95.25
"36001014611","tract",2023,"food_score",117.16
"36001014612","tract",2023,"food_score",103.8
"36001014613","tract",2023,"food_score",123.56
"36001014614","tract",2023,"food_score",119.24
"36001014615","tract",2023,"food_score",97.82
"36001014616","tract",2023,"food_score",117.3
"36001014617","tract",2023,"food_score",122.21
"36001014700","tract",2023,"food_score",114.04
"36001014801","tract",2023,"food_score",112.48
"36001014802","tract",2023,"food_score",98.41
"36001014803","tract",2023,"food_score",110.4
"36003940200","tract",2023,"food_score",NA
"36003950100","tract",2023,"food_score",106.77
"36003950300","tract",2023,"food_score",100.3
"36003950401","tract",2023,"food_score",108.98
"36003950402","tract",2023,"food_score",104.09
"36003950500","tract",2023,"food_score",98.27
"36003950600","tract",2023,"food_score",98.85
"36003950700","tract",2023,"food_score",91.01
"36003950800","tract",2023,"food_score",NA
"36003950900","tract",2023,"food_score",92.45
"36003951000","tract",2023,"food_score",94.76
"36003951100","tract",2023,"food_score",103.31
"36003951201","tract",2023,"food_score",74.44
"36003951202","tract",2023,"food_score",86.68
"36003951301","tract",2023,"food_score",103.66
"36003951302","tract",2023,"food_score",103
"36005000100","tract",2023,"food_score",NA
"36005000200","tract",2023,"food_score",92.55
"36005000400","tract",2023,"food_score",100.95
"36005001600","tract",2023,"food_score",57.34
"36005001901","tract",2023,"food_score",71.93
"36005001902","tract",2023,"food_score",63.03
"36005001903","tract",2023,"food_score",NA
"36005001904","tract",2023,"food_score",NA
"36005002001","tract",2023,"food_score",10.13
"36005002002","tract",2023,"food_score",33.9
"36005002300","tract",2023,"food_score",41.11
"36005002400","tract",2023,"food_score",NA
"36005002500","tract",2023,"food_score",51.28
"36005002701","tract",2023,"food_score",21.16
"36005002702","tract",2023,"food_score",36.23
"36005002800","tract",2023,"food_score",92.91
"36005003100","tract",2023,"food_score",52.01
"36005003300","tract",2023,"food_score",35.03
"36005003500","tract",2023,"food_score",38.55
"36005003700","tract",2023,"food_score",31.81
"36005003800","tract",2023,"food_score",80.15
"36005003900","tract",2023,"food_score",26.77
"36005004001","tract",2023,"food_score",83.2
"36005004100","tract",2023,"food_score",34.43
"36005004200","tract",2023,"food_score",67.06
"36005004300","tract",2023,"food_score",25.18
"36005004400","tract",2023,"food_score",37.33
"36005004600","tract",2023,"food_score",47.45
"36005004800","tract",2023,"food_score",50.02
"36005005001","tract",2023,"food_score",58.6
"36005005002","tract",2023,"food_score",49.86
"36005005100","tract",2023,"food_score",9.25
"36005005200","tract",2023,"food_score",28.06
"36005005300","tract",2023,"food_score",9.21
"36005005400","tract",2023,"food_score",57.34
"36005005600","tract",2023,"food_score",57.63
"36005005902","tract",2023,"food_score",77.96
"36005006000","tract",2023,"food_score",43.28
"36005006100","tract",2023,"food_score",87.46
"36005006200","tract",2023,"food_score",36.98
"36005006301","tract",2023,"food_score",76.28
"36005006302","tract",2023,"food_score",NA
"36005006400","tract",2023,"food_score",59.31
"36005006500","tract",2023,"food_score",30.87
"36005006700","tract",2023,"food_score",16.23
"36005006800","tract",2023,"food_score",51.05
"36005006900","tract",2023,"food_score",45.99
"36005007000","tract",2023,"food_score",65.48
"36005007100","tract",2023,"food_score",65.36
"36005007200","tract",2023,"food_score",76.96
"36005007300","tract",2023,"food_score",40.43
"36005007400","tract",2023,"food_score",81.34
"36005007500","tract",2023,"food_score",51.01
"36005007600","tract",2023,"food_score",66.02
"36005007700","tract",2023,"food_score",58.47
"36005007800","tract",2023,"food_score",66.07
"36005007900","tract",2023,"food_score",35.49
"36005008300","tract",2023,"food_score",59.92
"36005008400","tract",2023,"food_score",88.3
"36005008500","tract",2023,"food_score",51.34
"36005008600","tract",2023,"food_score",36.75
"36005008700","tract",2023,"food_score",39.59
"36005008900","tract",2023,"food_score",58.32
"36005009000","tract",2023,"food_score",35.63
"36005009200","tract",2023,"food_score",80.48
"36005009301","tract",2023,"food_score",53.85
"36005009302","tract",2023,"food_score",NA
"36005009600","tract",2023,"food_score",72.26
"36005009800","tract",2023,"food_score",76.13
"36005011000","tract",2023,"food_score",NA
"36005011502","tract",2023,"food_score",61.07
"36005011701","tract",2023,"food_score",23.22
"36005011702","tract",2023,"food_score",NA
"36005011800","tract",2023,"food_score",97.78
"36005011900","tract",2023,"food_score",42.73
"36005012101","tract",2023,"food_score",53.48
"36005012102","tract",2023,"food_score",31.47
"36005012300","tract",2023,"food_score",67.1
"36005012500","tract",2023,"food_score",52.16
"36005012701","tract",2023,"food_score",48.59
"36005012901","tract",2023,"food_score",12.92
"36005013000","tract",2023,"food_score",102.39
"36005013100","tract",2023,"food_score",31.92
"36005013200","tract",2023,"food_score",96.25
"36005013300","tract",2023,"food_score",31.37
"36005013500","tract",2023,"food_score",61.68
"36005013800","tract",2023,"food_score",93.7
"36005014100","tract",2023,"food_score",57.66
"36005014300","tract",2023,"food_score",20.11
"36005014400","tract",2023,"food_score",52.95
"36005014500","tract",2023,"food_score",36.42
"36005014701","tract",2023,"food_score",36.84
"36005014702","tract",2023,"food_score",16.37
"36005014900","tract",2023,"food_score",37.1
"36005015100","tract",2023,"food_score",42.32
"36005015200","tract",2023,"food_score",99.64
"36005015300","tract",2023,"food_score",46.92
"36005015500","tract",2023,"food_score",68.93
"36005015700","tract",2023,"food_score",61.99
"36005015800","tract",2023,"food_score",101.6
"36005015900","tract",2023,"food_score",47.49
"36005016000","tract",2023,"food_score",100.27
"36005016100","tract",2023,"food_score",16.09
"36005016200","tract",2023,"food_score",102.7
"36005016300","tract",2023,"food_score",NA
"36005016400","tract",2023,"food_score",82.82
"36005016500","tract",2023,"food_score",53.15
"36005016600","tract",2023,"food_score",90.47
"36005016700","tract",2023,"food_score",45.7
"36005016900","tract",2023,"food_score",61.32
"36005017100","tract",2023,"food_score",NA
"36005017300","tract",2023,"food_score",47.14
"36005017500","tract",2023,"food_score",33.28
"36005017701","tract",2023,"food_score",32.89
"36005017702","tract",2023,"food_score",55.58
"36005017901","tract",2023,"food_score",44.04
"36005017902","tract",2023,"food_score",26.39
"36005018101","tract",2023,"food_score",84.99
"36005018102","tract",2023,"food_score",40.78
"36005018301","tract",2023,"food_score",73.77
"36005018302","tract",2023,"food_score",52.56
"36005018400","tract",2023,"food_score",84.2
"36005018501","tract",2023,"food_score",54.75
"36005018502","tract",2023,"food_score",15.77
"36005018900","tract",2023,"food_score",38.06
"36005019300","tract",2023,"food_score",61.13
"36005019400","tract",2023,"food_score",92.24
"36005019500","tract",2023,"food_score",47.33
"36005019700","tract",2023,"food_score",46.29
"36005019900","tract",2023,"food_score",31.64
"36005020000","tract",2023,"food_score",69.88
"36005020100","tract",2023,"food_score",33.3
"36005020200","tract",2023,"food_score",69.49
"36005020400","tract",2023,"food_score",67.13
"36005020501","tract",2023,"food_score",42.82
"36005020502","tract",2023,"food_score",67.98
"36005020601","tract",2023,"food_score",58.99
"36005020900","tract",2023,"food_score",47.14
"36005021001","tract",2023,"food_score",62.86
"36005021002","tract",2023,"food_score",96.9
"36005021100","tract",2023,"food_score",46.23
"36005021200","tract",2023,"food_score",87.77
"36005021301","tract",2023,"food_score",66.71
"36005021302","tract",2023,"food_score",35.08
"36005021501","tract",2023,"food_score",18.13
"36005021502","tract",2023,"food_score",42.19
"36005021601","tract",2023,"food_score",63.9
"36005021602","tract",2023,"food_score",83.5
"36005021700","tract",2023,"food_score",40.59
"36005021800","tract",2023,"food_score",55.67
"36005021900","tract",2023,"food_score",38.42
"36005022000","tract",2023,"food_score",39.93
"36005022101","tract",2023,"food_score",55.28
"36005022102","tract",2023,"food_score",24.14
"36005022200","tract",2023,"food_score",71.79
"36005022300","tract",2023,"food_score",40.93
"36005022401","tract",2023,"food_score",57.11
"36005022403","tract",2023,"food_score",68.29
"36005022404","tract",2023,"food_score",71.63
"36005022500","tract",2023,"food_score",35.01
"36005022701","tract",2023,"food_score",67.09
"36005022702","tract",2023,"food_score",36.31
"36005022703","tract",2023,"food_score",53.45
"36005022800","tract",2023,"food_score",80.37
"36005022901","tract",2023,"food_score",50.83
"36005022902","tract",2023,"food_score",45.21
"36005023000","tract",2023,"food_score",71.25
"36005023100","tract",2023,"food_score",46.39
"36005023200","tract",2023,"food_score",62.99
"36005023301","tract",2023,"food_score",62.87
"36005023302","tract",2023,"food_score",48.12
"36005023501","tract",2023,"food_score",52.89
"36005023502","tract",2023,"food_score",62.5
"36005023600","tract",2023,"food_score",51.34
"36005023702","tract",2023,"food_score",60.4
"36005023703","tract",2023,"food_score",41.69
"36005023704","tract",2023,"food_score",32.01
"36005023800","tract",2023,"food_score",77.92
"36005023900","tract",2023,"food_score",55.94
"36005024000","tract",2023,"food_score",59.43
"36005024100","tract",2023,"food_score",19.92
"36005024300","tract",2023,"food_score",33.68
"36005024400","tract",2023,"food_score",103.85
"36005024501","tract",2023,"food_score",62.27
"36005024502","tract",2023,"food_score",26.82
"36005024600","tract",2023,"food_score",76.19
"36005024700","tract",2023,"food_score",60
"36005024800","tract",2023,"food_score",78.15
"36005024900","tract",2023,"food_score",NA
"36005025000","tract",2023,"food_score",97.1
"36005025100","tract",2023,"food_score",58.89
"36005025200","tract",2023,"food_score",83.06
"36005025300","tract",2023,"food_score",46.65
"36005025400","tract",2023,"food_score",95.62
"36005025500","tract",2023,"food_score",51.87
"36005025600","tract",2023,"food_score",74.09
"36005025700","tract",2023,"food_score",55.69
"36005026100","tract",2023,"food_score",107.7
"36005026300","tract",2023,"food_score",50.32
"36005026400","tract",2023,"food_score",76.22
"36005026500","tract",2023,"food_score",35.63
"36005026601","tract",2023,"food_score",88.94
"36005026602","tract",2023,"food_score",63.67
"36005026701","tract",2023,"food_score",43.36
"36005026702","tract",2023,"food_score",59.22
"36005026900","tract",2023,"food_score",56.12
"36005027300","tract",2023,"food_score",48.26
"36005027401","tract",2023,"food_score",106.68
"36005027402","tract",2023,"food_score",115.41
"36005027600","tract",2023,"food_score",NA
"36005027700","tract",2023,"food_score",47.31
"36005027900","tract",2023,"food_score",65.86
"36005028100","tract",2023,"food_score",101.1
"36005028300","tract",2023,"food_score",32.21
"36005028400","tract",2023,"food_score",NA
"36005028500","tract",2023,"food_score",107.66
"36005028600","tract",2023,"food_score",86.35
"36005028700","tract",2023,"food_score",80.13
"36005028800","tract",2023,"food_score",97.6
"36005028900","tract",2023,"food_score",62.98
"36005029301","tract",2023,"food_score",106.99
"36005029302","tract",2023,"food_score",114.4
"36005029500","tract",2023,"food_score",105.16
"36005029600","tract",2023,"food_score",99.05
"36005029700","tract",2023,"food_score",113.25
"36005030000","tract",2023,"food_score",93.54
"36005030100","tract",2023,"food_score",103.18
"36005030201","tract",2023,"food_score",105.08
"36005030202","tract",2023,"food_score",86.56
"36005030701","tract",2023,"food_score",104.33
"36005030900","tract",2023,"food_score",107.91
"36005031000","tract",2023,"food_score",102.64
"36005031200","tract",2023,"food_score",99.07
"36005031400","tract",2023,"food_score",96.54
"36005031600","tract",2023,"food_score",97.25
"36005031800","tract",2023,"food_score",95.27
"36005031900","tract",2023,"food_score",NA
"36005032300","tract",2023,"food_score",108.5
"36005032400","tract",2023,"food_score",53.15
"36005032600","tract",2023,"food_score",103.89
"36005032800","tract",2023,"food_score",49.33
"36005033000","tract",2023,"food_score",74.69
"36005033201","tract",2023,"food_score",64.04
"36005033202","tract",2023,"food_score",75.26
"36005033400","tract",2023,"food_score",NA
"36005033500","tract",2023,"food_score",90.28
"36005033601","tract",2023,"food_score",45.45
"36005033602","tract",2023,"food_score",87.74
"36005033700","tract",2023,"food_score",100.18
"36005033801","tract",2023,"food_score",80.86
"36005033802","tract",2023,"food_score",48.76
"36005034000","tract",2023,"food_score",66.74
"36005034200","tract",2023,"food_score",89.55
"36005034300","tract",2023,"food_score",108.1
"36005034400","tract",2023,"food_score",68.54
"36005034500","tract",2023,"food_score",97.86
"36005034800","tract",2023,"food_score",72.04
"36005035000","tract",2023,"food_score",73.43
"36005035100","tract",2023,"food_score",103.57
"36005035600","tract",2023,"food_score",68.19
"36005035800","tract",2023,"food_score",99.5
"36005035900","tract",2023,"food_score",37.27
"36005036000","tract",2023,"food_score",88.2
"36005036100","tract",2023,"food_score",22.15
"36005036300","tract",2023,"food_score",25.77
"36005036400","tract",2023,"food_score",60.01
"36005036501","tract",2023,"food_score",42.8
"36005036502","tract",2023,"food_score",42.85
"36005036700","tract",2023,"food_score",53.49
"36005036800","tract",2023,"food_score",82.44
"36005036901","tract",2023,"food_score",54.12
"36005036902","tract",2023,"food_score",25.4
"36005037000","tract",2023,"food_score",75.96
"36005037100","tract",2023,"food_score",34.81
"36005037200","tract",2023,"food_score",88.79
"36005037300","tract",2023,"food_score",35.3
"36005037400","tract",2023,"food_score",45.83
"36005037504","tract",2023,"food_score",38.91
"36005037600","tract",2023,"food_score",84.82
"36005037800","tract",2023,"food_score",67.64
"36005037900","tract",2023,"food_score",43.2
"36005038000","tract",2023,"food_score",51.95
"36005038100","tract",2023,"food_score",66.83
"36005038200","tract",2023,"food_score",82.54
"36005038301","tract",2023,"food_score",35.17
"36005038303","tract",2023,"food_score",28.01
"36005038304","tract",2023,"food_score",34.42
"36005038500","tract",2023,"food_score",23.14
"36005038600","tract",2023,"food_score",72.79
"36005038700","tract",2023,"food_score",38.83
"36005038800","tract",2023,"food_score",67.54
"36005038900","tract",2023,"food_score",45.73
"36005039000","tract",2023,"food_score",56.25
"36005039100","tract",2023,"food_score",35.24
"36005039200","tract",2023,"food_score",77.17
"36005039300","tract",2023,"food_score",16.87
"36005039400","tract",2023,"food_score",60.48
"36005039500","tract",2023,"food_score",30.4
"36005039600","tract",2023,"food_score",60.88
"36005039700","tract",2023,"food_score",NA
"36005039800","tract",2023,"food_score",64.09
"36005039901","tract",2023,"food_score",30.53
"36005039902","tract",2023,"food_score",51.4
"36005040100","tract",2023,"food_score",65.81
"36005040302","tract",2023,"food_score",36.84
"36005040303","tract",2023,"food_score",45.07
"36005040304","tract",2023,"food_score",38.6
"36005040400","tract",2023,"food_score",88.99
"36005040501","tract",2023,"food_score",39.98
"36005040502","tract",2023,"food_score",45.91
"36005040600","tract",2023,"food_score",50.29
"36005040701","tract",2023,"food_score",58.02
"36005040702","tract",2023,"food_score",52.05
"36005040800","tract",2023,"food_score",58.85
"36005040900","tract",2023,"food_score",78.85
"36005041100","tract",2023,"food_score",34.48
"36005041300","tract",2023,"food_score",68.06
"36005041400","tract",2023,"food_score",87.52
"36005041500","tract",2023,"food_score",53.5
"36005041800","tract",2023,"food_score",53.71
"36005041900","tract",2023,"food_score",60.97
"36005042000","tract",2023,"food_score",49.88
"36005042100","tract",2023,"food_score",64.32
"36005042200","tract",2023,"food_score",98.67
"36005042300","tract",2023,"food_score",65.7
"36005042400","tract",2023,"food_score",93.6
"36005042500","tract",2023,"food_score",46.65
"36005042600","tract",2023,"food_score",92.21
"36005042800","tract",2023,"food_score",83.59
"36005042901","tract",2023,"food_score",64.34
"36005042902","tract",2023,"food_score",73.66
"36005043000","tract",2023,"food_score",77.68
"36005043101","tract",2023,"food_score",64.36
"36005043102","tract",2023,"food_score",66.46
"36005043400","tract",2023,"food_score",70.58
"36005043501","tract",2023,"food_score",25.57
"36005043502","tract",2023,"food_score",NA
"36005043503","tract",2023,"food_score",NA
"36005043600","tract",2023,"food_score",58.42
"36005044200","tract",2023,"food_score",75.4
"36005044400","tract",2023,"food_score",105.29
"36005044800","tract",2023,"food_score",83.76
"36005044901","tract",2023,"food_score",102.8
"36005044902","tract",2023,"food_score",93.12
"36005045101","tract",2023,"food_score",103.81
"36005045102","tract",2023,"food_score",112.36
"36005045600","tract",2023,"food_score",84.43
"36005045800","tract",2023,"food_score",39.08
"36005046000","tract",2023,"food_score",51.02
"36005046203","tract",2023,"food_score",98.58
"36005046204","tract",2023,"food_score",102.29
"36005046205","tract",2023,"food_score",101.64
"36005046206","tract",2023,"food_score",96.78
"36005046207","tract",2023,"food_score",62.81
"36005046208","tract",2023,"food_score",91.22
"36005046209","tract",2023,"food_score",43.64
"36005048401","tract",2023,"food_score",92.05
"36005048402","tract",2023,"food_score",NA
"36005050400","tract",2023,"food_score",NA
"36005051601","tract",2023,"food_score",96.65
"36005051602","tract",2023,"food_score",NA
"36007000100","tract",2023,"food_score",74.93
"36007000200","tract",2023,"food_score",66.09
"36007000300","tract",2023,"food_score",86.37
"36007000400","tract",2023,"food_score",69.17
"36007000500","tract",2023,"food_score",54.79
"36007000600","tract",2023,"food_score",46.66
"36007000700","tract",2023,"food_score",102.48
"36007000900","tract",2023,"food_score",74.93
"36007001100","tract",2023,"food_score",45.31
"36007001200","tract",2023,"food_score",65.22
"36007001300","tract",2023,"food_score",60.77
