"geoid","geolevel","year","level","value"
"49001100100","tract",2023,"food_score",124.97
"49001100200","tract",2023,"food_score",117.7
"49003960100","tract",2023,"food_score",115.98
"49003960200","tract",2023,"food_score",114.59
"49003960301","tract",2023,"food_score",108.65
"49003960302","tract",2023,"food_score",117.74
"49003960400","tract",2023,"food_score",118.95
"49003960500","tract",2023,"food_score",111.29
"49003960601","tract",2023,"food_score",106.08
"49003960602","tract",2023,"food_score",115.41
"49003960701","tract",2023,"food_score",109.22
"49003960702","tract",2023,"food_score",97.44
"49003960801","tract",2023,"food_score",117.42
"49003960802","tract",2023,"food_score",122
"49005000101","tract",2023,"food_score",118.31
"49005000102","tract",2023,"food_score",115.88
"49005000201","tract",2023,"food_score",107.67
"49005000202","tract",2023,"food_score",122.1
"49005000301","tract",2023,"food_score",120.94
"49005000302","tract",2023,"food_score",118.65
"49005000401","tract",2023,"food_score",120.29
"49005000402","tract",2023,"food_score",120.4
"49005000403","tract",2023,"food_score",117.77
"49005000501","tract",2023,"food_score",109.21
"49005000502","tract",2023,"food_score",89.05
"49005000601","tract",2023,"food_score",117.79
"49005000602","tract",2023,"food_score",89.12
"49005000701","tract",2023,"food_score",115.23
"49005000702","tract",2023,"food_score",NA
"49005000800","tract",2023,"food_score",112.76
"49005000900","tract",2023,"food_score",103.1
"49005001001","tract",2023,"food_score",108.82
"49005001002","tract",2023,"food_score",101.34
"49005001101","tract",2023,"food_score",115.09
"49005001102","tract",2023,"food_score",123.81
"49005001201","tract",2023,"food_score",115.84
"49005001202","tract",2023,"food_score",120.73
"49005001300","tract",2023,"food_score",128.22
"49005001401","tract",2023,"food_score",112.43
"49005001402","tract",2023,"food_score",109.45
"49005001500","tract",2023,"food_score",121.34
"49005980100","tract",2023,"food_score",124.3
"49007000100","tract",2023,"food_score",110.54
"49007000200","tract",2023,"food_score",95.51
"49007000300","tract",2023,"food_score",90.78
"49007000500","tract",2023,"food_score",107.74
"49007000600","tract",2023,"food_score",107.92
"49009960100","tract",2023,"food_score",119.96
"49011125102","tract",2023,"food_score",128.24
"49011125103","tract",2023,"food_score",123.39
"49011125104","tract",2023,"food_score",121.91
"49011125201","tract",2023,"food_score",120.42
"49011125301","tract",2023,"food_score",106.29
"49011125304","tract",2023,"food_score",106.52
"49011125305","tract",2023,"food_score",112.94
"49011125306","tract",2023,"food_score",124.92
"49011125307","tract",2023,"food_score",119.83
"49011125407","tract",2023,"food_score",111.47
"49011125408","tract",2023,"food_score",123.82
"49011125409","tract",2023,"food_score",125.81
"49011125410","tract",2023,"food_score",125.36
"49011125411","tract",2023,"food_score",121.18
"49011125412","tract",2023,"food_score",117.7
"49011125413","tract",2023,"food_score",122.18
"49011125414","tract",2023,"food_score",125.28
"49011125415","tract",2023,"food_score",111.57
"49011125501","tract",2023,"food_score",116.52
"49011125502","tract",2023,"food_score",106.73
"49011125503","tract",2023,"food_score",116.88
"49011125600","tract",2023,"food_score",98.21
"49011125701","tract",2023,"food_score",79.61
"49011125702","tract",2023,"food_score",95.01
"49011125801","tract",2023,"food_score",99.94
"49011125804","tract",2023,"food_score",126.8
"49011125805","tract",2023,"food_score",117.81
"49011125807","tract",2023,"food_score",106.35
"49011125809","tract",2023,"food_score",125.48
"49011125810","tract",2023,"food_score",99.91
"49011125905","tract",2023,"food_score",112.39
"49011125906","tract",2023,"food_score",117.41
"49011125907","tract",2023,"food_score",115.26
"49011125908","tract",2023,"food_score",121.79
"49011126001","tract",2023,"food_score",111.38
"49011126002","tract",2023,"food_score",115.21
"49011126101","tract",2023,"food_score",98.71
"49011126105","tract",2023,"food_score",110.26
"49011126106","tract",2023,"food_score",127.66
"49011126107","tract",2023,"food_score",120.16
"49011126108","tract",2023,"food_score",126.6
"49011126203","tract",2023,"food_score",124.41
"49011126204","tract",2023,"food_score",119.76
"49011126205","tract",2023,"food_score",113.88
"49011126206","tract",2023,"food_score",122
"49011126303","tract",2023,"food_score",116.72
"49011126304","tract",2023,"food_score",121.69
"49011126305","tract",2023,"food_score",124.2
"49011126306","tract",2023,"food_score",118.91
"49011126402","tract",2023,"food_score",122.77
"49011126404","tract",2023,"food_score",124.66
"49011126405","tract",2023,"food_score",124.01
"49011126406","tract",2023,"food_score",117.96
"49011126500","tract",2023,"food_score",126.63
"49011126600","tract",2023,"food_score",105.07
"49011126700","tract",2023,"food_score",108.79
"49011126801","tract",2023,"food_score",125.32
"49011126802","tract",2023,"food_score",120.85
"49011126901","tract",2023,"food_score",114.93
"49011126902","tract",2023,"food_score",112.02
"49011127002","tract",2023,"food_score",125
"49011127003","tract",2023,"food_score",114.17
"49011127005","tract",2023,"food_score",115.11
"49011127006","tract",2023,"food_score",116.73
"49011127100","tract",2023,"food_score",114.23
"49011980000","tract",2023,"food_score",NA
"49013940300","tract",2023,"food_score",106.68
"49013940501","tract",2023,"food_score",94.25
"49013940502","tract",2023,"food_score",109
"49013940600","tract",2023,"food_score",109.57
"49015976200","tract",2023,"food_score",110.21
"49015976300","tract",2023,"food_score",110.43
"49015976500","tract",2023,"food_score",100.35
"49017000300","tract",2023,"food_score",121.61
"49017000400","tract",2023,"food_score",118.37
"49019000200","tract",2023,"food_score",114.08
"49019000301","tract",2023,"food_score",127.25
"49019000302","tract",2023,"food_score",122.09
"49021110100","tract",2023,"food_score",99.34
"49021110201","tract",2023,"food_score",106.71
"49021110202","tract",2023,"food_score",122.95
"49021110300","tract",2023,"food_score",122.76
"49021110400","tract",2023,"food_score",100.08
"49021110501","tract",2023,"food_score",104.07
"49021110502","tract",2023,"food_score",87.34
"49021110601","tract",2023,"food_score",97.51
"49021110602","tract",2023,"food_score",115.56
"49021110702","tract",2023,"food_score",116.91
"49021110703","tract",2023,"food_score",115.51
"49021110704","tract",2023,"food_score",110.47
"49023010100","tract",2023,"food_score",119.79
"49023010200","tract",2023,"food_score",114.43
"49025130100","tract",2023,"food_score",122.36
"49025130200","tract",2023,"food_score",128
"49027974100","tract",2023,"food_score",120.14
"49027974200","tract",2023,"food_score",114.62
"49027974300","tract",2023,"food_score",109.38
"49029970101","tract",2023,"food_score",120.29
"49029970102","tract",2023,"food_score",124.87
"49029970200","tract",2023,"food_score",121.55
"49031960100","tract",2023,"food_score",108.07
"49033950100","tract",2023,"food_score",117.15
"49035100100","tract",2023,"food_score",113.77
"49035100200","tract",2023,"food_score",120
"49035100306","tract",2023,"food_score",123.98
"49035100307","tract",2023,"food_score",116.97
"49035100308","tract",2023,"food_score",107.27
"49035100500","tract",2023,"food_score",119.77
"49035100600","tract",2023,"food_score",84.86
"49035100700","tract",2023,"food_score",106.28
"49035100800","tract",2023,"food_score",114.31
"49035101000","tract",2023,"food_score",112.46
"49035101101","tract",2023,"food_score",110.86
"49035101102","tract",2023,"food_score",122.32
"49035101200","tract",2023,"food_score",115.22
"49035101401","tract",2023,"food_score",NA
"49035101402","tract",2023,"food_score",NA
"49035101500","tract",2023,"food_score",119.51
"49035101600","tract",2023,"food_score",109.37
"49035101700","tract",2023,"food_score",117.88
"49035101800","tract",2023,"food_score",114.12
"49035101900","tract",2023,"food_score",111.89
"49035102000","tract",2023,"food_score",92.06
"49035102100","tract",2023,"food_score",77.13
"49035102300","tract",2023,"food_score",101
"49035102501","tract",2023,"food_score",95.07
"49035102502","tract",2023,"food_score",66.45
"49035102600","tract",2023,"food_score",110.2
"49035102701","tract",2023,"food_score",101.52
"49035102702","tract",2023,"food_score",81.78
"49035102801","tract",2023,"food_score",114.79
"49035102802","tract",2023,"food_score",96.99
"49035102900","tract",2023,"food_score",102.43
"49035103000","tract",2023,"food_score",119.28
"49035103100","tract",2023,"food_score",105.6
"49035103200","tract",2023,"food_score",91.7
"49035103300","tract",2023,"food_score",115.48
"49035103400","tract",2023,"food_score",114.32
"49035103500","tract",2023,"food_score",117.97
"49035103600","tract",2023,"food_score",118.67
"49035103700","tract",2023,"food_score",122.34
"49035103800","tract",2023,"food_score",119.91
"49035103900","tract",2023,"food_score",116.14
"49035104000","tract",2023,"food_score",121.85
"49035104100","tract",2023,"food_score",111.85
"49035104200","tract",2023,"food_score",124.16
"49035104300","tract",2023,"food_score",103.96
"49035104400","tract",2023,"food_score",121.45
"49035104700","tract",2023,"food_score",123.18
"49035104800","tract",2023,"food_score",117.25
"49035104900","tract",2023,"food_score",121.65
"49035110103","tract",2023,"food_score",123.91
"49035110104","tract",2023,"food_score",120.46
"49035110105","tract",2023,"food_score",118.95
"49035110106","tract",2023,"food_score",114.6
"49035110200","tract",2023,"food_score",118.15
"49035110300","tract",2023,"food_score",125.04
"49035110401","tract",2023,"food_score",102.2
"49035110402","tract",2023,"food_score",118.56
"49035110500","tract",2023,"food_score",124.37
"49035110600","tract",2023,"food_score",113.52
"49035110701","tract",2023,"food_score",107.1
"49035110702","tract",2023,"food_score",112.76
"49035110800","tract",2023,"food_score",120.3
"49035110900","tract",2023,"food_score",120.74
"49035111001","tract",2023,"food_score",121.54
"49035111002","tract",2023,"food_score",118.17
"49035111104","tract",2023,"food_score",121.52
"49035111105","tract",2023,"food_score",114.21
"49035111106","tract",2023,"food_score",108.66
"49035111107","tract",2023,"food_score",112.39
"49035111108","tract",2023,"food_score",119.17
"49035111109","tract",2023,"food_score",122.2
"49035111201","tract",2023,"food_score",104.34
"49035111202","tract",2023,"food_score",119.76
"49035111302","tract",2023,"food_score",122.87
"49035111304","tract",2023,"food_score",112.64
"49035111305","tract",2023,"food_score",112.72
"49035111306","tract",2023,"food_score",111.35
"49035111400","tract",2023,"food_score",95.78
"49035111500","tract",2023,"food_score",100.97
"49035111601","tract",2023,"food_score",91.19
"49035111602","tract",2023,"food_score",103.23
"49035111701","tract",2023,"food_score",101.1
"49035111702","tract",2023,"food_score",120.18
"49035111801","tract",2023,"food_score",113.5
"49035111802","tract",2023,"food_score",122.16
"49035111903","tract",2023,"food_score",115.66
"49035111904","tract",2023,"food_score",123.24
"49035111905","tract",2023,"food_score",93.23
"49035111906","tract",2023,"food_score",106.24
"49035112001","tract",2023,"food_score",109.32
"49035112002","tract",2023,"food_score",123.91
"49035112101","tract",2023,"food_score",111.58
"49035112102","tract",2023,"food_score",107.35
"49035112201","tract",2023,"food_score",119.69
"49035112202","tract",2023,"food_score",108.96
"49035112301","tract",2023,"food_score",120.06
"49035112302","tract",2023,"food_score",125.37
"49035112402","tract",2023,"food_score",103.7
"49035112404","tract",2023,"food_score",109.23
"49035112405","tract",2023,"food_score",108.01
"49035112406","tract",2023,"food_score",110.78
"49035112501","tract",2023,"food_score",116.43
"49035112503","tract",2023,"food_score",103.8
"49035112504","tract",2023,"food_score",116.74
"49035112505","tract",2023,"food_score",111.98
"49035112604","tract",2023,"food_score",121.19
"49035112608","tract",2023,"food_score",119.49
"49035112609","tract",2023,"food_score",122.21
"49035112610","tract",2023,"food_score",108.96
"49035112611","tract",2023,"food_score",120.53
"49035112612","tract",2023,"food_score",111.74
"49035112613","tract",2023,"food_score",123.07
"49035112614","tract",2023,"food_score",124.47
"49035112615","tract",2023,"food_score",124.22
"49035112616","tract",2023,"food_score",121.33
"49035112617","tract",2023,"food_score",120.33
"49035112618","tract",2023,"food_score",118.32
"49035112619","tract",2023,"food_score",117.07
"49035112620","tract",2023,"food_score",113.6
"49035112621","tract",2023,"food_score",112.04
"49035112700","tract",2023,"food_score",96.69
"49035112804","tract",2023,"food_score",110.44
"49035112805","tract",2023,"food_score",124.25
"49035112812","tract",2023,"food_score",112.73
"49035112813","tract",2023,"food_score",109.41
"49035112814","tract",2023,"food_score",121.66
"49035112815","tract",2023,"food_score",122.74
"49035112816","tract",2023,"food_score",122.56
"49035112818","tract",2023,"food_score",NA
"49035112821","tract",2023,"food_score",127.12
"49035112822","tract",2023,"food_score",117.68
"49035112823","tract",2023,"food_score",112.24
"49035112824","tract",2023,"food_score",125.55
"49035112825","tract",2023,"food_score",114.79
"49035112826","tract",2023,"food_score",121.08
"49035112827","tract",2023,"food_score",122.77
"49035112828","tract",2023,"food_score",124.33
"49035112829","tract",2023,"food_score",116.66
"49035112830","tract",2023,"food_score",129.61
"49035112831","tract",2023,"food_score",121.28
"49035112904","tract",2023,"food_score",118.35
"49035112905","tract",2023,"food_score",124.03
"49035112907","tract",2023,"food_score",105.65
"49035112912","tract",2023,"food_score",120.65
"49035112913","tract",2023,"food_score",112.88
"49035112914","tract",2023,"food_score",112.3
"49035112916","tract",2023,"food_score",112.77
"49035112917","tract",2023,"food_score",118.35
"49035112918","tract",2023,"food_score",111.25
"49035112920","tract",2023,"food_score",115.73
"49035112921","tract",2023,"food_score",115
"49035113007","tract",2023,"food_score",118.83
"49035113008","tract",2023,"food_score",126.09
"49035113010","tract",2023,"food_score",119.47
"49035113011","tract",2023,"food_score",124.11
"49035113012","tract",2023,"food_score",118.26
"49035113013","tract",2023,"food_score",118.15
"49035113014","tract",2023,"food_score",127.39
"49035113016","tract",2023,"food_score",120.78
"49035113017","tract",2023,"food_score",123.1
"49035113021","tract",2023,"food_score",124.83
"49035113022","tract",2023,"food_score",119.88
"49035113023","tract",2023,"food_score",127.32
"49035113024","tract",2023,"food_score",126.43
"49035113025","tract",2023,"food_score",118.1
"49035113101","tract",2023,"food_score",115.3
"49035113102","tract",2023,"food_score",120.65
"49035113105","tract",2023,"food_score",128.86
