"geoid","geolevel","year","level","value"
"53001950100","tract",2023,"food_score",106.02
"53001950200","tract",2023,"food_score",104.44
"53001950301","tract",2023,"food_score",95.22
"53001950302","tract",2023,"food_score",88.23
"53001950303","tract",2023,"food_score",88.32
"53001950400","tract",2023,"food_score",87.14
"53001950500","tract",2023,"food_score",90.12
"53003960100","tract",2023,"food_score",116.73
"53003960200","tract",2023,"food_score",104.19
"53003960300","tract",2023,"food_score",87.1
"53003960400","tract",2023,"food_score",87.75
"53003960500","tract",2023,"food_score",69.86
"53003960600","tract",2023,"food_score",86.73
"53005010100","tract",2023,"food_score",106.6
"53005010201","tract",2023,"food_score",104.63
"53005010203","tract",2023,"food_score",110
"53005010204","tract",2023,"food_score",63.63
"53005010300","tract",2023,"food_score",79.58
"53005010400","tract",2023,"food_score",88.89
"53005010500","tract",2023,"food_score",88.69
"53005010600","tract",2023,"food_score",84.44
"53005010701","tract",2023,"food_score",104.11
"53005010703","tract",2023,"food_score",72.98
"53005010705","tract",2023,"food_score",120.03
"53005010707","tract",2023,"food_score",116.71
"53005010708","tract",2023,"food_score",106.38
"53005010807","tract",2023,"food_score",117.32
"53005010809","tract",2023,"food_score",113.72
"53005010810","tract",2023,"food_score",109.42
"53005010811","tract",2023,"food_score",109.21
"53005010814","tract",2023,"food_score",121.8
"53005010815","tract",2023,"food_score",100.19
"53005010816","tract",2023,"food_score",113.8
"53005010817","tract",2023,"food_score",120.6
"53005010818","tract",2023,"food_score",115.75
"53005010819","tract",2023,"food_score",119.7
"53005010820","tract",2023,"food_score",115.49
"53005010901","tract",2023,"food_score",84.45
"53005010902","tract",2023,"food_score",85.99
"53005011001","tract",2023,"food_score",78.64
"53005011002","tract",2023,"food_score",85.43
"53005011100","tract",2023,"food_score",88.45
"53005011201","tract",2023,"food_score",61.79
"53005011202","tract",2023,"food_score",40.91
"53005011300","tract",2023,"food_score",86.92
"53005011401","tract",2023,"food_score",70.72
"53005011402","tract",2023,"food_score",109.5
"53005011501","tract",2023,"food_score",100.41
"53005011504","tract",2023,"food_score",105.01
"53005011505","tract",2023,"food_score",105.03
"53005011506","tract",2023,"food_score",113.25
"53005011600","tract",2023,"food_score",98.18
"53005011701","tract",2023,"food_score",94.33
"53005011702","tract",2023,"food_score",77.52
"53005011801","tract",2023,"food_score",89.2
"53005011802","tract",2023,"food_score",109.05
"53005011900","tract",2023,"food_score",71.1
"53005012000","tract",2023,"food_score",NA
"53007960100","tract",2023,"food_score",108.18
"53007960201","tract",2023,"food_score",110.04
"53007960202","tract",2023,"food_score",108.63
"53007960203","tract",2023,"food_score",123.16
"53007960301","tract",2023,"food_score",124.02
"53007960302","tract",2023,"food_score",87.28
"53007960303","tract",2023,"food_score",94.09
"53007960400","tract",2023,"food_score",105.89
"53007960501","tract",2023,"food_score",113.07
"53007960502","tract",2023,"food_score",113.87
"53007960600","tract",2023,"food_score",110.44
"53007960700","tract",2023,"food_score",109.47
"53007960801","tract",2023,"food_score",120.02
"53007960803","tract",2023,"food_score",95.87
"53007960804","tract",2023,"food_score",100.22
"53007961001","tract",2023,"food_score",97.3
"53007961002","tract",2023,"food_score",74.08
"53007961101","tract",2023,"food_score",89.96
"53007961102","tract",2023,"food_score",93
"53007961200","tract",2023,"food_score",110.83
"53007961301","tract",2023,"food_score",123.18
"53007961303","tract",2023,"food_score",81.56
"53007961304","tract",2023,"food_score",116.08
"53009000300","tract",2023,"food_score",77.27
"53009000600","tract",2023,"food_score",103.32
"53009000700","tract",2023,"food_score",82.67
"53009000800","tract",2023,"food_score",96.9
"53009000900","tract",2023,"food_score",97.51
"53009001000","tract",2023,"food_score",109.64
"53009001100","tract",2023,"food_score",95.06
"53009001200","tract",2023,"food_score",102.82
"53009001300","tract",2023,"food_score",112.54
"53009001400","tract",2023,"food_score",125.32
"53009001500","tract",2023,"food_score",106.62
"53009001600","tract",2023,"food_score",102.17
"53009001701","tract",2023,"food_score",95.84
"53009001702","tract",2023,"food_score",115.75
"53009001800","tract",2023,"food_score",97.69
"53009001901","tract",2023,"food_score",103.42
"53009001902","tract",2023,"food_score",124.88
"53009002001","tract",2023,"food_score",125.56
"53009002002","tract",2023,"food_score",107.46
"53009002100","tract",2023,"food_score",76.97
"53009002301","tract",2023,"food_score",120.21
"53009002302","tract",2023,"food_score",108.73
"53009002400","tract",2023,"food_score",92.19
"53009940000","tract",2023,"food_score",72.46
"53009990100","tract",2023,"food_score",NA
"53011040101","tract",2023,"food_score",109.09
"53011040102","tract",2023,"food_score",115.19
"53011040201","tract",2023,"food_score",115.66
"53011040202","tract",2023,"food_score",110.64
"53011040203","tract",2023,"food_score",114.6
"53011040301","tract",2023,"food_score",119.16
"53011040303","tract",2023,"food_score",113.96
"53011040304","tract",2023,"food_score",119.94
"53011040305","tract",2023,"food_score",104.18
"53011040403","tract",2023,"food_score",118.23
"53011040407","tract",2023,"food_score",111.4
"53011040408","tract",2023,"food_score",115.77
"53011040409","tract",2023,"food_score",116.95
"53011040411","tract",2023,"food_score",116.05
"53011040412","tract",2023,"food_score",105.87
"53011040413","tract",2023,"food_score",103.1
"53011040414","tract",2023,"food_score",119.4
"53011040415","tract",2023,"food_score",88.78
"53011040416","tract",2023,"food_score",119.87
"53011040504","tract",2023,"food_score",116.55
"53011040505","tract",2023,"food_score",121.43
"53011040507","tract",2023,"food_score",69.9
"53011040509","tract",2023,"food_score",81.44
"53011040510","tract",2023,"food_score",118.82
"53011040511","tract",2023,"food_score",108.55
"53011040512","tract",2023,"food_score",101.25
"53011040513","tract",2023,"food_score",110.47
"53011040603","tract",2023,"food_score",114.33
"53011040604","tract",2023,"food_score",114.87
"53011040605","tract",2023,"food_score",115.88
"53011040608","tract",2023,"food_score",113.34
"53011040609","tract",2023,"food_score",122.59
"53011040610","tract",2023,"food_score",122.28
"53011040703","tract",2023,"food_score",90.4
"53011040706","tract",2023,"food_score",79.01
"53011040707","tract",2023,"food_score",105.93
"53011040709","tract",2023,"food_score",107.67
"53011040711","tract",2023,"food_score",92.88
"53011040712","tract",2023,"food_score",93.49
"53011040713","tract",2023,"food_score",118.05
"53011040714","tract",2023,"food_score",80.12
"53011040715","tract",2023,"food_score",111.36
"53011040803","tract",2023,"food_score",115.56
"53011040806","tract",2023,"food_score",107.66
"53011040808","tract",2023,"food_score",99.07
"53011040809","tract",2023,"food_score",106.51
"53011040810","tract",2023,"food_score",95.18
"53011040811","tract",2023,"food_score",109.84
"53011040812","tract",2023,"food_score",104.95
"53011040904","tract",2023,"food_score",93.91
"53011040905","tract",2023,"food_score",112.3
"53011040907","tract",2023,"food_score",127.48
"53011040908","tract",2023,"food_score",119.46
"53011040909","tract",2023,"food_score",125.37
"53011040910","tract",2023,"food_score",117.54
"53011041003","tract",2023,"food_score",96.97
"53011041005","tract",2023,"food_score",75.5
"53011041007","tract",2023,"food_score",98.96
"53011041008","tract",2023,"food_score",117.29
"53011041009","tract",2023,"food_score",85.72
"53011041010","tract",2023,"food_score",87.14
"53011041011","tract",2023,"food_score",95.71
"53011041104","tract",2023,"food_score",92.43
"53011041105","tract",2023,"food_score",114.36
"53011041107","tract",2023,"food_score",97.73
"53011041110","tract",2023,"food_score",111.32
"53011041111","tract",2023,"food_score",71.39
"53011041112","tract",2023,"food_score",99.02
"53011041113","tract",2023,"food_score",69.06
"53011041114","tract",2023,"food_score",72.95
