"geoid","geolevel","year","level","value"
"38601","zcta",2023,"food_score",105.51
"38603","zcta",2023,"food_score",84.26
"38606","zcta",2023,"food_score",94.45
"38610","zcta",2023,"food_score",104
"38611","zcta",2023,"food_score",102.59
"38614","zcta",2023,"food_score",57.28
"38617","zcta",2023,"food_score",47.27
"38618","zcta",2023,"food_score",93.86
"38619","zcta",2023,"food_score",76.92
"38620","zcta",2023,"food_score",99.03
"38621","zcta",2023,"food_score",59.56
"38622","zcta",2023,"food_score",68.59
"38623","zcta",2023,"food_score",110.37
"38625","zcta",2023,"food_score",80.89
"38626","zcta",2023,"food_score",102.92
"38627","zcta",2023,"food_score",127.62
"38629","zcta",2023,"food_score",113.37
"38631","zcta",2023,"food_score",65.29
"38632","zcta",2023,"food_score",105.43
"38633","zcta",2023,"food_score",114.14
"38635","zcta",2023,"food_score",82.41
"38637","zcta",2023,"food_score",85.23
"38639","zcta",2023,"food_score",31.97
"38641","zcta",2023,"food_score",115.83
"38642","zcta",2023,"food_score",80.02
"38643","zcta",2023,"food_score",64.14
"38644","zcta",2023,"food_score",86.36
"38645","zcta",2023,"food_score",102.13
"38646","zcta",2023,"food_score",70.47
"38647","zcta",2023,"food_score",48.17
"38650","zcta",2023,"food_score",96.76
"38651","zcta",2023,"food_score",105.66
"38652","zcta",2023,"food_score",102.89
"38654","zcta",2023,"food_score",94.49
"38655","zcta",2023,"food_score",102.69
"38658","zcta",2023,"food_score",73.8
"38659","zcta",2023,"food_score",89.99
"38661","zcta",2023,"food_score",124.41
"38663","zcta",2023,"food_score",102.86
"38664","zcta",2023,"food_score",59.93
"38665","zcta",2023,"food_score",90.74
"38666","zcta",2023,"food_score",81.26
"38668","zcta",2023,"food_score",104.13
"38670","zcta",2023,"food_score",69.99
"38671","zcta",2023,"food_score",90.6
"38672","zcta",2023,"food_score",113.37
"38673","zcta",2023,"food_score",128.12
"38674","zcta",2023,"food_score",128.27
"38676","zcta",2023,"food_score",58.75
"38677","zcta",2023,"food_score",NA
"38680","zcta",2023,"food_score",99.91
"38683","zcta",2023,"food_score",89.51
"38685","zcta",2023,"food_score",111.26
"38701","zcta",2023,"food_score",69.54
"38703","zcta",2023,"food_score",69.47
"38720","zcta",2023,"food_score",107.99
"38721","zcta",2023,"food_score",50.85
"38722","zcta",2023,"food_score",76.13
"38723","zcta",2023,"food_score",NA
"38725","zcta",2023,"food_score",70.41
"38726","zcta",2023,"food_score",61.74
"38730","zcta",2023,"food_score",70.28
"38731","zcta",2023,"food_score",NA
"38732","zcta",2023,"food_score",68.57
"38733","zcta",2023,"food_score",NA
"38736","zcta",2023,"food_score",77.39
"38737","zcta",2023,"food_score",45.97
"38738","zcta",2023,"food_score",NA
"38740","zcta",2023,"food_score",64.28
"38744","zcta",2023,"food_score",69.68
"38745","zcta",2023,"food_score",-5.83
"38746","zcta",2023,"food_score",47.29
"38748","zcta",2023,"food_score",75.58
"38751","zcta",2023,"food_score",70.49
"38753","zcta",2023,"food_score",69.21
"38754","zcta",2023,"food_score",66.74
"38756","zcta",2023,"food_score",90.11
"38759","zcta",2023,"food_score",94.11
"38760","zcta",2023,"food_score",92.82
"38761","zcta",2023,"food_score",56.9
"38762","zcta",2023,"food_score",47.92
"38764","zcta",2023,"food_score",91.5
"38765","zcta",2023,"food_score",12.4
"38767","zcta",2023,"food_score",NA
"38768","zcta",2023,"food_score",NA
"38769","zcta",2023,"food_score",41.99
"38771","zcta",2023,"food_score",39.51
"38772","zcta",2023,"food_score",124.02
"38773","zcta",2023,"food_score",58.64
"38774","zcta",2023,"food_score",41.15
"38776","zcta",2023,"food_score",NA
"38778","zcta",2023,"food_score",67.38
"38781","zcta",2023,"food_score",76.52
"38801","zcta",2023,"food_score",87.78
"38804","zcta",2023,"food_score",97.79
"38821","zcta",2023,"food_score",97.64
"38824","zcta",2023,"food_score",92.12
"38826","zcta",2023,"food_score",113.49
"38827","zcta",2023,"food_score",105.65
"38828","zcta",2023,"food_score",99.76
"38829","zcta",2023,"food_score",102.57
"38833","zcta",2023,"food_score",104.14
"38834","zcta",2023,"food_score",85.74
"38838","zcta",2023,"food_score",63.97
"38839","zcta",2023,"food_score",NA
"38841","zcta",2023,"food_score",95.35
"38843","zcta",2023,"food_score",103.98
"38844","zcta",2023,"food_score",77.56
"38846","zcta",2023,"food_score",114.56
"38847","zcta",2023,"food_score",112.94
"38848","zcta",2023,"food_score",114.72
"38849","zcta",2023,"food_score",108.48
"38850","zcta",2023,"food_score",89.34
"38851","zcta",2023,"food_score",90.9
"38852","zcta",2023,"food_score",99.65
"38855","zcta",2023,"food_score",112.47
"38856","zcta",2023,"food_score",112.78
"38857","zcta",2023,"food_score",111.09
"38858","zcta",2023,"food_score",101.39
"38859","zcta",2023,"food_score",127.54
"38860","zcta",2023,"food_score",90.69
"38862","zcta",2023,"food_score",98.88
"38863","zcta",2023,"food_score",104.83
"38864","zcta",2023,"food_score",116.92
"38865","zcta",2023,"food_score",102
"38866","zcta",2023,"food_score",108.51
"38868","zcta",2023,"food_score",101.09
"38869","zcta",2023,"food_score",107.52
"38870","zcta",2023,"food_score",100.1
"38871","zcta",2023,"food_score",89.28
"38873","zcta",2023,"food_score",112.88
"38876","zcta",2023,"food_score",112.81
"38878","zcta",2023,"food_score",95.26
"38879","zcta",2023,"food_score",NA
"38901","zcta",2023,"food_score",93.69
"38913","zcta",2023,"food_score",98.82
"38914","zcta",2023,"food_score",95.39
"38915","zcta",2023,"food_score",103.12
"38916","zcta",2023,"food_score",80.58
"38917","zcta",2023,"food_score",79.63
"38920","zcta",2023,"food_score",76.34
"38921","zcta",2023,"food_score",77.93
"38922","zcta",2023,"food_score",78.75
"38923","zcta",2023,"food_score",109.15
"38924","zcta",2023,"food_score",59.39
"38925","zcta",2023,"food_score",99.16
"38927","zcta",2023,"food_score",115.89
"38928","zcta",2023,"food_score",69.86
"38929","zcta",2023,"food_score",102.19
"38930","zcta",2023,"food_score",67.69
"38940","zcta",2023,"food_score",119.44
"38941","zcta",2023,"food_score",53.28
"38943","zcta",2023,"food_score",108.5
"38944","zcta",2023,"food_score",51.31
"38946","zcta",2023,"food_score",75.17
"38947","zcta",2023,"food_score",NA
"38948","zcta",2023,"food_score",96.75
"38949","zcta",2023,"food_score",117.17
"38950","zcta",2023,"food_score",93.96
"38951","zcta",2023,"food_score",115.61
"38952","zcta",2023,"food_score",91.77
"38953","zcta",2023,"food_score",117.47
"38954","zcta",2023,"food_score",74.74
"38957","zcta",2023,"food_score",99.91
"38961","zcta",2023,"food_score",94.2
"38962","zcta",2023,"food_score",NA
"38963","zcta",2023,"food_score",70.42
"38964","zcta",2023,"food_score",NA
"38965","zcta",2023,"food_score",101.04
"38966","zcta",2023,"food_score",101.74
"38967","zcta",2023,"food_score",82.72
"39038","zcta",2023,"food_score",53.69
"39039","zcta",2023,"food_score",117.5
"39040","zcta",2023,"food_score",89.6
"39041","zcta",2023,"food_score",107.44
"39042","zcta",2023,"food_score",102.97
"39044","zcta",2023,"food_score",94.19
"39045","zcta",2023,"food_score",97.38
"39046","zcta",2023,"food_score",79.67
"39047","zcta",2023,"food_score",107.17
"39051","zcta",2023,"food_score",87.34
"39054","zcta",2023,"food_score",57.65
"39056","zcta",2023,"food_score",103.86
"39057","zcta",2023,"food_score",118.36
"39058","zcta",2023,"food_score",NA
"39059","zcta",2023,"food_score",82.24
"39061","zcta",2023,"food_score",NA
"39062","zcta",2023,"food_score",92.53
"39063","zcta",2023,"food_score",60.61
"39066","zcta",2023,"food_score",98.98
"39067","zcta",2023,"food_score",96.17
"39069","zcta",2023,"food_score",74.18
"39071","zcta",2023,"food_score",98.65
"39073","zcta",2023,"food_score",104.19
"39074","zcta",2023,"food_score",89.63
"39078","zcta",2023,"food_score",97.32
"39079","zcta",2023,"food_score",NA
"39082","zcta",2023,"food_score",81.89
"39083","zcta",2023,"food_score",76.64
"39086","zcta",2023,"food_score",81.09
"39088","zcta",2023,"food_score",NA
"39090","zcta",2023,"food_score",86.53
"39092","zcta",2023,"food_score",107.79
"39094","zcta",2023,"food_score",110.9
"39095","zcta",2023,"food_score",62.65
"39096","zcta",2023,"food_score",NA
"39097","zcta",2023,"food_score",35.9
"39108","zcta",2023,"food_score",86.21
"39110","zcta",2023,"food_score",107.88
"39111","zcta",2023,"food_score",102.07
"39113","zcta",2023,"food_score",22.62
"39114","zcta",2023,"food_score",99.35
"39115","zcta",2023,"food_score",-11.04
"39116","zcta",2023,"food_score",118.72
"39117","zcta",2023,"food_score",101.04
"39119","zcta",2023,"food_score",90.68
"39120","zcta",2023,"food_score",75.15
"39140","zcta",2023,"food_score",114.79
"39144","zcta",2023,"food_score",82.65
"39145","zcta",2023,"food_score",114.11
"39146","zcta",2023,"food_score",61.17
"39148","zcta",2023,"food_score",NA
"39149","zcta",2023,"food_score",97.12
"39150","zcta",2023,"food_score",69.67
"39152","zcta",2023,"food_score",93.05
"39153","zcta",2023,"food_score",106.67
"39154","zcta",2023,"food_score",112.96
"39156","zcta",2023,"food_score",99.27
"39157","zcta",2023,"food_score",106.03
"39159","zcta",2023,"food_score",70.24
"39160","zcta",2023,"food_score",85.47
"39162","zcta",2023,"food_score",127.71
"39166","zcta",2023,"food_score",100.96
"39167","zcta",2023,"food_score",NA
"39168","zcta",2023,"food_score",89.68
"39169","zcta",2023,"food_score",65.46
"39170","zcta",2023,"food_score",105.62
"39173","zcta",2023,"food_score",NA
"39174","zcta",2023,"food_score",NA
"39175","zcta",2023,"food_score",99.26
"39176","zcta",2023,"food_score",64.92
"39177","zcta",2023,"food_score",NA
"39179","zcta",2023,"food_score",85.25
"39180","zcta",2023,"food_score",84.59
"39183","zcta",2023,"food_score",82.69
"39189","zcta",2023,"food_score",85.04
"39191","zcta",2023,"food_score",96.39
"39192","zcta",2023,"food_score",67.2
"39193","zcta",2023,"food_score",NA
"39194","zcta",2023,"food_score",60.23
"39201","zcta",2023,"food_score",75.68
"39202","zcta",2023,"food_score",85.22
"39203","zcta",2023,"food_score",61.78
