"geoid","geolevel","year","level","value"
"53001","zcta",2023,"food_score",111.28
"53002","zcta",2023,"food_score",104.89
"53003","zcta",2023,"food_score",112.93
"53004","zcta",2023,"food_score",123.41
"53005","zcta",2023,"food_score",118.22
"53006","zcta",2023,"food_score",97.48
"53007","zcta",2023,"food_score",98.87
"53010","zcta",2023,"food_score",108.72
"53011","zcta",2023,"food_score",117.72
"53012","zcta",2023,"food_score",119.23
"53013","zcta",2023,"food_score",120.26
"53014","zcta",2023,"food_score",107.13
"53015","zcta",2023,"food_score",116.35
"53016","zcta",2023,"food_score",81.59
"53017","zcta",2023,"food_score",127.22
"53018","zcta",2023,"food_score",117.71
"53019","zcta",2023,"food_score",115.96
"53020","zcta",2023,"food_score",121.46
"53021","zcta",2023,"food_score",116.37
"53022","zcta",2023,"food_score",113
"53023","zcta",2023,"food_score",123.78
"53024","zcta",2023,"food_score",113.82
"53027","zcta",2023,"food_score",109.72
"53029","zcta",2023,"food_score",115.3
"53031","zcta",2023,"food_score",NA
"53032","zcta",2023,"food_score",103.25
"53033","zcta",2023,"food_score",125.83
"53034","zcta",2023,"food_score",109.19
"53035","zcta",2023,"food_score",118.7
"53036","zcta",2023,"food_score",117.83
"53037","zcta",2023,"food_score",114.5
"53038","zcta",2023,"food_score",116.41
"53039","zcta",2023,"food_score",112.11
"53040","zcta",2023,"food_score",117.82
"53042","zcta",2023,"food_score",113.59
"53044","zcta",2023,"food_score",128.31
"53045","zcta",2023,"food_score",116.55
"53046","zcta",2023,"food_score",117.2
"53047","zcta",2023,"food_score",NA
"53048","zcta",2023,"food_score",106.49
"53049","zcta",2023,"food_score",124.13
"53050","zcta",2023,"food_score",111.52
"53051","zcta",2023,"food_score",111.61
"53057","zcta",2023,"food_score",129.11
"53058","zcta",2023,"food_score",122.86
"53059","zcta",2023,"food_score",117.35
"53061","zcta",2023,"food_score",108.41
"53063","zcta",2023,"food_score",119.46
"53065","zcta",2023,"food_score",111.49
"53066","zcta",2023,"food_score",109.04
"53069","zcta",2023,"food_score",126.94
"53070","zcta",2023,"food_score",118.1
"53072","zcta",2023,"food_score",117.42
